Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,new_other,new_other_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
12,44,*,*,*,*,*,*,*,*,*,*,*,*,-0.552374,-5.381779,-5.715317,-4.296293,-3.98726,-3.918889,*,-5.33,*
12,46,*,*,*,*,*,*,*,*,*,*,*,*,-4.122501,-5.771817,-6.528438,-4.930915,-3.984473,-4.174451,*,-7.54,*
12,48,*,*,*,*,*,*,*,*,*,*,*,*,-4.621204,-6.052688,-6.944603,-4.809587,-4.168293,-4.133592,*,*,*
12,50,*,*,*,*,*,*,*,*,*,*,*,*,-4.807841,-6.169996,-7.078232,-4.98977,-4.41285,-4.016226,*,*,*
12,52,*,*,*,*,*,*,*,*,*,*,*,*,-4.713279,-6.697325,-7.096115,-5.445383,-4.969349,-4.650697,*,*,*
14,4,*,*,*,*,*,*,*,*,*,*,*,*,53.352572,54.719498,55.866339,50.959959,52.361551,49.91443,**,**,**
14,6,*,*,*,*,*,*,*,*,*,*,*,*,53.990789,55.097563,55.921243,52.913265,54.452667,54.069314,55.105099,**,**
14,8,*,*,*,*,*,*,*,*,*,*,*,*,45.304483,46.987429,48.101383,46.549738,45.732323,48.408466,49.385811,**,**
14,10,*,*,*,*,*,*,*,*,*,*,*,*,33.456328,34.399129,34.820319,34.666352,35.458817,35.886195,35.589399,39.4,38.98
14,12,34.04194,0.0197,34.02884,0.01947,*,*,*,*,*,*,*,*,31.278243,30.725295,31.553238,31.448802,31.918458,32.427091,32.283674,32.78,33.77
14,14,30.4908,0.003,30.49441,0.00011,*,*,*,*,*,*,*,*,28.246602,27.610599,27.597872,27.576934,28.43527,28.244473,28.669281,28.61,30.74
14,16,19.08277,3e-05,19.0828,2e-05,*,*,*,*,*,*,*,*,22.215197,22.517754,22.168832,22.175106,22.070257,21.911969,21.708442,19.37,19.11
14,18,15.79061,4e-05,15.78736,0.0003,*,*,*,*,*,*,*,*,15.217355,16.635425,16.704728,16.63695,15.629095,16.242668,15.732665,16.18,15.68
14,20,12.0185,0.01412,12.0218,0.01412,*,*,*,*,*,*,*,*,12.916214,13.061825,13.584365,13.400578,12.823082,13.004216,13.553112,12.83,12.97
14,22,8.66837,0.12426,8.62191,0.07317,*,*,*,*,*,*,*,*,10.42783,9.367593,8.519307,8.917845,9.057645,7.897853,7.66887,10.06,9.09
14,24,7.7274,0.18477,7.87681,0.12703,*,*,*,*,*,*,*,*,9.727149,7.987018,7.774376,7.90314,7.610923,7.499209,7.657003,7.79,7.91
14,26,6.60831,0.57278,6.54266,0.36068,*,*,*,*,*,*,*,*,8.395569,6.681584,6.203467,6.481203,6.359716,5.754793,5.845384,6.1,6.74
14,28,*,*,*,*,*,*,*,*,*,*,*,*,7.389852,5.590565,5.005018,5.513556,5.427182,5.165404,5.2174,6.94,4.89
14,30,*,*,*,*,*,*,*,*,*,*,*,*,5.246747,3.885094,2.971937,3.768811,3.88047,3.185511,3.377994,0.97,3.22
14,32,*,*,*,*,*,*,*,*,*,*,*,*,4.214749,2.995924,1.392019,2.930223,3.581712,2.513695,3.083208,0.2,1.09
14,34,*,*,*,*,*,*,*,*,*,*,*,*,1.565429,0.600291,-0.162183,1.244158,1.709857,1.554487,0.449274,-0.46,-0.45
14,36,*,*,*,*,*,*,*,*,*,*,*,*,-2.074271,-2.29086,-2.893341,-1.798599,-1.58186,-2.646002,-3.586456,-2.19,-0.44
14,38,*,*,*,*,*,*,*,*,*,*,*,*,-2.728772,-3.589427,-3.650448,-2.721504,-2.143963,-3.092607,-3.905445,-3.43,*
14,40,*,*,*,*,*,*,*,*,*,*,*,*,-2.433565,-4.037034,-4.182293,-3.151657,-2.560416,-3.066004,*,-3.21,*
14,42,*,*,*,*,*,*,*,*,*,*,*,*,-2.026277,-4.036639,-5.085852,-3.638731,-3.174605,-2.843709,*,-4.65,*
14,44,*,*,*,*,*,*,*,*,*,*,*,*,-2.242798,-4.084668,-5.184336,-3.738378,-3.48207,-3.105447,*,-4.58,*
14,46,*,*,*,*,*,*,*,*,*,*,*,*,-2.482605,-4.553988,-5.183253,-3.819242,-3.536818,-3.284101,*,-5.2,*
14,48,*,*,*,*,*,*,*,*,*,*,*,*,-2.486222,-4.551732,-5.642202,-3.9118,-3.663069,-3.334828,*,-5.16,*
14,50,*,*,*,*,*,*,*,*,*,*,*,*,-2.997857,-4.756212,-5.342323,-3.799859,-3.557147,-3.265307,*,-3.62,*
14,52,*,*,*,*,*,*,*,*,*,*,*,*,-3.399018,-5.150042,-5.792074,-4.184504,-3.77691,-3.527159,*,-11.87,*
14,54,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,-8.56,*
16,4,*,*,*,*,*,*,*,*,*,*,*,*,55.455789,55.999044,57.425034,52.461596,53.444772,50.965314,**,**,**
16,6,*,*,*,*,*,*,*,*,*,*,*,*,58.265827,59.285875,60.503717,57.010273,57.831772,57.383897,**,**,**
16,8,*,*,*,*,*,*,*,*,*,*,*,*,49.886744,52.053303,53.251422,51.140956,50.301923,52.934971,54.000307,**,**
16,10,*,*,*,*,*,*,*,*,*,*,*,*,37.697443,39.285681,39.757766,39.192016,39.986854,39.893541,39.567352,44.36,41.71
16,12,*,*,*,*,*,*,*,*,*,*,*,*,35.405013,35.728575,36.139421,35.868796,36.818119,37.069806,37.023306,37.59,39.15
16,14,34.27837,0.16003,34.27509,0.16,*,*,*,*,*,*,*,*,32.807511,32.38729,32.585391,32.651256,33.396479,33.792173,34.064684,33.57,34.03
16,16,28.0958,0.003,28.09891,0.00021,*,*,*,*,*,*,*,*,26.335131,26.878233,26.277899,26.843388,26.88294,27.332035,26.906221,28.05,29.79
16,18,20.05873,9e-05,20.05879,4e-05,*,*,*,*,*,*,*,*,19.501597,21.295785,21.31598,21.25638,20.159982,21.301398,20.867246,20.01,18.64
16,20,16.87492,0.00022,16.87508,0.00019,*,*,*,*,*,*,*,*,16.978267,17.514365,18.147639,17.761888,17.128535,17.80009,18.317025,17.34,17.4
16,22,12.33976,0.00717,12.33971,0.00717,*,*,*,*,*,*,*,*,14.112171,13.389029,12.660961,13.024945,13.156533,12.151359,11.799123,13.61,12.96
16,24,12.148,0.14148,12.11928,0.0082,*,*,*,*,*,*,*,*,12.732296,11.320384,11.528222,11.346869,11.090273,11.276589,12.03853,11.83,12.05
16,26,10.95357,0.18813,10.94253,0.00486,*,*,*,*,*,*,*,*,12.248195,10.33044,10.345004,10.266897,10.110787,9.510311,9.758614,10.35,10.08
16,28,7.5813,0.41363,7.70912,0.00592,*,*,*,*,*,*,*,*,10.257747,8.861087,8.061786,8.529292,8.566568,7.881391,8.090058,8.07,7.94
16,30,*,*,*,*,*,*,*,*,*,*,*,*,8.352384,7.304872,6.226222,6.850437,7.39034,6.308218,6.530751,5.66,6.53
16,32,*,*,*,*,*,*,*,*,*,*,*,*,6.661722,5.785702,4.016908,5.703898,5.963248,5.187821,5.394056,3.49,3.75
16,34,*,*,*,*,*,*,*,*,*,*,*,*,3.419298,2.938155,2.204919,3.112216,3.352147,3.083445,1.905296,2.24,2.51
16,36,*,*,*,*,*,*,*,*,*,*,*,*,0.334053,0.285793,-0.150349,0.671422,0.630942,-0.260335,-1.177613,0.61,0.55
16,38,*,*,*,*,*,*,*,*,*,*,*,*,-0.408649,-0.973303,-0.816395,-0.203933,0.071713,-0.923239,-1.593111,-0.38,-0.82
16,40,*,*,*,*,*,*,*,*,*,*,*,*,-0.174447,-1.860517,-1.696109,-1.148847,-0.72625,-1.510318,-1.788609,-1.34,*
16,42,*,*,*,*,*,*,*,*,*,*,*,*,0.276297,-2.560091,-3.564329,-2.427318,-2.148875,-2.168275,-1.760045,-2.44,*
16,44,*,*,*,*,*,*,*,*,*,*,*,*,-0.289332,-2.118111,-3.05161,-2.040392,-2.111388,-1.612035,-1.924222,-3.07,*
16,46,*,*,*,*,*,*,*,*,*,*,*,*,-0.930985,-2.779807,-3.181253,-2.200817,-2.048856,-2.121944,-2.502052,-3.09,*
16,48,*,*,*,*,*,*,*,*,*,*,*,*,-1.494028,-3.338167,-3.908787,-2.730406,-2.483013,-2.435997,-2.922582,-3.9,*
16,50,*,*,*,*,*,*,*,*,*,*,*,*,-1.927341,-3.567337,-4.555541,-2.838181,-2.621305,-2.168298,-2.518227,-4.5,*
16,52,*,*,*,*,*,*,*,*,*,*,*,*,-2.144284,-3.763533,-4.588055,-2.953543,-2.648867,-2.522282,*,-5.19,*
16,54,*,*,*,*,*,*,*,*,*,*,*,*,-2.175629,-4.258693,-4.973388,-3.398876,-2.996434,-2.885986,*,-6.37,*
16,56,*,*,*,*,*,*,*,*,*,*,*,*,-2.629428,-4.652566,-5.405132,-3.80529,-3.339903,-3.243447,*,-6.45,*
16,58,*,*,*,*,*,*,*,*,*,*,*,*,-2.672106,-4.816695,-5.685836,-4.006662,-3.540963,-3.444529,*,-8.87,*
16,60,*,*,*,*,*,*,*,*,*,*,*,*,-2.558114,-4.538241,-5.309723,-3.493669,-2.93518,-3.384332,*,-7.6,*
16,62,*,*,*,*,*,*,*,*,*,*,*,*,-3.82376,-5.263387,-5.981359,-4.168338,-3.754864,-3.520509,*,*,*
16,64,*,*,*,*,*,*,*,*,*,*,*,*,-5.456585,-5.928005,-7.126807,-5.478554,-5.115745,-4.836336,*,*,*
18,4,*,*,*,*,*,*,*,*,*,*,*,*,55.292343,56.004668,57.701961,52.70604,53.545974,51.273177,**,**,**
18,6,*,*,*,*,*,*,*,*,*,*,*,*,59.410314,60.802221,62.18783,58.46718,59.163553,58.191104,**,**,**
18,8,*,*,*,*,*,*,*,*,*,*,*,*,53.456879,55.951834,57.425487,54.637027,53.486959,55.709944,**,**,**
18,10,*,*,*,*,*,*,*,*,*,*,*,*,41.351054,43.454816,44.095687,43.171314,43.5095,43.830164,43.735132,**,**
18,12,*,*,*,*,*,*,*,*,*,*,*,*,39.386902,40.199885,40.702143,40.125232,40.860098,41.415393,41.515365,43.38,43.05
18,14,*,*,39.27413,0.20616,*,*,*,*,*,*,*,*,36.98349,36.878697,37.203149,37.117038,37.731805,38.582081,38.955174,38.13,40.07
18,16,32.31965,0.0018,32.32057,0.00177,*,*,*,*,*,*,*,*,30.557113,31.418052,30.806717,31.369187,31.166196,32.182131,31.844651,32.13,32.64
