Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,NEW2018,NEW2018_sd,SKMS,SKP,SLy4,SV-min,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
13,15,7.7251,6E-05,7.7251,6E-05,*,*,*,*,*,*,*,*,8.084032,8.142898,7.697722,7.936941,8.305952,8.040485,7.741198,7.91,7.71
,,,,,,,,,,,,,,,,,,,,,,
13,17,5.72841,0.0141,5.7284,0.00291,*,*,*,*,*,*,*,*,4.78888,5.810863,5.160247,5.399715,5.266185,5.471715,4.948852,5.21,5.4
,,,,,,,,,,,,,,,,,,,,,,
13,19,4.17966,0.08832,4.21998,0.00751,*,*,*,*,*,*,*,*,3.793035,3.120812,3.686587,3.862093,3.98022,3.928232,3.870463,3.89,3.82
,,,,,,,,,,,,,,,,,,,,,,
13,21,2.47443,0.13442,2.57423,0.00763,*,*,*,*,*,*,*,*,2.991395,1.95249,1.381098,1.862708,2.181149,1.811179,1.438692,2.81,2.51
,,,,,,,,,,,,,,,,,,,,,,
13,23,2.15915,0.27704,1.89721,0.14969,*,*,*,*,*,*,*,*,2.538661,1.607727,1.601202,1.769623,1.90499,1.833669,1.678746,2.1,1.65
,,,,,,,,,,,,,,,,,,,,,,
13,25,1.96705,0.80199,1.67102,0.41558,*,*,*,*,*,*,*,*,1.766364,0.773351,0.557581,0.907498,1.157194,0.913439,0.694871,1.34,0.82
,,,,,,,,,,,,,,,,,,,,,,
13,27,*,*,*,*,*,*,*,*,*,*,*,*,1.090637,0.06929,-0.22428,0.238278,0.544159,0.384217,0.159125,1.93,-0.05
,,,,,,,,,,,,,,,,,,,,,,
13,29,*,*,*,*,*,*,*,*,*,*,*,*,0.445379,-0.461011,-0.942193,-0.234614,0.176987,-0.130686,-0.266816,-1.83,0.09
,,,,,,,,,,,,,,,,,,,,,,
13,31,*,*,*,*,*,*,*,*,*,*,*,*,0.166261,-0.758006,-1.340796,-0.499771,0.036683,-0.306411,-0.317213,-1.15,-0.96
,,,,,,,,,,,,,,,,,,,,,,
13,33,*,*,*,*,*,*,*,*,*,*,*,*,-1.027452,-1.784584,-2.050963,-1.1746,-0.668946,-0.722182,-1.380022,-1.48,-1.13
,,,,,,,,,,,,,,,,,,,,,,
13,35,*,*,*,*,*,*,*,*,*,*,*,*,-2.835692,-3.129398,-3.416222,-2.677395,-2.217268,-2.642309,-3.153043,-2.24,-0.92
,,,,,,,,,,,,,,,,,,,,,,
13,37,*,*,*,*,*,*,*,*,*,*,*,*,-2.79462,-3.569586,-3.672914,-2.907763,-2.2955,-2.539346,-3.106647,-3.42,*
,,,,,,,,,,,,,,,,,,,,,,
13,39,*,*,*,*,*,*,*,*,*,*,*,*,-2.552465,-3.577336,-3.799951,-3.009559,-2.401677,-2.396544,*,-2.98,*
,,,,,,,,,,,,,,,,,,,,,,
13,41,*,*,*,*,*,*,*,*,*,*,*,*,-3.306404,-3.473985,-3.992978,-3.09929,-2.549213,-2.367484,*,-3.23,*
,,,,,,,,,,,,,,,,,,,,,,
13,43,*,*,*,*,*,*,*,*,*,*,*,*,-1.96652,-3.619842,-3.906411,-3.04567,-2.587385,-2.494076,*,-3.59,*
,,,,,,,,,,,,,,,,,,,,,,
13,45,*,*,*,*,*,*,*,*,*,*,*,*,-2.9856,-3.802856,-4.118284,-3.215358,-2.578948,-2.603977,*,-4.95,*
,,,,,,,,,,,,,,,,,,,,,,
13,47,*,*,*,*,*,*,*,*,*,*,*,*,-2.935144,-3.893851,-4.294527,-3.20752,-2.666933,-2.564581,*,-4.25,*
,,,,,,,,,,,,,,,,,,,,,,
13,49,*,*,*,*,*,*,*,*,*,*,*,*,-3.046824,-3.9075,-4.286539,-3.174444,-2.7184,-2.514909,*,-4.17,*
,,,,,,,,,,,,,,,,,,,,,,
13,51,*,*,*,*,*,*,*,*,*,*,*,*,-3.080342,-4.104715,-4.337511,-3.358024,-2.912596,-2.757243,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
15,3,*,*,*,*,*,*,*,*,*,*,*,*,23.53848,24.191566,24.042568,22.180808,23.388008,21.962717,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
15,5,*,*,*,*,*,*,*,*,*,*,*,*,25.575069,26.137216,25.966359,24.785581,25.94079,25.612442,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
15,7,*,*,*,*,*,*,*,*,*,*,*,*,21.315395,22.358765,22.347141,21.812064,21.942561,23.039864,23.190362,*,*
,,,,,,,,,,,,,,,,,,,,,,
15,9,*,*,*,*,*,*,*,*,*,*,*,*,15.795651,16.358592,16.164982,16.266758,17.194713,17.052904,16.576938,18.95,21.86
,,,,,,,,,,,,,,,,,,,,,,
15,11,*,*,*,*,*,*,*,*,*,*,*,*,15.076208,14.906229,14.939487,15.034578,15.801468,15.964992,15.677588,15.77,15.72
,,,,,,,,,,,,,,,,,,,,,,
15,13,14.51304,0.02655,14.4966,0.02637,*,*,*,*,*,*,*,*,13.556485,13.203298,12.963531,13.236428,14.050631,14.023845,13.953579,14.86,14.99
,,,,,,,,,,,,,,,,,,,,,,
15,15,11.31927,0.00068,11.31932,0.00036,*,*,*,*,*,*,*,*,10.384522,10.561671,10.07852,10.456119,10.843372,10.873285,10.459226,11.83,12.62
,,,,,,,,,,,,,,,,,,,,,,
15,17,7.93565,4E-05,7.93565,4E-05,*,*,*,*,*,*,*,*,7.082896,8.263646,7.623973,7.781361,7.627992,8.072297,7.59088,7.28,6.91
,,,,,,,,,,,,,,,,,,,,,,
15,19,6.2915,0.00512,6.28267,0.00136,*,*,*,*,*,*,*,*,5.952427,5.437828,6.065339,6.120485,6.200261,6.347463,6.346436,6.45,5.93
,,,,,,,,,,,,,,,,,,,,,,
15,21,3.46455,0.01324,3.46455,0.01324,*,*,*,*,*,*,*,*,4.589434,4.002325,3.532005,3.875515,4.279753,3.718715,3.312077,4.82,3.52
,,,,,,,,,,,,,,,,,,,,,,
15,23,3.83499,0.11013,3.69688,0.0819,*,*,*,*,*,*,*,*,4.108843,3.180666,3.207314,3.305954,3.468292,3.519276,3.524024,3.73,2.62
,,,,,,,,,,,,,,,,,,,,,,
15,25,3.30442,0.17333,3.41105,0.19046,*,*,*,*,*,*,*,*,3.643786,2.597983,2.503579,2.675616,2.905294,2.638316,2.486567,3.23,2.08
,,,,,,,,,,,,,,,,,,,,,,
15,27,1.85594,0.49641,2.08181,0.33656,*,*,*,*,*,*,*,*,2.906506,1.964416,1.624218,2.018254,2.3133,2.088397,1.929694,2.03,1.89
,,,,,,,,,,,,,,,,,,,,,,
15,29,*,*,*,*,*,*,*,*,*,*,*,*,2.048328,1.23755,0.743609,1.257337,1.721553,1.295386,1.169884,1.34,1.46
,,,,,,,,,,,,,,,,,,,,,,
15,31,*,*,*,*,*,*,*,*,*,*,*,*,1.433053,0.669359,-0.097839,0.829648,1.348335,0.930357,0.886015,0.25,0.12
,,,,,,,,,,,,,,,,,,,,,,
15,33,*,*,*,*,*,*,*,*,*,*,*,*,-0.104776,-0.632283,-0.941753,-0.252973,0.213698,0.076551,-0.687496,-0.47,-0.47
,,,,,,,,,,,,,,,,,,,,,,
15,35,*,*,*,*,*,*,*,*,*,*,*,*,-1.759941,-1.949677,-2.174181,-1.573468,-1.200832,-1.728626,-2.371641,-1.11,-2.11
,,,,,,,,,,,,,,,,,,,,,,
