Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
10,49,*,*,*,*,*,*,*,*,*,*,-3.659984,-4.082741,-4.580123,-3.416117,-2.911606,-2.78269,*,*,*
10,51,*,*,*,*,*,*,*,*,*,*,-3.659546,-4.364346,-4.891526,-3.817106,-3.341008,-3.196495,*,*,*
12,3,*,*,*,*,*,*,*,*,*,*,21.12827,22.386438,22.045297,20.335172,21.961885,20.631669,20.637264,*,*
12,5,*,*,*,*,*,*,*,*,*,*,21.970807,22.471075,22.012948,21.25206,22.723688,22.428513,22.465491,*,*
12,7,*,*,*,*,*,*,*,*,*,*,17.137607,18.011985,17.955013,17.867502,17.939169,19.285773,19.181409,*,*
12,9,14.73116,0.0316,14.64516,0.00201,*,*,*,*,*,*,12.359734,12.116003,12.317124,12.706545,13.045228,13.642738,13.140206,13.71,16.02
12,11,13.14812,0.00186,13.1449,0.00035,*,*,*,*,*,*,11.378513,11.022249,10.88167,10.979687,11.524537,11.797831,11.434733,12.08,12.56
12,13,7.33058,3e-05,7.33053,5e-05,*,*,*,*,*,*,8.90336,8.77927,8.031875,8.419378,9.688472,8.72677,8.645858,7.25,6.51
12,15,6.44339,4e-05,6.44339,4e-05,*,*,*,*,*,*,6.826442,6.853457,6.362617,6.582018,6.960458,6.550586,6.309098,4.85,7.3
12,17,3.67171,0.01412,3.6553,0.01157,*,*,*,*,*,*,3.607171,4.023837,3.893449,4.199937,4.026734,4.16641,3.611714,4.14,2.89
12,19,2.37803,0.01473,2.30965,0.00462,*,*,*,*,*,*,2.665379,2.439917,2.432406,2.688836,2.839161,2.701295,2.587397,2.8,1.15
12,21,2.22247,0.02638,2.28012,0.00436,*,*,*,*,*,*,2.366706,0.897106,0.266186,0.882092,1.115417,0.959924,0.607786,1.46,1.68
12,23,*,*,0.75488,0.27121,*,*,*,*,*,*,1.730127,0.88503,0.929367,1.078112,1.214823,1.051625,0.89147,0.95,0.15
12,25,*,*,0.24,0.11,*,*,*,*,*,*,0.852427,-0.145552,-0.38417,0.058602,0.3209,0.104983,-0.143859,-0.25,-0.2
12,27,*,*,*,*,*,*,*,*,*,*,0.021493,-0.99441,-1.277275,-0.773074,-0.450146,-0.601105,-0.872869,-0.04,-0.6
12,29,*,*,*,*,*,*,*,*,*,*,-0.430193,-1.326935,-1.866773,-0.991126,-0.531286,-0.838132,-0.944808,-3.15,-1.56
12,31,*,*,*,*,*,*,*,*,*,*,-0.483785,-1.478416,-1.902824,-1.13938,-0.679624,-0.86598,-0.937442,-2.73,-1.63
12,33,*,*,*,*,*,*,*,*,*,*,-1.479689,-2.336137,-2.563368,-1.629401,-1.127269,-1.120326,-1.722734,-3.15,-1.82
12,35,*,*,*,*,*,*,*,*,*,*,-3.305938,-3.658347,-3.984429,-3.176918,-2.681116,-2.970177,-3.3835,-3.29,*
12,37,*,*,*,*,*,*,*,*,*,*,-2.94274,-3.983406,-4.176752,-3.286691,-2.697622,-2.754585,-3.303157,-3.74,*
12,39,*,*,*,*,*,*,*,*,*,*,-2.655091,-3.790762,-4.155544,-3.281556,-2.673711,-2.46682,*,-3.75,*
