Z,N,2003,2003_sd,2016,2016_sd,2017,2017_sd,2018,2018_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
13,36,*,*,*,*,*,*,*,*,-2.999244,-3.324569,-4.027144,-2.807268,-2.439197,-3.308036,*,-3.58,*
13,38,*,*,*,*,*,*,*,*,-3.131978,-4.495948,-4.77447,-3.586971,-2.95854,-3.577754,*,-4.44,*
13,40,*,*,*,*,*,*,*,*,-2.566389,-4.554374,-5.025863,-3.788753,-3.16256,-3.252258,*,-4.41,*
13,42,*,*,*,*,*,*,*,*,-4.065665,-4.359436,-5.467834,-4.0169,-3.52895,-3.19658,*,-5.93,*
13,44,*,*,*,*,*,*,*,*,-1.432371,-4.702307,-5.348559,-3.963853,-3.718572,-3.489461,*,-4.13,*
13,46,*,*,*,*,*,*,*,*,-3.547427,-5.14693,-5.831089,-4.357482,-3.744839,-3.774019,*,-7.56,*
13,48,*,*,*,*,*,*,*,*,-3.536985,-5.381913,-6.281914,-4.410917,-3.908012,-3.736623,*,-6.52,*
13,50,*,*,*,*,*,*,*,*,-3.871772,-5.454054,-6.300066,-4.397674,-3.996508,-3.633024,*,-7.58,*
13,52,*,*,*,*,*,*,*,*,-4.020369,-5.898083,-6.435989,-4.807215,-4.368487,-4.092701,*,*,*
15,14,32.37823,0.02635,32.37302,0.02634,*,*,*,*,*,*,*,*,*,*,*,*,*
15,16,23.63089,0.00063,23.63033,0.00036,*,*,*,*,*,*,*,*,*,*,*,*,*
15,18,18.03924,0.00111,18.03944,0.00109,*,*,*,*,*,*,*,*,*,*,*,*,*
15,20,14.66289,0.00217,14.66309,0.00216,*,*,*,*,*,*,*,*,*,*,*,*,*
15,22,10.27904,0.03799,10.28083,0.03799,*,*,*,*,*,*,*,*,*,*,*,*,*
15,24,10.02223,0.11015,9.92127,0.11886,*,*,*,*,*,*,*,*,*,*,*,*,*
15,26,8.54541,0.23969,8.34777,0.16471,*,*,*,*,*,*,*,*,*,*,*,*,*
15,28,5.10018,0.99259,6.48304,0.56757,*,*,*,*,*,*,*,*,*,*,*,*,*
15,36,*,*,*,*,*,*,*,*,-0.836705,-0.970704,-1.488586,-0.533812,-0.433631,-1.424692,*,-0.72,-0.65
15,38,*,*,*,*,*,*,*,*,-1.537117,-2.253111,-2.203131,-1.436933,-1.008398,-1.983357,*,-1.72,*
15,40,*,*,*,*,*,*,*,*,-1.244547,-2.922597,-2.911445,-2.125967,-1.627889,-2.265141,*,-2.45,*
15,42,*,*,*,*,*,*,*,*,-0.86972,-3.251466,-4.307143,-3.029568,-2.640441,-2.443704,*,-3.8,*
15,44,*,*,*,*,*,*,*,*,-1.248068,-3.095898,-4.047758,-2.864634,-2.797189,-2.381566,*,-3.91,*
15,46,*,*,*,*,*,*,*,*,-1.949023,-3.655357,-4.183385,-3.003458,-2.794939,-2.751359,*,-4.06,*
15,48,*,*,*,*,*,*,*,*,-1.961068,-4.023727,-4.766692,-3.370255,-3.074386,-2.825557,*,-5.16,*
15,50,*,*,*,*,*,*,*,*,-2.415428,-4.090734,-5.03998,-3.270205,-3.051246,-2.701331,*,-4.74,*
15,52,*,*,*,*,*,*,*,*,-2.58452,-4.442712,-5.106252,-3.560339,-3.211043,-3.018803,*,-6.86,*
15,54,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,-7.85,*
15,56,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,-8.18,*
15,58,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,-5.05,*
17,14,*,*,36.33936,0.18871,*,*,*,*,*,*,*,*,*,*,*,*,*
17,16,30.0789,0.05,30.11142,0.00347,*,*,*,*,*,*,*,*,*,*,*,*,*
17,18,24.15274,0.00046,24.15283,0.00039,*,*,*,*,*,*,*,*,*,*,*,*,*
17,20,18.89063,6e-05,18.89064,6e-05,*,*,*,*,*,*,*,*,*,*,*,*,*
17,22,14.1813,0.00173,14.1813,0.00173,*,*,*,*,*,*,*,*,*,*,*,*,*
17,24,13.64962,0.06875,13.64962,0.06875,*,*,*,*,*,*,*,*,*,*,*,*,*
17,26,13.00361,0.17173,12.99495,0.09246,*,*,*,*,*,*,*,*,*,*,*,*,*
17,28,10.33711,0.20021,10.24567,0.14956,*,*,*,*,*,*,*,*,*,*,*,*,*
17,38,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,-0.12
17,40,*,*,*,*,*,*,*,*,*,-0.473142,-0.217388,*,*,-0.350463,*,*,-0.81
17,42,*,*,*,*,*,*,*,*,*,-1.374784,-2.245151,-1.361002,-1.21943,-1.497732,*,-0.5,*
