Z,N,2003,2003_sd,2016,2016_sd,2017,2017_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
25,34,7.64405,0.04243,7.76908,0.00357,*,*,8.056338,8.68755,8.425747,8.417707,7.882467,7.972624,10.494775,8.02,8.39
25,36,6.44922,0.24362,6.8455,0.00329,*,*,7.445353,7.806345,7.596602,7.666821,7.269937,7.053158,9.595366,7.36,7.78
25,38,6.38366,0.34133,6.43441,0.00753,*,*,7.330361,7.221516,7.408374,7.336655,6.895324,6.675967,9.313412,6.86,7.09
25,40,6.12731,0.59933,6.04962,0.00514,*,*,6.969099,6.513927,6.837408,6.689017,6.258454,6.115495,9.148595,6.16,6.4
25,42,*,*,*,*,*,*,6.496994,5.715715,5.506515,5.681543,5.287359,5.091355,8.133016,5.57,5.51
25,44,*,*,*,*,*,*,6.005132,5.394636,4.882647,5.147543,4.754856,4.880614,8.028228,4.84,5.39
25,46,*,*,*,*,*,*,5.517567,4.960602,5.026071,4.940783,4.573502,4.225388,7.551821,4.16,4.59
25,48,*,*,*,*,*,*,4.958472,4.181013,3.880728,4.037736,3.778585,3.484491,6.82831,4.05,3.77
25,50,*,*,*,*,*,*,4.528333,3.552203,3.553283,3.360692,3.122631,2.810471,6.365218,3.33,2.78
25,52,*,*,*,*,*,*,3.251311,2.998345,2.034499,2.723893,2.608775,2.307901,5.815809,1.66,2.26
25,54,*,*,*,*,*,*,2.52747,2.458119,1.396227,2.140168,2.20454,1.962877,5.552145,0.94,1.07
25,56,*,*,*,*,*,*,2.156108,2.168149,*,1.939821,1.960483,1.78758,5.608548,0.71,1.01
25,58,*,*,*,*,*,*,1.853145,1.672562,*,1.601898,1.700468,1.614202,5.22279,0.44,0.67
25,60,*,*,*,*,*,*,1.212476,*,*,*,1.356828,1.143479,*,0.1,0.18
25,62,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0.1
27,18,*,*,*,*,*,*,*,*,*,*,*,*,*,23.27,23.01
27,20,*,*,*,*,*,*,20.955728,21.462347,22.340944,21.701729,21.033993,22.05935,24.535676,21.84,21.89
27,22,*,*,*,*,*,*,17.931353,18.095373,18.614352,18.602096,18.245731,18.627802,20.458984,19.62,19.62
27,24,*,*,*,*,*,*,17.174004,17.159886,17.526811,17.453567,17.15044,17.531914,19.953757,18.09,19.37
27,26,*,*,16.36979,0.00856,*,*,16.096848,15.715581,16.186683,16.036307,15.83524,15.912316,18.509597,16.78,17.7
27,28,14.08933,0.00039,14.09125,0.00031,*,*,15.049498,14.383475,14.868706,14.665675,14.616093,14.50043,17.364056,14.42,14.38
27,30,11.37617,0.00207,11.37648,0.00057,*,*,12.317013,12.963261,12.493934,12.618178,12.482983,12.124476,14.644289,11.21,11.38
27,32,10.45386,0.0011,10.45387,0.0011,*,*,10.755443,11.405117,10.86246,10.793796,10.573822,10.393538,13.103432,10.05,11.01
27,34,9.32073,0.0008,9.31907,0.00082,*,*,9.237016,9.981757,9.803322,9.803353,9.203241,9.379744,11.846845,9.44,9.89
27,36,8.4802,0.02828,8.49848,0.02626,*,*,8.618756,9.125635,9.011257,9.007707,8.595473,8.52113,11.146509,8.68,9.36
27,38,7.44856,0.02394,7.46419,0.02011,*,*,8.357604,8.53104,8.694618,8.627914,8.176819,7.966634,10.71678,8.04,7.75
27,40,7.02103,0.40601,6.98456,0.01539,*,*,8.089869,7.79373,8.155204,7.958152,7.534297,7.442862,10.577987,7.35,7.53
27,42,6.7235,0.46232,6.41981,0.23591,*,*,7.599357,6.920627,6.772457,6.936611,6.569237,6.300918,9.135423,6.73,6.97
27,44,6.30148,1.1856,*,*,*,*,7.134713,6.280617,5.973343,6.158436,5.829737,5.769365,8.995808,6.09,6.74
27,46,*,*,*,*,*,*,6.727224,5.996416,5.940567,5.93416,5.562212,5.358398,8.716156,5.55,6.08
27,48,*,*,*,*,*,*,6.287955,5.34754,5.277454,5.27874,4.914789,4.628198,8.085766,5.36,5.45
27,50,*,*,*,*,*,*,5.755783,4.67878,4.825012,4.536741,4.219492,3.99652,7.646181,4.34,2.67
27,52,*,*,*,*,*,*,3.821925,3.963535,2.779529,3.542548,3.519914,3.144427,6.418575,2.58,3.32
27,54,*,*,*,*,*,*,3.097874,3.289356,2.043012,2.79984,2.926602,2.589489,6.124019,1.92,2.6
27,56,*,*,*,*,*,*,2.84885,2.862021,1.762493,2.553145,2.584901,2.361704,6.164581,1.45,2.15
27,58,*,*,*,*,*,*,2.377901,2.286578,1.31464,2.141526,2.205907,2.038147,5.595065,1.2,1.41
27,60,*,*,*,*,*,*,1.687723,1.654694,*,1.649823,1.810628,1.541136,*,0.41,1.0
27,62,*,*,*,*,*,*,*,*,*,*,1.311811,*,*,0.66,0.7
27,64,*,*,*,*,*,*,*,*,*,*,*,*,*,0.3,0.27
27,66,*,*,*,*,*,*,*,*,*,*,*,*,*,0.08,*
29,20,*,*,*,*,*,*,22.313491,*,*,*,*,*,*,22.85,22.51
29,22,*,*,*,*,*,*,19.164673,19.464491,20.036013,19.95447,19.646948,19.929999,21.768702,21.27,20.8
29,24,*,*,*,*,*,*,18.062667,18.181796,18.652502,18.508432,18.377901,18.675087,21.138257,19.58,20.49
29,26,*,*,*,*,*,*,17.438266,17.168289,17.683657,17.507084,17.354223,17.448667,20.011769,18.28,19.17
29,28,*,*,16.73717,0.01491,*,*,16.581325,15.949041,16.436673,16.258877,16.173482,16.170647,19.13359,16.57,17.02
29,30,12.76649,0.00152,12.76192,0.00056,*,*,13.53587,14.334256,13.710728,14.031618,13.898001,13.62759,16.111908,13.09,13.28
29,32,11.71086,0.00187,11.71024,0.00185,*,*,11.954544,12.620684,12.168399,12.135198,11.939207,11.766418,14.502741,11.36,12.04
29,34,10.85301,0.00406,10.86364,0.00048,*,*,10.356286,11.20663,11.181427,11.090211,10.469774,10.806019,13.170223,10.77,11.29
29,36,9.91074,0.0007,9.91043,0.00067,*,*,9.778271,10.36218,10.383524,10.34878,9.809508,9.942201,12.656282,10.06,10.86
29,38,9.13182,0.00139,9.13256,0.00108,*,*,9.414919,9.774823,9.807978,9.79086,9.373789,9.169734,12.110251,9.31,10.01
29,40,8.2405,0.00211,8.2405,0.00211,*,*,9.089818,8.993138,9.395988,9.147344,8.724687,8.688122,11.83782,8.46,8.68
29,42,7.80632,0.00217,7.80607,0.00184,*,*,8.603364,8.057964,7.959708,8.099298,7.757935,7.515187,10.307337,7.83,8.73
29,44,7.27491,0.00415,7.27575,0.00239,*,*,8.24199,7.350622,7.278876,7.293549,6.983006,6.889782,10.128313,7.21,7.88
