Z,N,2003,2003_sd,2016,2016_sd,2017,2017_sd,2018,2018_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
22,56,*,*,*,*,*,*,*,*,*,*,-1.254729,*,*,*,*,-2.78,-0.33
22,58,*,*,*,*,*,*,*,*,*,-0.689438,-1.787369,-0.047834,*,*,*,-3.25,-1.33
22,60,*,*,*,*,*,*,*,*,-0.664017,-1.720074,-2.662127,-0.803603,-0.044328,-0.152965,*,-4.26,-3.0
22,62,*,*,*,*,*,*,*,*,-1.997087,-3.149413,-4.011548,-2.192585,-1.252039,-1.375743,*,-5.0,*
22,64,*,*,*,*,*,*,*,*,-3.78847,-4.701379,-5.683382,-4.079633,-3.436686,-4.095386,*,-5.05,*
22,66,*,*,*,*,*,*,*,*,-4.568381,-5.55288,-6.282365,-4.846382,-4.060042,-4.534097,*,-5.12,*
22,68,*,*,*,*,*,*,*,*,-3.190427,-5.614954,-6.21163,-4.756165,-3.985715,-4.48004,*,-5.57,*
22,70,*,*,*,*,*,*,*,*,-3.370498,-5.608348,-6.135669,-4.758761,-4.051038,-4.49342,*,-5.64,*
22,72,*,*,*,*,*,*,*,*,-3.588372,-5.284549,-6.17487,-4.825711,-4.124526,-4.112235,*,-6.29,*
22,74,*,*,*,*,*,*,*,*,-3.828979,-5.429132,-6.298299,-4.835629,-4.249886,-4.119703,*,-6.68,*
22,76,*,*,*,*,*,*,*,*,-4.07521,-5.622993,-6.168536,-4.547294,-4.377209,-4.188813,*,-6.14,*
22,78,*,*,*,*,*,*,*,*,-4.264553,-5.830566,-6.475672,-4.91934,-4.455355,-4.293402,*,*,*
24,24,29.48807,0.02131,29.49309,0.01359,*,*,*,*,*,*,*,*,*,*,*,*,*
24,26,23.58295,0.00731,23.58269,0.00731,*,*,*,*,*,*,*,*,*,*,*,*,*
24,28,21.30007,0.00099,21.2998,0.00054,*,*,*,*,*,*,*,*,*,*,*,*,*
24,30,17.65825,0.00019,17.65816,0.00018,*,*,*,*,*,*,*,*,*,*,*,*,*
24,32,14.49133,0.00201,14.49287,0.00062,*,*,*,*,*,*,*,*,*,*,*,*,*
24,34,12.69612,0.20293,12.84943,0.00161,*,*,*,*,*,*,*,*,*,*,*,*,*
24,36,10.81178,0.29447,10.82041,0.1936,*,*,*,*,*,*,*,*,*,*,*,*,*
24,38,10.05331,0.39888,10.36802,0.24374,*,*,*,*,*,*,*,*,*,*,*,*,*
24,40,*,*,8.72743,0.46394,*,*,*,*,*,*,*,*,*,*,*,*,*
24,54,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,-0.36,*
24,56,*,*,*,*,*,*,*,*,*,*,-0.354216,*,*,*,*,-1.13,*
24,58,*,*,*,*,*,*,*,*,*,*,-0.849392,*,*,*,*,-1.74,-0.39
24,60,*,*,*,*,*,*,*,*,*,-0.729209,-1.793911,-0.014778,*,*,*,-2.2,-1.44
24,62,*,*,*,*,*,*,*,*,-1.125412,-2.062786,-2.947386,-1.336074,-0.427792,-0.741577,*,-2.59,-0.97
24,64,*,*,*,*,*,*,*,*,-2.511335,-3.354737,-4.122481,-2.688374,-2.196141,-3.298057,*,-3.51,*
24,66,*,*,*,*,*,*,*,*,-1.511072,-4.185847,-4.558366,-3.360224,-2.781971,-3.815935,*,-3.88,*
24,68,*,*,*,*,*,*,*,*,-1.573026,-3.453051,-4.494906,-3.654683,-2.959364,-2.386942,*,-4.39,*
24,70,*,*,*,*,*,*,*,*,-1.909403,-3.61273,-3.873658,-2.748622,-3.300394,-2.72658,*,-4.5,*
24,72,*,*,*,*,*,*,*,*,-2.186924,-4.036051,-4.554841,-3.196973,-2.855332,-3.006285,*,-4.76,*
