Z    N    Binding_E_(MeV)   S_1p_(MeV)   S_2p_(MeV)   S_1n_(MeV)   S_2n_(MeV)   Q_alpha_(MeV)
22   53   -489.602          *            *            -21.024      -1.9275      *            
22   54   -510.848          *            *            21.246       0.222        *            
23   20   -340.45           -7.207       -0.7345      *            *            -3.0805      
23   21   -352.66125        -3.91225     3.55975      12.21125     *            -2.49425     
23   22   -370.1825         -2.1275      6.274        17.52125     29.7325      -0.698       
23   23   -381.5515         2.7365       12.968       11.369       28.89025     -4.15        
23   24   -400.0155         4.3155       13.567       18.464       29.833       -7.807       
23   25   -407.388          5.597        17.99675     7.3725       25.8365      -10.5045     
23   26   -420.1905         3.8285       15.3115      12.8025      20.175       -5.442       
23   27   -426.8715         3.203        16.6145      6.681        19.4835      -9.18025     
23   28   -437.1975         1.3025       15.3125      10.326       17.007       -4.0185      
23   29   -443.54225        4.33675      18.992       6.34475      16.67075     -4.98525     
23   30   -454.662          5.556        20.8165      11.11975     17.4645      -4.477       
23   31   -454.66           7.707        23.41375     -0.002       11.11775     -1.80975     
23   32   -467.673          6.543        23.101       13.013       13.011       -5.5275      
23   33   -464.1805         8.3785       25.177       -3.4925      9.5205       -4.63425     
23   34   -479.118          7.094        25.043       14.9375      11.445       -6.246       
23   35   -473.609          8.4665       26.7695      -5.509       9.4285       -6.3055      
23   36   -489.27           7.269        26.656       15.661       10.152       -6.895       
23   37   -483.83875        7.82725      27.77275     -5.43125     10.22975     -8.69925     
23   38   -498.5975         7.4555       28.2395      14.75875     9.3275       -7.6835      
23   39   -498.625          8.0725       29.6535      0.0275       14.78625     -14.259      
23   40   -507.9275         8.6945       30.9625      9.3025       9.33         -9.2695      
23   41   -505.36275        9.58075      32.8425      -2.56475     6.73775      -8.09125     
23   42   -512.563          10.002       33.4575      7.20025      4.6355       -7.298       
23   43   -507.0195         14.198       39.585       -5.5435      1.65675      -6.19925     
23   44   -520.266          15.094       38.9925      13.2465      7.703        -12.8605     
23   45   -513.15975        18.68925     *            -7.10625     6.14025      -17.42525    
23   46   -524.7985         17.1195      *            11.63875     4.5325       -15.225      
23   47   -515.477          20.249       *            -9.3215      2.31725      *            
23   48   -527.3205         18.0735      *            11.8435      2.522        *            
23   49   -514.8645         21.1595      *            -12.456      -0.6125      *            
