N	Z	A	EL	MASS EXCESS	BINDING ENERGY/A
				(keV)		(keV)
24	14	38	Si	-4067.274	137.469	7890.118	3.618
23	15	38	P	-14757.82	103.385	8150.86	2.721
22	16	38	S	-26861.197	7.172	8448.782	0.189
21	17	38	Cl	-29798.097	0.096	8505.48	0.003
20	18	38	Ar	-34714.551	0.337	8614.273	0.009
19	19	38	K	-28800.691	0.447	8438.057	0.012
18	20	38	Ca	-22059.22	4.557	8240.062	0.12
17	21	38	Sc	-4937#	298#	7769#	8#
16	22	38	Ti	9101#	252#	7379#	7#
27	12	39	Mg	43568#	513#	6713#	13#
26	13	39	Al	21396.417	1471.761	7261.909	37.737
25	14	39	Si	1928.205	338.015	7741.034	8.667
24	15	39	P	-12873.735	103.412	8100.51	2.652
23	16	39	S	-23162.245	50	8344.258	1.282
22	17	39	Cl	-29800.203	1.732	8494.402	0.044
21	18	39	Ar	-33242.011	5.004	8562.593	0.128
20	19	39	K	-33807.011	0.19	8557.02	0.005
19	20	39	Ca	-27274.4	1.862	8369.457	0.048
18	21	39	Sc	-14168.021	24.001	8013.336	0.615
17	22	39	Ti	1500#	205#	7592#	5#
28	12	40	Mg	50235#	904#	6581#	23#
27	13	40	Al	29295#	699#	7085#	17#
26	14	40	Si	5467.052	556.034	7660.819	13.901
25	15	40	P	-8106.838	139.101	7980.608	3.478
24	16	40	S	-22866.568	141.294	8330.043	3.532
23	17	40	Cl	-27557.81	32.066	8427.765	0.802
22	18	40	Ar	-35039.89602	0.00268	8595.259	0
21	19	40	K	-33535.205	0.192	8538.083	0.005
20	20	40	Ca	-34846.275	0.209	8551.301	0.005
19	21	40	Sc	-20523.228	2.836	8173.666	0.071
18	22	40	Ti	-8850.275	160	7862.283	4
17	23	40	V	10330#	503#	7363#	13#
28	13	41	Al	35704#	801#	6952#	20#
27	14	41	Si	13562.553	1844.358	7473.38	44.984
26	15	41	P	-5276.508	216.23	7913.788	5.274
25	16	41	S	-19019.105	118.272	8229.892	2.885
24	17	41	Cl	-27307.189	68.723	8412.958	1.676
23	18	41	Ar	-33067.467	0.332	8534.371	0.008
22	19	41	K	-35559.074	0.194	8576.061	0.005
21	20	41	Ca	-35137.759	0.242	8546.703	0.006
20	21	41	Sc	-28642.392	0.225	8369.198	0.006
19	22	41	Ti	-15700#	100#	8034#	2#
18	23	41	V	-205#	205#	7637#	5#
29	13	42	Al	43678#	904#	6789#	22#
28	14	42	Si	18434#	503#	7372#	12#
27	15	42	P	938.865	446.839	7769.554	10.639
26	16	42	S	-17677.503	124.215	8194.173	2.957
25	17	42	Cl	-24912.99	143.76	8347.819	3.423
24	18	42	Ar	-34422.675	5.775	8555.613	0.138
23	19	42	K	-35021.556	0.221	8551.245	0.005
22	20	42	Ca	-38547.072	0.249	8616.559	0.006
21	21	42	Sc	-32121.239	0.27	8444.935	0.006
20	22	42	Ti	-25121.552	5.452	8259.649	0.13
19	23	42	V	-8169#	196#	7837#	5#
18	24	42	Cr	5990#	298#	7482#	7#
