N	Z	A	EL	MASS EXCESS	BINDING ENERGY/A
				(keV)		(keV)
73	60	133	Nd	-72332.373	46.575	8262.231	0.35
72	61	133	Pm	-65407.646	50.301	8204.283	0.378
71	62	133	Sm	-57129#	196#	8136#	1#
70	63	133	Eu	-47283#	298#	8056#	2#
85	49	134	In	-52024#	401#	8173#	3#
84	50	134	Sn	-66795.791	99.945	8277.873	0.746
83	51	134	Sb	-74165.791	43.463	8327.034	0.324
82	52	134	Te	-82559.49	10.663	8383.836	0.08
81	53	134	I	-84072.49	8.044	8389.288	0.06
80	54	134	Xe	-88124.49	0.84	8413.689	0.006
79	55	134	Cs	-86891.181	0.026	8398.646	0
78	56	134	Ba	-88949.868	0.399	8408.171	0.003
77	57	134	La	-85218.65	19.93	8374.488	0.149
76	58	134	Ce	-84835.983	20.387	8365.794	0.152
75	59	134	Pr	-78514.011	35.47	8312.777	0.265
74	60	134	Nd	-75646.459	11.817	8285.538	0.088
73	61	134	Pm	-66738.751	57.753	8213.225	0.431
72	62	134	Sm	-61507#	196#	8168#	1#
71	63	134	Eu	-49826#	196#	8075#	1#
70	64	134	Gd	-41573#	401#	8008#	3#
86	49	135	In	-47199#	503#	8137#	4#
85	50	135	Sn	-60799#	401#	8232#	3#
84	51	135	Sb	-69707.636	102.731	8292.117	0.761
83	52	135	Te	-77827.636	89.742	8346.47	0.665
82	53	135	I	-83789.636	7.32	8384.838	0.054
81	54	135	Xe	-86417.033	4.532	8398.505	0.034
80	55	135	Cs	-87581.853	1	8401.338	0.007
79	56	135	Ba	-87850.512	0.412	8397.533	0.003
78	57	135	La	-86650.512	10.008	8382.849	0.074
77	58	135	Ce	-84624.93	11.043	8362.049	0.082
76	59	135	Pr	-80935.888	11.817	8328.928	0.088
75	60	135	Nd	-76213.758	19.296	8288.154	0.143
74	61	135	Pm	-69977.556	58.684	8236.165	0.435
73	62	135	Sm	-62857.216	154.628	8177.626	1.145
72	63	135	Eu	-54194#	298#	8108#	2#
71	64	135	Gd	-44181#	503#	8028#	4#
86	50	136	Sn	-56504#	503#	8199#	4#
85	51	136	Sb	-64879#	298#	8255#	2#
84	52	136	Te	-74425.21	45.231	8319.429	0.333
83	53	136	I	-79499.294	49.698	8350.986	0.365
82	54	136	Xe	-86425.137	7.041	8396.158	0.052
81	55	136	Cs	-86338.711	1.902	8389.77	0.014
80	56	136	Ba	-88886.935	0.414	8402.755	0.003
79	57	136	La	-86036.945	52.914	8376.046	0.389
78	58	136	Ce	-86468.332	13.308	8373.466	0.098
77	59	136	Pr	-81327.241	12.258	8329.911	0.09
76	60	136	Nd	-79199.314	11.817	8308.512	0.087
75	61	136	Pm	-71197.972	78.062	8243.926	0.574
74	62	136	Sm	-66810.917	12.497	8205.916	0.092
73	63	136	Eu	-56262#	196#	8123#	1#
72	64	136	Gd	-49052#	401#	8064#	3#
71	65	136	Tb	-35974#	596#	7962#	4#
87	50	137	Sn	-50310#	596#	8153#	4#
86	51	137	Sb	-60258#	401#	8220#	3#
85	52	137	Te	-69561.221	122.466	8282.114	0.894
84	53	137	I	-76502.82	27.741	8327.072	0.202
83	54	137	Xe	-82379.35	7.042	8364.256	0.051
82	55	137	Cs	-86545.599	0.455	8388.956	0.003
81	56	137	Ba	-87721.227	0.421	8391.827	0.003
80	57	137	La	-87100.653	13.404	8381.586	0.098
79	58	137	Ce	-85878.553	13.308	8366.955	0.097
78	59	137	Pr	-83177.333	11.787	8341.528	0.086
77	60	137	Nd	-79580.199	11.482	8309.561	0.084
76	61	137	Pm	-74072.875	13.041	8263.651	0.095
75	62	137	Sm	-68025.381	42.391	8213.798	0.309
74	63	137	Eu	-60016#	196#	8150#	1#
73	64	137	Gd	-51214#	401#	8080#	3#
72	65	137	Tb	-41004#	596#	7999#	4#
87	51	138	Sb	-55154#	298#	8182#	2#
86	52	138	Te	-65931#	205#	8254#	1#
85	53	138	I	-72330.89	82.351	8294.988	0.597
84	54	138	Xe	-80150.89	43.378	8345.985	0.314
83	55	138	Cs	-82887.407	9.16	8360.146	0.066
82	56	138	Ba	-88261.631	0.423	8393.42	0.003
81	57	138	La	-86524.681	3.528	8375.164	0.026
80	58	138	Ce	-87568.521	10.156	8377.059	0.074
79	59	138	Pr	-83131.521	14.253	8339.238	0.103
78	60	138	Nd	-82018.083	11.817	8325.5	0.086
77	61	138	Pm	-74940.294	27.494	8268.543	0.199
76	62	138	Sm	-71497.79	11.817	8237.928	0.086
75	63	138	Eu	-61749.669	27.945	8161.62	0.202
74	64	138	Gd	-55778#	196#	8113#	1#
73	65	138	Tb	-43631#	401#	8019#	3#
72	66	138	Dy	-34940#	596#	7950#	4#
88	51	139	Sb	-50319#	503#	8146#	4#
87	52	139	Te	-60799#	401#	8216#	3#
86	53	139	I	-68837.893	31.074	8268.249	0.224
85	54	139	Xe	-75643.893	20.894	8311.585	0.15
84	55	139	Cs	-80700.915	3.152	8342.338	0.023
83	56	139	Ba	-84913.745	0.424	8367.017	0.003
82	57	139	La	-87231.371	2.415	8378.063	0.017
81	58	139	Ce	-86952.496	7.347	8370.428	0.053
80	59	139	Pr	-84823.335	7.916	8349.482	0.057
79	60	139	Nd	-81991.697	25.845	8323.482	0.186
78	61	139	Pm	-77496.499	13.481	8285.514	0.097
77	62	139	Sm	-72380.247	10.884	8243.078	0.078
76	63	139	Eu	-65398.07	13.151	8187.218	0.095
75	64	139	Gd	-57529#	196#	8125#	1#
74	65	139	Tb	-48168#	298#	8052#	2#
73	66	139	Dy	-37688#	503#	7971#	4#
88	52	140	Te	-56961#	298#	8188#	2#
87	53	140	I	-64273#	196#	8234#	1#
86	54	140	Xe	-72990.992	60.558	8290.919	0.433
85	55	140	Cs	-77050.992	8.203	8314.331	0.059
84	56	140	Ba	-83271.368	7.959	8353.174	0.057
83	57	140	La	-84321.031	2.415	8355.083	0.017
82	58	140	Ce	-88083.278	2.462	8376.368	0.018
81	59	140	Pr	-84695.278	6.485	8346.58	0.046
80	60	140	Nd	-84251.77	27.945	8337.824	0.2
79	61	140	Pm	-78206.57	36.836	8289.056	0.263
78	62	140	Sm	-75455.963	12.497	8263.82	0.089
77	63	140	Eu	-66985.963	51.538	8197.732	0.368
76	64	140	Gd	-61782.272	27.945	8154.975	0.2
75	65	140	Tb	-50482.272	800.488	8068.672	5.718
74	66	140	Dy	-42839#	503#	8008#	4#
73	67	140	Ho	-29305#	503#	7906#	4#
89	52	141	Te	-51558#	401#	8148#	3#
88	53	141	I	-60519#	196#	8206#	1#
87	54	141	Xe	-68326.902	90.613	8256.283	0.643
86	55	141	Cs	-74476.902	10.525	8294.351	0.075
85	56	141	Ba	-79725.632	8.108	8326.028	0.058
84	57	141	La	-82938.221	4.577	8343.264	0.032
83	58	141	Ce	-85440.105	2.462	8355.459	0.017
82	59	141	Pr	-86020.892	2.468	8354.029	0.018
81	60	141	Nd	-84197.879	3.739	8335.552	0.027
80	61	141	Pm	-80522.949	13.972	8303.94	0.099
79	62	141	Sm	-75938.662	8.627	8265.879	0.061
78	63	141	Eu	-69926.584	12.641	8217.691	0.09
77	64	141	Gd	-63224.224	19.76	8164.608	0.14
76	65	141	Tb	-54540.837	105.259	8097.475	0.747
75	66	141	Dy	-45317#	298#	8027#	2#
74	67	141	Ho	-34374#	503#	7943#	4#
90	52	142	Te	-47432#	596#	8119#	4#
89	53	142	I	-55722#	401#	8172#	3#
88	54	142	Xe	-65475.096	100.56	8234.897	0.708
87	55	142	Cs	-70515.096	10.6	8264.881	0.075
86	56	142	Ba	-77823.147	6.181	8310.836	0.044
85	57	142	La	-80034.775	5.663	8320.902	0.04
84	58	142	Ce	-84538.479	2.993	8347.108	0.021
83	59	142	Pr	-83792.724	2.468	8336.347	0.017
82	60	142	Nd	-85955.195	2.328	8346.066	0.016
81	61	142	Pm	-81156.907	25.061	8306.766	0.176
80	62	142	Sm	-78992.889	5.675	8286.017	0.04
79	63	142	Eu	-71319.889	30.532	8226.472	0.215
78	64	142	Gd	-66959.515	27.945	8190.256	0.197
77	65	142	Tb	-57060#	301#	8115#	2#
76	66	142	Dy	-49960#	362#	8060#	3#
75	67	142	Ho	-37474#	503#	7966#	4#
90	53	143	I	-51642#	401#	8142#	3#
89	54	143	Xe	-60445#	196#	8199#	1#
88	55	143	Cs	-67671.41	23.686	8243.641	0.166
87	56	143	Ba	-73935.736	13.248	8281.977	0.093
86	57	143	La	-78187.073	15.425	8306.235	0.108
85	58	143	Ce	-81611.999	2.993	8324.715	0.021
84	59	143	Pr	-83073.499	2.633	8329.464	0.018
83	60	143	Nd	-84007.448	2.328	8330.524	0.016
82	61	143	Pm	-82965.734	3.308	8317.769	0.023
81	62	143	Sm	-79523.191	3.63	8288.224	0.025
80	63	143	Eu	-74242.392	10.986	8245.824	0.077
79	64	143	Gd	-68232.392	200.301	8198.326	1.401
78	65	143	Tb	-60434.4	59.616	8138.323	0.417
77	66	143	Dy	-52322#	196#	8076#	1#
76	67	143	Ho	-42281#	401#	8000#	3#
75	68	143	Er	-31354#	596#	7919#	4#
91	53	144	I	-46584#	503#	8107#	3#
90	54	144	Xe	-57278#	298#	8176#	2#
89	55	144	Cs	-63269.947	26.252	8211.879	0.182
88	56	144	Ba	-71768.956	13.349	8265.467	0.093
87	57	144	La	-74892.447	48.815	8281.725	0.339
86	58	144	Ce	-80436.989	3.444	8314.795	0.024
85	59	144	Pr	-80755.645	3.342	8311.575	0.023
84	60	144	Nd	-83753.165	2.328	8326.959	0.016
83	61	144	Pm	-81421.106	3.19	8305.331	0.022
82	62	144	Sm	-81971.958	2.807	8303.723	0.019
81	63	144	Eu	-75621.643	10.827	8254.191	0.075
80	64	144	Gd	-71759.504	27.945	8221.937	0.194
79	65	144	Tb	-62368.181	27.945	8151.287	0.194
78	66	144	Dy	-56584.535	30.739	8105.69	0.213
77	67	144	Ho	-45196#	298#	8021#	2#
76	68	144	Er	-36906#	401#	7958#	3#
91	54	145	Xe	-52098#	298#	8139#	2#
90	55	145	Cs	-60056.986	10.842	8188.751	0.075
89	56	145	Ba	-67414.986	70.835	8234.1	0.489
88	57	145	La	-72986.839	90.123	8267.131	0.622
87	58	145	Ce	-77096.839	41.498	8290.081	0.286
86	59	145	Pr	-79631.839	7.446	8302.168	0.051
85	60	145	Nd	-81437.134	2.334	8309.223	0.016
84	61	145	Pm	-81273.762	3.137	8302.701	0.022
83	62	145	Sm	-80657.737	2.814	8293.057	0.019
82	63	145	Eu	-77998.429	3.843	8269.321	0.027
81	64	145	Gd	-72927.362	18.756	8228.953	0.129
80	65	145	Tb	-65880.845	56.821	8174.961	0.392
79	66	145	Dy	-58288.238	45.643	8117.202	0.315
78	67	145	Ho	-49183#	298#	8049#	2#
77	68	145	Er	-39691#	401#	7978#	3#
76	69	145	Tm	-27877#	401#	7891#	3#
92	54	146	Xe	-48671#	401#	8115#	3#
91	55	146	Cs	-55620.044	71.271	8157.557	0.488
90	56	146	Ba	-65000.05	72.302	8216.445	0.495
89	57	146	La	-69122.947	71.388	8239.325	0.489
88	58	146	Ce	-75675.496	66.442	8278.847	0.455
87	59	146	Pr	-76713.808	61.711	8280.6	0.423
86	60	146	Nd	-80931.05	2.334	8304.127	0.016
85	61	146	Pm	-79459.88	4.687	8288.692	0.032
84	62	146	Sm	-81001.88	3.601	8293.895	0.025
83	63	146	Eu	-77122.285	6.233	8261.964	0.043
82	64	146	Gd	-76093.179	4.707	8249.557	0.032
81	65	146	Tb	-67769.37	45.211	8187.186	0.31
80	66	146	Dy	-62554.136	27.112	8146.107	0.186
79	67	146	Ho	-51568#	196#	8065#	1#
78	68	146	Er	-44712#	298#	8013#	2#
77	69	146	Tm	-31275#	401#	7916#	3#
93	54	147	Xe	-43259#	401#	8078#	3#
92	55	147	Cs	-52019.275	53.056	8132.475	0.361
91	56	147	Ba	-60598#	206#	8186#	1#
90	57	147	La	-66848.403	48.072	8222.709	0.327
89	58	147	Ce	-72028.748	30.523	8252.628	0.208
88	59	147	Pr	-75454.748	23.057	8270.612	0.157
87	60	147	Nd	-78151.936	2.335	8283.638	0.016
86	61	147	Pm	-79047.936	2.409	8284.411	0.016
85	62	147	Sm	-79272.075	2.412	8280.614	0.016
84	63	147	Eu	-77550.499	3.228	8263.58	0.022
83	64	147	Gd	-75363.063	3.03	8243.378	0.021
82	65	147	Tb	-70752.013	11.915	8206.688	0.081
81	66	147	Dy	-64187.855	19.76	8156.712	0.134
80	67	147	Ho	-55837.477	27.945	8094.584	0.19
79	68	147	Er	-47050#	298#	8029#	2#
78	69	147	Tm	-36365#	298#	7951#	2#
93	55	148	Cs	-47302.986	575.724	8100.195	3.89
92	56	148	Ba	-58013.403	84.181	8167.277	0.569
91	57	148	La	-63128.403	59.045	8196.551	0.399
90	58	148	Ce	-70390.756	29.425	8240.335	0.199
89	59	148	Pr	-72530.756	25.881	8249.508	0.175
88	60	148	Nd	-77413.404	2.837	8277.213	0.019
87	61	148	Pm	-76871.898	6.083	8268.268	0.041
86	62	148	Sm	-79342.169	2.417	8279.673	0.016
85	63	148	Eu	-76302.498	10.208	8253.849	0.069
84	64	148	Gd	-76275.83	2.807	8248.382	0.019
83	65	148	Tb	-70540.457	13.907	8204.344	0.094
82	66	148	Dy	-67859.496	10.583	8180.943	0.072
81	67	148	Ho	-58015.31	129.478	8109.142	0.875
80	68	148	Er	-51651#	196#	8061#	1#
79	69	148	Tm	-39272#	401#	7972#	3#
78	70	148	Yb	-30348#	596#	7906#	4#
94	55	149	Cs	-43845#	196#	8077#	1#
93	56	149	Ba	-53486#	196#	8136#	1#
92	57	149	La	-60795#	315#	8180#	2#
91	58	149	Ce	-66695.08	96.908	8214.397	0.65
90	59	149	Pr	-71056.55	82.122	8238.418	0.551
89	60	149	Nd	-74380.875	2.838	8255.479	0.019
88	61	149	Pm	-76071.245	4.159	8261.573	0.028
87	62	149	Sm	-77141.922	2.443	8263.508	0.016
86	63	149	Eu	-76446.56	4.348	8253.59	0.029
85	64	149	Gd	-75133.454	3.95	8239.527	0.027
84	65	149	Tb	-71495.975	4.284	8209.864	0.029
83	66	149	Dy	-67715.154	8.764	8179.238	0.059
82	67	149	Ho	-61688.403	18.404	8133.54	0.124
81	68	149	Er	-53741.615	27.945	8074.955	0.188
80	69	149	Tm	-44041#	298#	8005#	2#
79	70	149	Yb	-33497#	503#	7929#	3#
95	55	150	Cs	-38964#	298#	8044#	2#
94	56	150	Ba	-50599#	401#	8117#	3#
93	57	150	La	-57035#	401#	8154#	3#
92	58	150	Ce	-64823.663	47.814	8200.968	0.319
91	59	150	Pr	-68303.663	26.194	8218.952	0.175
90	60	150	Nd	-73689.663	3.184	8249.643	0.021
89	61	150	Pm	-73603.339	20.147	8243.852	0.134
88	62	150	Sm	-77057.339	2.433	8261.663	0.016
87	63	150	Eu	-74797.274	6.497	8241.38	0.043
86	64	150	Gd	-75768.769	6.317	8242.641	0.042
85	65	150	Tb	-71110.545	7.556	8206.371	0.05
84	66	150	Dy	-69316.955	4.91	8189.198	0.033
83	67	150	Ho	-61947.908	14.182	8134.855	0.095
82	68	150	Er	-57832.887	17.201	8102.206	0.115
81	69	150	Tm	-46612#	196#	8022#	1#
80	70	150	Yb	-38732#	401#	7964#	3#
79	71	150	Lu	-24938#	503#	7867#	3#
96	55	151	Cs	-35220#	503#	8020#	3#
95	56	151	Ba	-45820#	401#	8085#	3#
94	57	151	La	-54287#	401#	8136#	3#
93	58	151	Ce	-61500.777	102.629	8178.103	0.68
92	59	151	Pr	-66770.777	23.079	8207.823	0.153
91	60	151	Nd	-70952.896	3.186	8230.338	0.021
90	61	151	Pm	-73395.232	5.34	8241.331	0.035
89	62	151	Sm	-74582.481	2.433	8244.012	0.016
88	63	151	Eu	-74659.094	2.455	8239.339	0.016
87	64	151	Gd	-74194.911	3.674	8231.084	0.024
86	65	151	Tb	-71629.52	4.582	8208.913	0.03
85	66	151	Dy	-68758.601	4.02	8184.719	0.027
84	67	151	Ho	-63632.086	12.053	8145.588	0.08
83	68	151	Er	-58265.971	16.47	8104.869	0.109
82	69	151	Tm	-50781.802	20.252	8050.124	0.134
81	70	151	Yb	-41543.916	300.493	7983.765	1.99
80	71	151	Lu	-30202#	401#	7903#	3#
96	56	152	Ba	-42597#	503#	8063#	3#
95	57	152	La	-50068#	401#	8107#	3#
94	58	152	Ce	-59113#	196#	8162#	1#
93	59	152	Pr	-63808.061	122.497	8187.433	0.806
92	60	152	Nd	-70158.061	24.609	8224.062	0.162
91	61	152	Pm	-71262.276	26.016	8226.18	0.171
90	62	152	Sm	-74768.765	2.471	8244.102	0.016
89	63	152	Eu	-72894.497	2.455	8226.624	0.016
88	64	152	Gd	-74714.206	2.513	8233.449	0.017
87	65	152	Tb	-70724.206	40.079	8202.052	0.264
86	66	152	Dy	-70124.452	5.181	8192.959	0.034
85	67	152	Ho	-63608.266	13.971	8144.942	0.092
84	68	152	Er	-60500.173	10.706	8119.347	0.07
83	69	152	Tm	-51770.574	73.588	8056.769	0.484
82	70	152	Yb	-46305.574	208.423	8015.668	1.371
81	71	152	Lu	-33422#	196#	7926#	1#
97	56	153	Ba	-37623#	801#	8031#	5#
96	57	153	La	-46929#	596#	8087#	4#
95	58	153	Ce	-55349#	401#	8137#	3#
94	59	153	Pr	-61628.663	103.673	8172.43	0.678
93	60	153	Nd	-67348.663	27.352	8204.702	0.179
92	61	153	Pm	-70684.663	11.097	8221.392	0.073
91	62	153	Sm	-72565.846	2.474	8228.574	0.016
90	63	153	Eu	-73373.467	2.457	8228.74	0.016
89	64	153	Gd	-72889.831	2.509	8220.465	0.016
88	65	153	Tb	-71320.222	4.491	8205.093	0.029
87	66	153	Dy	-69149.764	4.535	8185.793	0.03
86	67	153	Ho	-65019.41	5.554	8153.684	0.036
85	68	153	Er	-60487.968	8.828	8118.954	0.058
84	69	153	Tm	-54015.37	18.461	8071.536	0.121
83	70	153	Yb	-47059#	196#	8021#	1#
82	71	153	Lu	-38407.984	208.658	7959.3	1.364
81	72	153	Hf	-27302#	503#	7882#	3#
97	57	154	La	-42383#	596#	8057#	4#
96	58	154	Ce	-52704#	503#	8119#	3#
95	59	154	Pr	-58201.466	151.651	8149.519	0.985
94	60	154	Nd	-65691.466	114.008	8193.075	0.74
93	61	154	Pm	-68498.396	44.794	8206.221	0.291
92	62	154	Sm	-72461.596	2.548	8226.876	0.017
91	63	154	Eu	-71744.378	2.462	8217.139	0.016
90	64	154	Gd	-73713.221	2.504	8224.843	0.016
89	65	154	Tb	-70161.974	45.367	8196.703	0.295
88	66	154	Dy	-70398.165	7.633	8193.157	0.05
87	67	154	Ho	-64644.213	8.383	8150.713	0.054
86	68	154	Er	-62612.157	5.47	8132.438	0.036
85	69	154	Tm	-54429.236	14.426	8074.222	0.094
84	70	154	Yb	-49933.735	17.288	8039.95	0.112
83	71	154	Lu	-39568#	202#	7968#	1#
82	72	154	Hf	-32733#	503#	7918#	3#
98	57	155	La	-38797#	801#	8034#	5#
97	58	155	Ce	-48400#	596#	8091#	4#
96	59	155	Pr	-55778#	298#	8133#	2#
95	60	155	Nd	-62473#	153#	8172#	1#
94	61	155	Pm	-66973.239	30.109	8195.511	0.194
93	62	155	Sm	-70197.239	2.562	8211.264	0.017
92	63	155	Eu	-71824.466	2.49	8216.715	0.016
91	64	155	Gd	-72077.123	2.504	8213.297	0.016
90	65	155	Tb	-71254.414	12.125	8202.942	0.078
89	66	155	Dy	-69159.914	11.976	8184.382	0.077
88	67	155	Ho	-66039.673	17.89	8159.204	0.115
87	68	155	Er	-62215.463	6.52	8129.484	0.042
86	69	155	Tm	-56635.339	13.223	8088.436	0.085
85	70	155	Yb	-50503.433	16.625	8043.828	0.107
84	71	155	Lu	-42554.171	20.089	7987.495	0.13
83	72	155	Hf	-34102#	401#	7928#	3#
82	73	155	Ta	-23668#	503#	7856#	3#
98	58	156	Ce	-45401#	596#	8071#	4#
97	59	156	Pr	-51912#	401#	8108#	3#
96	60	156	Nd	-60530.237	202.934	8158.429	1.301
95	61	156	Pm	-64220.237	34.382	8177.068	0.22
94	62	156	Sm	-69370.326	9.528	8205.066	0.061
93	63	156	Eu	-70092.829	5.812	8204.682	0.037
92	64	156	Gd	-72542.197	2.504	8215.368	0.016
91	65	156	Tb	-70097.52	4.412	8194.682	0.028
90	66	156	Dy	-70529.829	6.589	8192.439	0.042
89	67	156	Ho	-65354.551	44.712	8154.249	0.287
88	68	156	Er	-64212.821	24.428	8141.915	0.157
87	69	156	Tm	-56839.827	15.744	8089.637	0.101
86	70	156	Yb	-53264.49	11.287	8061.703	0.072
85	71	156	Lu	-43749.923	73.658	7995.697	0.472
84	72	156	Hf	-37852.167	208.458	7952.876	1.336
83	73	156	Ta	-25799#	401#	7871#	3#
99	58	157	Ce	-40669#	699#	8041#	4#
98	59	157	Pr	-48969#	401#	8089#	3#
97	60	157	Nd	-56793#	196#	8134#	1#
96	61	157	Pm	-62373.426	111.93	8164.631	0.713
95	62	157	Sm	-66733.426	50.282	8187.419	0.32
94	63	157	Eu	-69467.426	5.319	8199.85	0.034
93	64	157	Gd	-70830.678	2.505	8203.55	0.016
92	65	157	Tb	-70770.626	2.521	8198.184	0.016
91	66	157	Dy	-69427.886	6.672	8184.648	0.042
90	67	157	Ho	-66828.93	24.428	8163.111	0.156
89	68	157	Er	-63419.838	27.945	8136.414	0.178
88	69	157	Tm	-58709.273	27.945	8101.428	0.178
87	70	157	Yb	-53441.815	10.138	8062.894	0.065
86	71	157	Lu	-46483.134	18.682	8013.588	0.119
85	72	157	Hf	-38754#	196#	7959#	1#
84	73	157	Ta	-29628.547	208.684	7896.268	1.329
99	59	158	Pr	-44730#	596#	8062#	4#
98	60	158	Nd	-54399#	401#	8119#	3#
97	61	158	Pm	-59092.669	127.015	8143.276	0.804
96	62	158	Sm	-65212.669	78.313	8177.059	0.496
95	63	158	Eu	-67211.669	76.863	8184.759	0.486
94	64	158	Gd	-70696.751	2.505	8201.865	0.016
93	65	158	Tb	-69477.216	2.618	8189.195	0.017
92	66	158	Dy	-70412.109	3.397	8190.16	0.022
91	67	158	Ho	-66191.026	27.218	8158.493	0.172
90	68	158	Er	-65303.809	25.219	8147.926	0.16
89	69	158	Tm	-58703.194	25.219	8101.199	0.16
88	70	158	Yb	-56014.817	8.203	8079.232	0.052
87	71	158	Lu	-47214.373	15.138	8018.581	0.096
86	72	158	Hf	-42104.119	17.501	7981.286	0.111
85	73	158	Ta	-31019#	202#	7906#	1#
84	74	158	W	-23695#	503#	7855#	3#
100	59	159	Pr	-41451#	699#	8042#	4#
99	60	159	Nd	-50217#	503#	8092#	3#
98	61	159	Pm	-56849#	196#	8129#	1#
97	62	159	Sm	-62213.301	100.268	8157.53	0.631
96	63	159	Eu	-66053.301	7.321	8176.76	0.046
95	64	159	Gd	-68568.524	2.508	8187.659	0.016
94	65	159	Tb	-69539.048	2.551	8188.842	0.016
93	66	159	Dy	-69173.476	2.731	8181.623	0.017
92	67	159	Ho	-67335.876	3.829	8165.145	0.024
91	68	159	Er	-64567.376	4.319	8142.813	0.027
90	69	159	Tm	-60570.398	27.945	8112.754	0.176
89	70	159	Yb	-55842.973	18.356	8078.101	0.115
88	71	159	Lu	-49714.975	37.663	8034.64	0.237
87	72	159	Hf	-42853.503	16.838	7986.566	0.106
86	73	159	Ta	-34448.35	20.514	7928.783	0.129
85	74	159	W	-25227#	401#	7866#	3#
100	60	160	Nd	-47422#	596#	8074#	4#
99	61	160	Pm	-53104#	298#	8105#	2#
98	62	160	Sm	-60417#	196#	8146#	1#
97	63	160	Eu	-63369#	200#	8159#	1#
96	64	160	Gd	-67948.626	2.556	8183.057	0.016
95	65	160	Tb	-67842.938	2.555	8177.507	0.016
94	66	160	Dy	-69678.064	2.536	8184.087	0.016
93	67	160	Ho	-66388.064	15.213	8158.635	0.095
92	68	160	Er	-66058.488	24.428	8151.685	0.153
91	69	160	Tm	-60302.313	34.274	8110.82	0.214
90	70	160	Yb	-58169.617	16.507	8092.601	0.103
89	71	160	Lu	-50269.937	56.821	8038.338	0.355
88	72	160	Hf	-45937.205	11.583	8006.369	0.072
87	73	160	Ta	-35875.507	89.025	7938.593	0.556
86	74	160	W	-29361.804	208.508	7892.993	1.303
85	75	160	Re	-16660#	401#	7809#	3#
101	60	161	Nd	-42961#	699#	8047#	4#
100	61	161	Pm	-50431#	503#	8088#	3#
99	62	161	Sm	-56979#	298#	8124#	2#
98	63	161	Eu	-61777#	298#	8149#	2#
97	64	161	Gd	-65512.709	2.745	8167.233	0.017
96	65	161	Tb	-67468.186	2.604	8174.52	0.016
95	66	161	Dy	-68061.133	2.535	8173.344	0.016
94	67	161	Ho	-67202.843	3.222	8163.153	0.02
93	68	161	Er	-65208.95	9.404	8145.91	0.058
92	69	161	Tm	-61898.708	27.945	8120.49	0.174
91	70	161	Yb	-57844.214	15.993	8090.447	0.099
90	71	161	Lu	-52562.344	27.945	8052.781	0.174
89	72	161	Hf	-46318.685	22.536	8009.142	0.14
88	73	161	Ta	-38734#	55#	7957#	0#
87	74	161	W	-30407#	196#	7901#	1#
86	75	161	Re	-20875.601	208.576	7836.532	1.296
101	61	162	Pm	-46305#	699#	8063#	4#
100	62	162	Sm	-54753#	503#	8110#	3#
99	63	162	Eu	-58647#	298#	8129#	2#
98	64	162	Gd	-64287.29	4.58	8159.077	0.028
97	65	162	Tb	-65681.287	36.452	8162.853	0.225
96	66	162	Dy	-68186.808	2.535	8173.49	0.016
95	67	162	Ho	-66047.112	3.921	8155.452	0.024
94	68	162	Er	-66342.62	3.467	8152.447	0.021
93	69	162	Tm	-61483.558	26.277	8117.624	0.162
92	70	162	Yb	-59831.527	15.993	8102.597	0.099
91	71	162	Lu	-52836.866	75.036	8054.59	0.463
90	72	162	Hf	-49173.105	9.598	8027.145	0.059
89	73	162	Ta	-39782.377	52.241	7964.348	0.322
88	74	162	W	-34001.937	17.71	7923.837	0.109
87	75	162	Re	-22354#	202#	7847#	1#
86	76	162	Os	-14503#	503#	7794#	3#
102	61	163	Pm	-43147#	801#	8043#	5#
101	62	163	Sm	-50897#	699#	8086#	4#
100	63	163	Eu	-56626#	503#	8116#	3#
99	64	163	Gd	-61488#	298#	8141#	2#
98	65	163	Tb	-64601.404	4.735	8155.666	0.029
97	66	163	Dy	-66386.498	2.535	8161.818	0.016
96	67	163	Ho	-66383.942	2.535	8157.002	0.016
95	68	163	Er	-65174.074	5.243	8144.78	0.032
94	69	163	Tm	-62735.074	6.04	8125.017	0.037
93	70	163	Yb	-59304.213	15.993	8099.17	0.098
92	71	163	Lu	-54791.409	27.945	8066.684	0.171
91	72	163	Hf	-49286.28	27.945	8028.11	0.171
90	73	163	Ta	-42541.078	38.061	7981.929	0.234
89	74	163	W	-34909.095	52.759	7930.308	0.324
88	75	163	Re	-26006.814	19.947	7870.893	0.122
87	76	163	Os	-16124#	404#	7805#	2#
102	62	164	Sm	-48177#	801#	8069#	5#
101	63	164	Eu	-53104#	596#	8095#	4#
100	64	164	Gd	-59746#	401#	8130#	2#
99	65	164	Tb	-62083.294	100.032	8139.797	0.61
98	66	164	Dy	-65973.294	2.534	8158.746	0.015
97	67	164	Ho	-64987.069	2.773	8147.963	0.017
96	68	164	Er	-65949.562	3.07	8149.061	0.019
95	69	164	Tm	-61888.462	27.945	8119.528	0.17
94	70	164	Yb	-61022.716	15.993	8109.478	0.098
93	71	164	Lu	-54642.37	27.945	8065.803	0.17
92	72	164	Hf	-51821.541	20.403	8043.833	0.124
91	73	164	Ta	-43282.801	27.945	7986.997	0.17
90	74	164	W	-38233.747	11.756	7951.44	0.072
89	75	164	Re	-27644#	159#	7882#	1#
88	76	164	Os	-20459.661	208.591	7833.52	1.272
87	77	164	Ir	-7265#	413#	7748#	3#
103	62	165	Sm	-43799#	904#	8043#	5#
