N	Z	A	EL	MASS EXCESS       BINDING ENERGY/A
				(keV)		(keV)	
33	19	52	K	-17137.627	33.534	8115.029	0.645
32	20	52	Ca	-34266.266	0.671	8429.381	0.013
31	21	52	Sc	-40443.279	81.852	8533.125	1.574
30	22	52	Ti	-49469.82	7.072	8691.667	0.136
29	23	52	V	-51443.769	0.42	8714.582	0.008
28	24	52	Cr	-55419.242	0.34	8775.989	0.007
27	25	52	Mn	-50707.284	1.845	8670.329	0.035
26	26	52	Fe	-48330.363	5.117	8609.574	0.098
25	27	52	Co	-34360.951	8.383	8325.886	0.161
24	28	52	Ni	-22330#	400#	8079#	8#
23	29	52	Cu	-2280#	600#	7679#	12#
35	18	53	Ar	6791#	699#	7677#	13#
34	19	53	K	-12295.721	111.779	8022.848	2.109
33	20	53	Ca	-29387.704	43.78	8330.577	0.826
32	21	53	Sc	-38906.808	94.087	8495.421	1.775
31	22	53	Ti	-46831.061	100.049	8630.174	1.888
30	23	53	V	-51851.061	3.12	8710.13	0.059
29	24	53	Cr	-55286.999	0.348	8760.198	0.007
28	25	53	Mn	-54690.116	0.45	8734.175	0.009
27	26	53	Fe	-50947.53	1.656	8648.799	0.031
26	27	53	Co	-42659.428	1.713	8477.658	0.032
25	28	53	Ni	-29630.824	25.15	8217.074	0.475
24	29	53	Cu	-13270#	500#	7894#	9#
35	19	54	K	-5002#	596#	7889#	11#
34	20	54	Ca	-25160.585	48.438	8247.496	0.897
33	21	54	Sc	-33890.9	272.8	8394.681	5.052
32	22	54	Ti	-45621.981	82.461	8597.435	1.527
31	23	54	V	-49893.173	15.004	8662.043	0.278
30	24	54	Cr	-56934.765	0.353	8777.955	0.007
29	25	54	Mn	-55557.629	1.059	8737.965	0.02
28	26	54	Fe	-56254.5	0.372	8736.382	0.007
27	27	54	Co	-48009.953	0.383	8569.217	0.007
26	28	54	Ni	-39278.308	4.657	8393.032	0.086
25	29	54	Cu	-21410#	400#	8048#	7#
24	30	54	Zn	-6272#	400#	7753#	7#
36	19	55	K	708#	699#	7788#	13#
35	20	55	Ca	-18350#	300#	8120#	5#
34	21	55	Sc	-30159.352	454.342	8320.955	8.261
33	22	55	Ti	-41668.088	161.602	8515.98	2.938
32	23	55	V	-49144.586	95.104	8637.692	1.729
31	24	55	Cr	-55109.71	0.399	8731.924	0.007
30	25	55	Mn	-57712.413	0.303	8765.022	0.006
29	26	55	Fe	-57481.3	0.342	8746.595	0.006
28	27	55	Co	-54029.883	0.428	8669.618	0.008
27	28	55	Ni	-45335.849	0.719	8497.32	0.013
26	29	55	Cu	-31635.399	155.559	8233.996	2.828
