Z,N,2003,2003_sd,2016,2016_sd,2017,2017_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
23,41,*,*,*,*,*,*,2.677673,1.668491,1.415201,1.771385,1.982487,1.692058,1.587121,2.17,1.88
23,43,*,*,*,*,*,*,2.304931,1.372084,1.004012,1.41197,1.547694,1.569776,1.509066,1.85,1.72
23,45,*,*,*,*,*,*,2.089977,0.926222,0.991528,1.195113,1.436914,1.110931,1.027783,1.58,1.08
23,47,*,*,*,*,*,*,1.591082,0.400878,0.364324,0.57181,0.824129,0.588587,0.464265,1.33,0.95
23,49,*,*,*,*,*,*,1.152434,*,*,0.07628,0.340237,0.150227,0.052875,1.23,0.52
23,51,*,*,*,*,*,*,0.439309,*,*,*,*,*,*,*,0.29
23,53,*,*,*,*,*,*,0.122338,*,*,*,*,*,*,*,*
23,55,*,*,*,*,*,*,0.003173,*,*,*,*,*,*,*,*
25,3,*,*,*,*,*,*,23.860986,24.825236,25.056269,23.765754,24.426027,23.915256,*,*,*
25,5,*,*,*,*,*,*,27.933382,28.619242,28.892878,27.34807,28.160732,27.700652,*,*,*
25,7,*,*,*,*,*,*,26.095591,27.491867,27.756609,26.378831,26.361479,26.961802,*,*,*
25,9,*,*,*,*,*,*,23.906298,23.99,24.154321,22.944445,23.615772,22.779979,*,*,*
25,11,*,*,*,*,*,*,24.191234,24.600136,24.946928,24.032294,24.626988,24.520543,*,*,*
25,13,*,*,*,*,*,*,21.715057,22.471938,22.558168,22.17277,22.815148,22.840043,*,*,*
25,15,*,*,*,*,*,*,19.797224,20.559641,20.445574,20.362437,20.616668,21.282483,*,*,*
25,17,*,*,*,*,*,*,17.528448,18.458452,18.16782,18.176911,18.526854,19.101911,*,19.59,20.12
25,19,*,*,*,*,*,*,16.426026,16.794708,17.03763,16.852704,17.034086,17.880198,*,17.58,18.83
25,21,*,*,*,*,*,*,13.634143,13.604628,13.491289,13.856462,14.343354,14.357898,14.005636,15.38,16.21
25,23,*,*,14.80128,0.03242,*,*,13.732418,13.211607,13.416419,13.405518,13.673688,14.050341,13.770274,13.81,14.09
25,25,13.08255,0.02402,13.07828,0.00221,*,*,12.108817,11.5277,11.541516,11.642234,12.173901,12.024446,11.890261,12.32,12.56
25,27,10.53542,0.00204,10.53472,0.0019,*,*,10.645731,10.11652,9.941994,10.11621,10.752474,10.379078,10.434196,10.62,9.98
25,29,8.93878,0.00106,8.93883,0.00106,*,*,8.557834,8.864302,8.136225,8.52297,9.100372,8.555091,8.388673,8.32,8.6
25,31,7.27045,0.00013,7.27044,0.00013,*,*,7.50043,7.562177,6.800317,7.068145,7.524519,7.245325,7.016445,7.48,7.02
25,33,6.49134,0.03006,6.41263,0.00309,*,*,5.657284,6.06257,5.65939,5.860049,5.90865,5.970964,5.507419,6.17,6.22
25,35,5.76959,0.09115,5.51393,0.00329,*,*,5.024061,5.138063,4.79291,5.06737,5.254625,4.986788,4.547521,5.23,5.14
25,37,4.55439,0.31892,4.85315,0.00694,*,*,4.820462,4.496437,4.58534,4.693117,4.836058,4.572219,4.176149,4.5,4.46
25,39,4.33686,0.37134,4.1733,0.00514,*,*,4.467524,3.748945,3.976997,4.01713,4.186952,3.978116,3.946817,4.29,4.02
25,41,*,*,3.85437,0.01178,*,*,4.022445,2.954002,2.734788,3.062767,3.267509,3.006307,2.873453,3.39,3.69
25,43,*,*,*,*,*,*,3.555919,2.656969,2.306771,2.64385,2.818123,2.899811,2.773352,2.96,2.61
25,45,*,*,*,*,*,*,3.120863,2.243607,2.481252,2.48477,2.636904,2.271733,2.24477,2.81,2.32
25,47,*,*,*,*,*,*,2.61811,1.51557,1.380303,1.644882,1.863011,1.612412,1.517928,2.32,1.76
25,49,*,*,*,*,*,*,2.173245,0.934949,1.01556,1.040555,1.265994,1.034425,1.039536,2.2,1.32
25,51,*,*,*,*,*,*,1.091665,0.418208,*,0.511891,0.80555,0.60664,0.527324,0.19,1.1
25,53,*,*,*,*,*,*,0.819392,*,*,0.146559,0.494016,0.371977,0.348641,*,*
25,55,*,*,*,*,*,*,0.486028,*,*,0.089397,0.378437,0.321718,0.395094,*,*
25,57,*,*,*,*,*,*,0.119256,*,*,*,0.199551,0.193649,*,*,*
27,3,*,*,*,*,*,*,23.924414,24.994402,25.126303,24.040532,24.590159,24.326162,*,*,*
27,5,*,*,*,*,*,*,28.134052,28.840707,29.1562,27.604702,28.339922,27.981994,*,*,*
27,7,*,*,*,*,*,*,26.578782,27.810271,28.068456,26.669774,26.760064,27.261984,*,*,*
27,9,*,*,*,*,*,*,24.605877,24.666606,24.908497,23.669884,24.29552,23.468137,*,*,*
27,11,*,*,*,*,*,*,25.399787,25.710812,26.099863,24.995172,25.549943,25.262069,*,*,*
27,13,*,*,*,*,*,*,23.318859,24.039758,24.129156,23.620138,24.520476,24.201087,*,*,*
27,15,*,*,*,*,*,*,21.072937,22.028174,21.912952,21.691987,22.268167,22.388013,*,*,*
27,17,*,*,*,*,*,*,19.273489,20.050729,19.979641,19.807388,20.110103,20.825508,*,*,*
27,19,*,*,*,*,*,*,18.194585,18.587631,18.837494,18.564564,18.798035,19.5151,*,19.11,19.46
27,21,*,*,*,*,*,*,15.179075,15.235978,15.215427,15.564501,16.028814,16.086759,*,17.19,17.68
27,23,*,*,*,*,*,*,14.878263,14.704666,14.715479,14.84245,15.270815,15.558398,15.291068,15.74,14.85
27,25,*,*,15.09012,0.04916,*,*,13.761996,13.150739,13.293483,13.369284,13.891258,13.854518,13.701841,14.3,13.6
27,27,13.43603,0.01801,13.42184,0.00167,*,*,12.492257,11.759251,11.820446,11.910388,12.543783,12.28759,12.394933,12.75,11.96
27,29,10.08311,0.00205,10.08184,0.00046,*,*,9.784602,10.358882,9.476731,9.942499,10.493758,9.974565,9.783462,9.86,10.0
27,31,8.57298,0.00118,8.57291,0.00118,*,*,8.713035,8.891034,8.219823,8.391376,8.858316,8.617243,8.320854,8.46,8.3
27,33,7.49192,7e-05,7.49192,7e-05,*,*,6.88389,7.403844,7.076502,7.264576,7.245031,7.395276,6.884147,7.35,7.22
27,35,6.6044,0.02001,6.59753,0.01858,*,*,6.230489,6.511591,6.254948,6.39424,6.586702,6.446735,6.084565,6.89,6.08
27,37,6.02362,0.02828,6.01221,0.02729,*,*,5.843705,5.861391,5.911655,5.963904,6.121018,5.850389,5.581734,6.01,5.83
27,39,5.01272,0.25244,5.29465,0.01413,*,*,5.526624,5.082786,5.332758,5.276196,5.469572,5.300879,5.366286,5.33,5.24
27,41,4.36068,0.45009,4.68021,0.18961,*,*,5.067407,4.217513,4.032989,4.337765,4.558201,4.232108,3.927132,4.55,4.81
27,43,3.71193,0.90292,*,*,*,*,4.666843,3.629508,3.44343,3.692155,3.903696,3.833797,3.807607,4.11,3.85
27,45,*,*,*,*,*,*,4.351637,3.366954,3.458929,3.537467,3.648576,3.446816,3.473148,3.47,3.36
27,47,*,*,*,*,*,*,4.012863,2.719528,2.858391,2.913779,2.992313,2.755207,2.773838,3.46,2.75
27,49,*,*,*,*,*,*,3.41574,2.04032,2.311076,2.162319,2.294824,2.130398,2.29497,3.06,2.49
27,51,*,*,*,*,*,*,1.665474,1.380897,0.422487,1.309796,1.688108,1.398985,1.161067,1.02,2.5
27,53,*,*,*,*,*,*,1.533676,0.856995,0.264881,0.888108,1.28591,1.106979,1.024763,0.36,0.58
27,55,*,*,*,*,*,*,1.200403,0.544294,*,0.717152,1.07267,0.968059,0.99558,*,0.01
27,57,*,*,*,*,*,*,0.575865,*,*,0.238412,0.728346,0.635403,0.242398,*,*
27,59,*,*,*,*,*,*,*,*,*,*,0.305679,0.088987,*,*,*
29,7,*,*,*,*,*,*,27.201744,28.216412,28.465136,27.060546,27.251979,27.640381,*,*,*
29,9,*,*,*,*,*,*,25.242615,25.415752,25.661319,24.611138,25.102307,24.427032,*,*,*
29,11,*,*,*,*,*,*,26.171953,26.44783,26.878962,25.667322,26.21326,25.856029,*,*,*
29,13,*,*,*,*,*,*,24.956975,25.511952,25.570213,24.945135,25.834853,25.351347,*,*,*
29,15,*,*,*,*,*,*,22.303638,23.379583,23.214339,22.89742,23.516697,23.481947,*,*,*
29,17,*,*,*,*,*,*,20.882807,21.662182,21.6269,21.355442,21.668135,22.313853,*,*,*
29,19,*,*,*,*,*,*,19.619843,20.148408,20.377571,20.069182,20.28499,21.084556,*,*,*
29,21,*,*,*,*,*,*,16.473968,16.679134,16.691408,16.986318,17.45913,17.428579,*,18.39,18.89
29,23,*,*,*,*,*,*,15.860203,15.843208,15.920421,15.986115,16.53956,16.778962,*,16.94,16.49
29,25,*,*,*,*,*,*,15.206453,14.702766,14.89358,14.933637,15.456702,15.483569,*,15.8,14.6
29,27,*,*,15.07895,0.15627,*,*,14.121253,13.360246,13.449211,13.564973,14.155192,14.012231,14.186308,14.6,14.44
29,29,12.4238,0.01571,12.43016,0.00063,*,*,11.068111,11.766214,10.740535,11.3747,11.96345,11.481103,11.243654,11.83,12.45
29,31,10.05819,0.00165,10.05813,0.00162,*,*,9.96635,10.189758,9.636939,9.744125,10.267239,9.999996,9.720728,9.81,9.38
29,33,8.88551,0.00417,8.87468,0.00107,*,*,8.047343,8.702694,8.504801,8.563446,8.540497,8.84795,8.198867,8.9,8.53
29,35,7.91603,9e-05,7.91611,0.0001,*,*,7.447452,7.821944,7.657475,7.749366,7.848556,7.900111,7.594908,8.27,7.42
