Z    N    SKM*(MeV)         SKP(MeV)          SLY4(MeV)         SVMIN(MeV)        UNEDF0(MeV)       UNEDF1(MeV)       DDME2(MeV)        DDMEd(MeV)        DDPC1(MeV)        NL3*(MeV)         
30   36   -1.838856         -0.481412         -1.138556         -0.381013         0.30555           0.394489          -1.35609          -0.33109          -1.04009          -1.59309          
30   38   -2.179621         -0.236036         -1.558041         -0.378575         0.407583          0.413343          -2.24088          -1.06588          -2.21388          -1.94888          
30   40   -2.156169         -0.031349         -1.309142         -0.165841         0.545789          0.736051          -1.62177          -1.09477          -2.12277          -1.60577          
30   42   -2.737284         -0.671655         -1.920462         -0.835735         -0.144928         0.147279          -1.93145          -1.16045          -2.49145          -1.97045          
30   44   -3.148015         -1.29689          -1.797225         -1.467539         -0.809016         0.260883          -1.04451          -0.51851          -2.15451          -1.81651          
32   34   -1.592104         -0.809437         -0.439774         -0.732815         -0.851601         0.198729          0.14923           0.50823           -0.03777          0.17923           
32   36   -1.994387         -0.851297         -0.739266         -0.756589         -0.946124         0.112082          -0.1973           0.2157            -0.2593           -0.0753           
32   38   -2.024623         -0.944618         -1.050124         -1.260165         -1.09445          0.074053          -0.81283          -0.30583          -0.77283          -0.57883          
32   40   -2.245918         -0.985556         -1.693139         -1.359975         -1.307887         -0.426862         -1.5282           -1.0062           -1.6542           -1.2162           
32   42   -2.317594         -0.994888         -1.616132         -1.30633          -1.312601         -0.238889         -1.22             -0.651            -1.459            -1.059            
32   44   -2.532178         -0.6214           -0.766374         -0.632916         -1.286972         0.568697          -0.8441           -0.2521           -0.9861           -0.6011           
32   46   -2.619262         -0.535368         -0.601866         -0.471281         -0.852748         0.760011          -0.46951          0.09849           -0.70451          -0.33651          
32   48   -2.895114         -0.917186         -0.839195         -0.787542         -1.230415         0.603065          0.05746           0.33846           -0.63754          -0.32654          
32   50   -3.407912         -0.586071         -0.997992         -0.736583         -0.937811         0.872292          0.09882           0.79682           -0.68618          0.36582           
34   36   -1.343487         -0.684685         -0.335875         -0.633163         -1.581712         0.032517          0.03563           0.08963           -0.24137          -0.02337          
34   38   -0.842312         -0.838375         -0.298018         -0.485336         -1.567063         0.259163          -0.24424          -0.06824          -0.36024          -0.07324          
34   40   -1.083535         -0.633185         -0.744733         -0.828338         -1.412266         0.30743           -0.51876          -0.19376          -0.63876          -0.28176          
34   42   -1.809105         -0.489161         -0.627405         -0.661797         -1.223087         0.460753          -0.27955          0.07145           -0.44555          -0.13055          
34   44   -2.047032         -0.30014          -0.472815         -0.326951         -0.774135         0.57046           -0.30798          0.05102           -0.48098          -0.10198          
34   46   -1.922941         -0.260311         -0.265943         -0.233788         -0.382261         0.805271          -0.08767          0.15733           -0.34367          0.05233           
34   48   -1.913184         -0.248516         -0.027542         -0.141977         -0.369036         1.024364          0.32922           0.44222           -0.08578          0.26722           
34   50   -2.174689         -0.378389         -0.018485         -0.18919          -0.50045          1.116506          0.71824           0.61724           0.19424           0.72424           
36   38   0.188803          -0.379793         -0.480734         -0.493721         -1.270126         -0.032002         -0.25404          -0.04004          -0.57404          -0.14604          
36   40   -0.130554         -0.340334         -0.259133         -0.40938          -1.212286         0.266159          -0.06152          0.08248           -0.16952          0.09148           
36   42   -0.593389         -0.160148         0.077893          -0.160791         -0.954648         0.761221          0.17838           0.27238           0.01838           0.24938           
36   44   -1.605754         -0.188229         -0.247756         -0.277981         -0.565292         0.539792          -0.05935          0.22265           -0.12135          0.23765           
36   46   -1.90106          -0.278462         -0.340864         -0.317783         -0.460919         0.575461          -0.17351          0.11649           -0.27151          0.21649           
36   48   -1.609082         0.061285          0.112674          0.090422          -0.199186         1.045585          0.02908           0.58508           0.13608           0.75508           
36   50   -1.435864         -0.04917          0.69477           0.262862          -0.24088          1.573028          0.74632           0.63232           0.26732           0.50332           
36   52   -2.135906         -0.1018           -0.018818         -0.094261         -0.407959         1.09607           0.28949           0.25149           -0.16151          0.22649           
36   54   -2.580656         -0.326944         -0.760279         -0.457083         -0.704392         0.72121           -0.39365          -0.32165          -0.91565          -0.45965          
38   40   0.02432           0.009536          0.408326          -0.066899         -0.656078         0.475188          0.09145           0.01745           -0.05255          0.14245           
38   42   -0.171381         0.25135           0.736056          0.246121          -0.571265         0.845749          0.37656           0.20256           0.18356           0.37656           
38   44   -0.844026         0.456388          0.551132          0.437062          -0.310901         0.974417          0.42417           0.27217           0.31117           0.52717           
38   46   -1.3539           0.524593          0.31607           0.412376          -0.395924         0.973007          0.31473           0.25373           0.32873           0.62773           
38   48   -0.908601         0.776346          0.913979          0.753398          0.093962          1.495856          0.56847           0.20747           0.42547           0.64447           
38   50   -0.973072         0.246182          0.958347          0.300139          -0.178859         1.311265          -0.37111          -0.53111          0.14189           0.03689           
38   52   -1.500424         0.127085          0.522831          0.207261          -0.337791         1.1979            0.18559           -0.20541          -0.05141          0.21059           
38   54   -1.61273          0.00334           0.297949          0.019174          -0.400006         1.070954          -0.0118           -0.3228           -0.4538           -0.0538           
38   56   -2.11069          -0.332032         -0.344804         -0.494972         -0.794057         0.696941          -0.73832          -0.86032          -1.13832          -0.77032          
40   48   -0.334944         0.514179          1.036899          0.500577          0.542744          0.997846          0.30153           -0.24647          0.04453           0.56453           
40   50   -0.177581         0.778285          1.306228          0.769044          0.876682          1.286             0.86753           -0.07447          0.23353           0.84953           
40   52   -0.221186         0.838695          1.449406          0.859805          0.894533          1.447937          0.72378           0.20078           0.40878           0.92678           
40   54   -0.621437         0.640546          1.110371          0.679345          0.642112          1.348299          0.52492           0.12692           0.08492           0.54092           
40   56   -1.165336         0.117574          0.493333          0.10526           -0.039671         0.788131          0.0907            -0.1353           -0.3873           0.0227            
40   58   -1.854811         0.027066          0.211242          -0.114567         -0.255833         0.68009           -0.07091          -0.33791          -0.54691          -0.11191          
40   60   -2.32621          0.136913          -0.690637         -0.255197         0.077831          0.609166          0.11141           -0.13659          -0.48959          -0.10259          
40   62   -2.185308         -0.03386          -0.495147         -0.415698         0.13364           0.403981          0.43489           0.06989           -0.24811          -0.06811          
42   46   -0.89409          -1.17005          -0.710142         -0.625251         -0.023618         -0.300773         -0.74068          -1.32868          -0.87968          -0.22968          
42   48   -0.673899         -0.788885         -0.264735         -0.215596         0.408207          0.15007           -0.19011          -0.86211          -0.44411          0.29489           
42   50   -0.298192         -0.362643         0.21769           0.312157          1.00752           0.789858          0.24532           -0.33068          0.10732           0.96332           
42   52   -0.74423          -0.58437          0.029835          0.094155          0.755602          0.559791          0.30423           -0.24577          -0.04277          0.72823           
42   54   -0.855717         -0.552645         0.111442          0.161691          0.817065          0.606163          0.9434            0.5234            0.6534            0.9404            
42   56   -0.620061         -0.155287         0.584927          0.551356          1.185093          0.951763          1.53313           1.16613           1.16913           1.34613           
42   58   -1.46827          -0.795491         0.368347          -0.020707         0.526676          0.378212          0.54868           0.37568           0.11668           0.53668           
42   60   -2.175253         -1.209608         0.168642          -0.224922         -0.127102         0.456153          0.25589           -0.24311          -0.26111          0.09989           
42   62   -2.51415          -1.189081         -0.276347         -0.357737         -0.299241         0.619377          0.39286           -0.14514          -0.16414          0.08286           
44   52   -0.563402         -0.953704         -0.254652         -0.239782         0.530153          0.23639           0.1547            -0.4493           -0.1913           0.6137            
44   54   -0.918724         -1.129052         0.355895          -0.458431         0.353759          0.01901           0.63809           0.01009           0.26009           0.78009           
44   56   -1.247416         -1.240369         0.935892          -0.348003         0.193884          0.398559          0.6718            0.0788            0.2948            0.7738            
44   58   -1.022625         -1.435754         0.414238          0.005666          0.006306          0.689124          0.47532           -0.00068          0.14832           0.38832           
44   60   -1.874653         -1.074474         -0.4875           -0.296646         0.025711          0.340241          -0.24134          -0.37234          -0.52234          -0.21434          
44   62   -2.217638         -0.750204         -0.208883         -0.528328         -0.137876         0.339673          -0.14335          -0.68335          -0.64035          -0.18835          
44   64   -2.262686         -0.617893         0.072039          -0.276315         0.081121          0.411916          0.14526           -0.45474          -0.42274          -0.03374          
46   52   0.162597          -0.584573         0.278007          0.07133           0.603233          0.399762          0.30616           -0.40484          -0.07384          0.67816           
46   54   0.0755            -0.766216         0.824053          0.083009          0.420571          0.746696          0.33931           -0.36269          -0.05669          0.56931           
46   56   -0.134908         -0.606923         1.011221          0.558549          0.250147          0.93912           0.30497           -0.36903          -0.08203          0.47097           
46   58   -0.0277           -0.249041         1.194044          0.5794            0.689963          1.109508          0.46406           -0.16294          0.03806           0.52206           
46   60   -0.780812         -0.078914         1.346805          0.717465          0.863561          1.282965          0.71545           0.06745           0.21945           0.63845           
46   62   -1.045193         0.202277          0.785087          0.806296          0.837816          1.197469          0.25283           -0.11717          -0.14217          0.33583           
46   64   -0.990501         0.376635          0.193431          0.442975          0.640002          1.117167          -0.19624          -0.74524          -0.70524          0.00376           
46   66   -0.996671         0.277442          -0.076811         0.062804          0.392168          0.810951          -0.24358          -0.85858          -0.83058          -0.07158          
46   68   -0.999317         -0.047377         -0.159015         -0.047359         0.373651          0.777802          -0.28399          -0.91399          -0.94299          0.13101           
48   52   0.797227          -0.281879         0.791076          0.347259          0.668272          0.519787          0.58319           -0.26381          0.15119           0.85419           
48   54   0.406332          -0.204146         0.152292          0.210042          0.748701          0.098599          0.12338           -0.61362          -0.31362          0.64738           
48   56   0.083335          -0.539953         0.161722          -0.055603         0.718656          0.241141          0.04846           -0.67254          -0.37354          0.47346           
48   58   -0.243437         -0.599274         0.279171          -0.074361         0.520276          0.310096          0.26161           -0.49739          -0.23739          0.39961           
48   60   -0.503674         -0.554684         0.532311          0.005312          0.563742          0.45944           0.57521           -0.29479          -0.01279          0.46021           
48   62   -0.832731         -0.400525         0.820415          0.158825          0.711127          0.63461           0.81637           -0.03263          0.18837           0.62937           
48   64   -0.938697         -0.209581         0.999539          0.291534          0.834471          0.743781          0.77072           0.43672           0.18972           0.95972           
48   66   -0.920361         -0.089665         0.52009           0.264634          0.828111          0.71143           0.75752           0.19052           0.09952           1.00852           
48   68   -0.891101         0.092136          0.089309          0.141668          0.94173           0.579797          0.98333           0.12633           0.27533           0.87633           
48   70   -0.785555         0.393517          0.875462          0.891138          1.319206          0.494265          1.13719           0.25919           0.67119           0.78219           
48   72   -0.902226         0.170068          1.582303          0.760831          1.207128          0.908596          0.95663           0.01263           0.40563           0.49763           
48   74   -1.2986           -0.324922         1.114351          0.204991          0.678162          0.887314          0.5328            -0.5032           -0.1482           -0.0542           
50   50   0.944565          -0.80003          0.420251          -0.226263         -0.327497         -0.213494         0.36484           -0.92516          -0.23216          0.78284           
50   52   0.87317           -0.763354         0.578317          -0.161146         -0.191554         -0.113189         0.6594            -0.1506           0.0524            1.0304            
50   54   1.042915          -0.40173          0.273943          0.16251           0.177318          0.152969          0.76633           0.16133           0.01233           1.48733           
50   56   0.910781          -0.3593           -0.422375         -0.224533         0.286082          -0.531603         0.30353           0.04553           -0.44647          1.29353           
