Z    N    S1n(MeV)          S1n_Err(MeV)      S1p(MeV)          S1p_Error(MeV)    Q4b(MeV)          Q4b_Error(MeV)    
14   22   6.11598           0.08025           19.50137          0.07217           17.79542          0.0718            
14   23   2.2067            0.13456           19.81087          0.18789           24.37615          0.11381           
14   24   5.6701            0.15471           21.26883          0.20849           30.54452          0.10479           
14   25   1.58067           0.17132           21.17848          0.39823           35.56254          0.13562           
14   26   4.96199           0.37078           *                 *                 40.46957          0.34512           
14   27   1.38133           0.6533            *                 *                 45.18717          0.5547            
15   12   *                 *                 0.87041           0.02634           *                 *                 
15   13   14.4966           0.02637           2.05221           0.00116           *                 *                 
15   14   17.87643          0.00121           2.74902           0.00036           *                 *                 
15   15   11.31932          0.00036           5.59475           7e-05             *                 *                 
15   16   12.311            7e-05             7.29655           2e-05             *                 *                 
15   17   7.93565           4e-05             8.64481           6e-05             *                 *                 
15   18   10.10379          0.00109           9.54863           0.00113           *                 *                 
15   19   6.28267           0.00136           11.32334          0.00107           *                 *                 
15   20   8.38042           0.00203           12.18992          0.01424           -13.68491         0.00194           
15   21   3.46455           0.01324           13.14855          0.03818           -2.83397          0.01312           
15   22   6.81628           0.04015           13.84884          0.08121           5.8042            0.03795           
15   23   3.69688           0.0819            15.33902          0.13498           14.17919          0.07258           
15   24   6.22439           0.134             15.89331          0.15385           21.03256          0.11264           
15   25   3.41105           0.19046           17.72369          0.20483           25.42112          0.15358           
15   26   4.93671           0.195             17.69842          0.36544           30.57978          0.12016           
15   27   2.08181           0.33656           18.3989           0.6376            36.03177          0.31438           
15   28   4.40123           0.6376            *                 *                 41.25521          0.5547            
16   12   *                 *                 2.49331           0.16215           *                 *                 
16   13   15.30094          0.16763           3.29765           0.05001           *                 *                 
16   14   18.97415          0.05              4.39538           0.00041           *                 *                 
16   15   13.05459          0.00031           6.13064           0.00024           *                 *                 
16   16   15.04433          0.00023           8.86396           0.0               *                 *                 
16   17   8.64164           0.0               9.56995           4e-05             *                 *                 
16   18   11.41715          4e-05             10.88331          0.00109           *                 *                 
16   19   6.98584           4e-05             11.58648          0.00081           *                 *                 
16   20   9.88924           0.00019           13.0953           0.00186           -24.21298         0.04              
16   21   4.3036            6e-05             13.93435          0.01311           -13.76035         0.00066           
16   22   8.0361            0.00717           15.15418          0.03862           -4.8027           0.00717           
16   23   4.37278           0.05051           15.83007          0.08814           4.12004           0.05              
16   24   7.7465            0.05016           17.35218          0.11272           12.00854          0.00398           
16   25   4.24205           0.00571           18.18318          0.15364           16.12931          0.0041            
16   26   6.70049           0.00496           19.94695          0.1202            20.9095           0.0028            
16   27   2.62903           0.0057            20.49417          0.31442           26.21336          0.00498           
16   28   5.08009           0.00721           21.17303          0.55473           32.26444          0.00523           
16   29   2.85667           1.03537           *                 *                 36.82259          1.03536           
17   12   *                 *                 -1.8              0.1               *                 *                 
17   14   *                 *                 0.26427           0.00345           *                 *                 
17   15   14.37144          0.00349           1.58112           0.00053           *                 *                 
17   16   15.73998          0.00068           2.27677           0.00039           *                 *                 
17   17   11.50806          0.00039           5.1432            5e-05             *                 *                 
17   18   12.64476          5e-05             6.37081           4e-05             *                 *                 
17   19   8.57979           0.0               7.96477           3e-05             *                 *                 
17   20   10.31085          6e-05             8.38638           0.00019           *                 *                 
17   21   6.10788           8e-05             10.19066          0.00021           *                 *                 
17   22   8.07342           0.00173           10.22797          0.00738           -15.6275          0.02406           
17   23   5.82893           0.03211           11.68412          0.0594            -7.03448          0.03219           
17   24   7.82069           0.07584           11.75831          0.06884           1.33522           0.06872           
17   25   5.5959            0.09098           13.11216          0.05976           7.28939           0.05962           
17   26   7.39906           0.08591           13.81073          0.06192           12.02859          0.06189           
17   27   4.29633           0.1497            15.47803          0.13641           17.43146          0.13633           
17   28   5.94934           0.19268           16.34728          0.13626           22.80935          0.13617           
17   29   3.66817           0.24916           17.15878          1.05617           27.90182          0.20866           
18   12   *                 *                 -0.48             0.16401           *                 *                 
18   14   *                 *                 2.45477           0.00387           *                 *                 
18   15   15.25526          0.00181           3.33859           0.00069           *                 *                 
18   16   17.06531          0.00041           4.66392           0.0004            *                 *                 
18   17   12.74031          0.00068           5.89617           0.00068           *                 *                 
18   18   15.25557          0.00068           8.50698           4e-05             *                 *                 
18   19   8.78744           0.00021           8.71463           0.00021           *                 *                 
18   20   11.83847          0.00028           10.24225          0.0002            *                 *                 
18   21   6.59869           0.005             10.73306          0.005             *                 *                 
