Z, N, experiment, who missed, value
60,84,2016,Erik,1199.077751
70,101,2016,Erik,1384.738857
71,105,2016,Erik,1418.38854
74,104,2016,Erik,1429.208876
75,106,2016,Erik,1448.750952
21,26,2016,Erik,407.259542
39,64,2016,Erik,859.29233
80,127,2016,Erik,1624.663605
63,78,2016,Erik,1158.694471
48,72,2016,Erik,1014.963515
29,42,2016,Erik,613.087039
33,47,2016,Erik,692.102934
72,94,2016,Erik,1337.369775
36,44,2016,Erik,695.434788
54,82,2016,Erik,1141.882408
92,129,2016,Erik,1687.26662
41,63,2016,Erik,879.160418
9,6,2016,Erik,97.46202
88,126,2016,Erik,1658.323988
15,24,2016,Erik,315.821036
76,90,2016,Erik,1305.812976
45,59,2016,Erik,891.171422
49,56,2016,Erik,888.794632
67,82,2016,Erik,1211.85663
13,18,2016,Erik,254.991231
86,135,2016,Erik,1702.009193
3,4,2016,Erik,39.245121
60,83,2016,Erik,1191.26071
45,76,2016,Erik,997.674606
70,92,2016,Erik,1312.616533
53,60,2016,Erik,941.714778
71,102,2016,Erik,1397.673266
90,128,2016,Erik,1676.770586
75,99,2016,Erik,1389.407432
93,149,2016,Erik,1823.085026
21,35,2016,Erik,460.417068
80,118,2016,Erik,1566.48861
7,16,2016,Erik,143.443555
48,79,2016,Erik,1056.252789
29,35,2016,Erik,559.301232
33,32,2016,Erik,545.755724
16,24,2016,Erik,333.173233
73,89,2016,Erik,1290.223381
36,43,2016,Erik,683.912381
54,85,2016,Erik,1155.311779
78,95,2016,Erik,1357.258929
9,15,2016,Erik,179.126117
84,130,2016,Erik,1666.0161
37,52,2016,Erik,771.113358
24,23,2016,Erik,395.138526
42,65,2016,Erik,903.324587
45,52,2016,Erik,830.310401
83,129,2016,Erik,1654.303705
66,91,2016,Erik,1284.987487
67,91,2016,Erik,1289.039507
13,11,2016,Erik,183.590165
45,69,2016,Erik,960.635878
70,87,2016,Erik,1265.855495
71,95,2016,Erik,1340.314106
90,139,2016,Erik,1748.336241
80,109,2016,Erik,1492.51884
7,9,2016,Erik,117.980848
48,70,2016,Erik,1001.565167
94,151,2016,Erik,1840.755399
79,92,2016,Erik,1325.953345
81,130,2016,Erik,1645.757098
84,137,2016,Erik,1698.271524
106,154,2016,Erik,1909.067798
51,64,2016,Erik,975.305976
37,61,2016,Erik,816.411977
24,30,2016,Erik,474.009938
10,17,2016,Erik,203.051344
66,82,2016,Erik,1210.780618
83,134,2016,Erik,1677.812379
60,97,2016,Erik,1276.71847
28,26,2016,Erik,453.224149
84,111,2016,Erik,1519.247273
90,146,2016,Erik,1788.165852
71,84,2016,Erik,1238.053675
57,75,2016,Erik,1104.544629
80,100,2016,Erik,1410.501025
26,32,2016,Erik,509.950892
7,6,2016,Erik,94.10532
33,50,2016,Erik,713.771718
16,22,2016,Erik,321.053954
22,28,2016,Erik,437.786228
61,79,2016,Erik,1160.475902
51,73,2016,Erik,1048.564682
37,38,2016,Erik,633.621214
42,51,2016,Erik,804.581645
55,77,2016,Erik,1109.538326
84,118,2016,Erik,1582.631855
87,139,2016,Erik,1728.534331
57,76,2016,Erik,1114.38668
99,156,2016,Erik,1896.645818
63,98,2016,Erik,1311.986724
16,13,2016,Erik,224.707306
54,62,2016,Erik,967.073615
