A	elt	Z	S(2n)	S(2p)	Q(a)	Q(2B-)	Q(ep)	Q(B-	n)		
41	Sc	21	30612.34	24	9413.16	0.08	-6267.13	0.13	-28963#	200#	-2395.89
41	Ti	22	34040#	202#	2992.78	27.95	-4986.39	27.95	*	11859.88	27.94
41	V	23	*	85#	202#	-5625#	361#	*	13555#	200#	*
42	Al	13	3633#	721#	*	*	39090#	677#	*	19909#	817#
42	Si	14	5103#	608#	46458#	707#	-20029#	709#	34107#	500#	*
42	P	15	7018.52	349.89	41158#	508#	-17625.03	488.93	25841.51	319.98	-39699#
42	S	16	10942.53	4.86	37645.37	345.13	-15892.36	104.83	16784.93	6.42	-37046.38
42	Cl	17	13416.59	67.69	31295.34	164.75	-12635.12	93.93	10190.26	59.62	-27140.97
42	Ar	18	15525.41	5.78	26162.77	7.02	-9986.39	9.21	4124.57	5.78	-22703.07
42	K	19	17629.17	0.12	22042.15	32.07	-7648.84	0.14	-2900.87	0.2	-15003.81
42	Ca	20	19843.49	0.15	18085.29	0.15	-6257.34	0.25	-13442.57	0.24	-12768.71
42	Sc	21	27740.45	2.83	13163.6	0.18	-5745.31	0.26	-24502#	196#	-3850.58
42	Ti	22	32396.92	160	4836.23	0.28	-5471.09	0.34	-31835#	400#	2744.25
42	V	23	35932#	358#	1674#	196#	-5795#	280#	*	13734#	196#
42	Cr	24	*	-1002#	430#	-6564#	500#	*	15139#	401#	*
43	Al	13	2543#	944#	*	*	42340#	974#	*	22479#	944#
43	Si	14	5161#	814#	*	-21599#	786#	35297#	596#	*	14020#
43	P	15	6483.04	567.57	43318#	747#	-18395#	684#	28839.33	558.14	-42709#
43	S	16	9329.52	6.44	38893.07	554.73	-16940.73	135.62	19814.35	7.27	-35954#
43	Cl	17	12994.95	92.46	33757.68	135.15	-13809.79	128.51	12415.88	61.86	-32458.22
43	Ar	18	15084.94	5.32	27579.17	6.71	-11272.06	50.28	6399.01	5.31	-21661.03
43	K	19	17158.48	0.41	23846.14	68.72	-9200.1	1.78	-387.29	1.91	-19032.59
43	Ca	20	19413.57	0.18	19919.26	0.42	-7591.55	5.01	-9087.74	7.25	-11275.12
43	Sc	21	23688.32	1.86	15206.5	1.86	-4805.83	1.86	-18271.75	42.89	-8455.05
43	Ti	22	29766.18	28.87	8761.13	7.25	-4463.3	7.27	-27351#	400#	1937.19
43	V	23	34379#	205#	3851.88	42.85	-6168.56	49.11	*	6915.83	42.85
43	Cr	24	*	851#	401#	-6595#	447#	*	15846#	400#	*
44	Si	14	4099#	778#	*	-22262#	778#	37717#	596#	*	15762#
44	P	15	6702#	591#	44227#	781#	-19564#	640#	30835#	518#	-43858#
44	S	16	7709.12	5.92	40252#	500#	-17058.83	345.16	23469.02	5.45	-39594#
44	Cl	17	11695.39	148.79	35972.2	342.66	-14695.07	205.36	15396.97	136.32	-32353.32
44	Ar	18	14393.21	5.99	29613.45	3.21	-12260.32	4.29	8795.42	1.62	-27766.77
44	K	19	16902.1	0.43	25527.67	59.62	-10648.59	32.07	2034.49	1.8	-18910.95
44	Ca	20	19064.06	0.29	21623.94	5.78	-8853.7	0.32	-3920.11	0.77	-16747.84
44	Sc	21	21837.47	1.75	17371.9	1.76	-6705.41	1.76	-13699.61	181.65	-8529.57
44	Ti	22	28586.53	0.75	13579.27	0.72	-5127.1	0.7	-24188#	300#	-6428.72
44	V	23	32639#	267#	6573.17	181.64	-6017.96	181.66	-31146#	532#	4782.75
44	Cr	24	36233#	500#	2834#	300#	-6935#	340#	*	8672#	300#
44	Mn	25	*	-72#	537#	-7565#	583#	*	17657#	502#	*
45	Si	14	1754#	919#	*	*	41479#	1250#	*	18968#	860#
45	P	15	5223#	747#	45998#	944#	-20245#	707#	33862#	518#	*
45	S	16	7936.76	1035.37	41669#	1195#	-18534.17	1174.59	25781.21	1035.36	-39792#
45	Cl	17	10245.67	149.56	37520.31	571.17	-15707.69	181.6	18353.1	136.16	-36002#
45	Ar	18	13903.62	5.33	32153.28	5	-13187.13	4.13	11041.38	0.63	-27855.53
45	K	19	16182.88	0.66	27034.07	61.86	-11733.36	68.73	4456.26	0.85	-23520.08
45	Ca	20	18545.99	0.29	23380.31	5.32	-10169.58	0.5	-1802.33	0.9	-15427.89
45	Sc	21	21026.43	1.98	19074.45	0.79	-7937.27	0.67	-9185.88	0.55	-12579.37
45	Ti	22	25831.39	7.29	15178.96	0.87	-6296.87	0.85	-19495.04	35.41	-4830.14
45	V	23	30112.29	42.86	10275.86	2.06	-5668.52	0.88	-26636#	400#	-1359
45	Cr	24	33687#	401#	4771.66	36.13	-6242.18	45.1	-33277#	401#	10744.8
45	Mn	25	*	1911#	402#	-7995#	447#	*	11578#	439#	*
45	Fe	26	*	-1154	16	*	*	19833#	500#	*	
46	P	15	3623#	860#	*	-19555#	922#	36829#	730#	*	18888#
46	S	16	6598#	500#	42751#	778#	-18555#	707#	30113#	500#	-44439#
46	Cl	17	9617.51	249.24	38888#	542#	-17294.05	377.32	21554.53	208.66	-36748#
46	Ar	18	13242.31	1.94	35146.63	5.33	-14560.1	3.01	13366.43	2.5	-33072.31
46	K	19	15775.07	0.84	29607.34	136.32	-13007.07	59.62	6347.29	1	-24440.35
46	Ca	20	17813.32	2.26	25044.05	2.74	-11141.6	6.19	988.44	2.24	-20657.54
46	Sc	21	20087.87	1.88	20557.67	0.8	-9164.11	0.69	-4685.87	0.67	-12434.55
46	Ti	22	22721.86	0.72	17237.07	0.36	-8005.47	0.22	-14656.23	11.45	-10604.6
46	V	23	29101.61	181.64	13837.31	1.77	-7379.11	0.26	-24506#	400#	-3292.43
46	Cr	24	32254#	300#	6500.94	11.47	-6791.81	11.46	-30382#	500#	2249.3
46	Mn	25	35742#	640#	3031#	439#	-7375#	445#	*	12027#	400#
46	Fe	26	*	307#	583#	-8245#	640#	*	13136#	501#	*
47	P	15	2032#	944#	*	-19735#	1132#	39490#	894#	*	21299#
47	S	16	4783#	1150#	44698#	860#	-18156#	778#	32736#	500#	*
47	Cl	17	7660#	422#	39957#	640#	-16884#	684#	25932#	400#	-40038#
47	Ar	18	11738.18	1.23	35954.69	1035.36	-15595.79	5.09	16978.08	2.49	-32995#
47	K	19	15238.97	1.49	32027.37	136.17	-13977.38	61.87	8624.62	2.38	-29141.55
47	Ca	20	17674.88	2.25	27151.56	2.28	-12759.53	5.76	2592.95	2.22	-19860.46
47	Sc	21	19407.33	2.04	22298.9	2	-10186.12	1.98	-2329.98	1.93	-16211.64
47	Ti	22	22070.16	0.84	18703.13	0.38	-8953.46	0.25	-10374.79	6.03	-9086.97
47	V	23	26263.24	0.86	15512.66	0.66	-8243.43	1.87	-19440.24	31.67	-7534.37
47	Cr	24	31190.41	35.91	10130.68	6.09	-7666.41	9.43	-27693#	500#	2276.25
47	Mn	25	33459#	401#	5258.3	31.68	-7074.93	53.28	-32937#	601#	7220.01
47	Fe	26	36774#	640#	1933#	501#	-7325#	640#	*	15313#	500#
47	Co	27	*	-1042#	721#	*	*	15651#	721#	*	
48	S	16	3721#	778#	*	-18176#	843#	35043#	671#	*	14470#
48	Cl	17	6563#	542#	41828#	860#	-17156#	707#	28004#	500#	-41279#
48	Ar	18	8651.04	307.4	37199#	587#	-15502.02	307.44	21943.29	307.39	-36940#
48	K	19	13013.19	1.06	33003.02	208.66	-14324.87	136.32	12219.37	5.01	-29794#
48	Ca	20	17227.9	2.23	29029.64	1.12	-13976.29	1.59	4268.08	0.08	-26147.26
48	Sc	21	18885.26	5	23667.86	5	-11147.27	4.97	-26.15	5.04	-16080.84
48	Ti	22	20507.54	0.14	19931.29	2.23	-9448.95	0.34	-5670.69	7.32	-13437.26
48	V	23	23544.98	0.98	17294.42	1.18	-9086.62	2.01	-15181.36	7.01	-7430.07
48	Cr	24	29493.09	13.59	13272.16	7.33	-7698.37	7.36	-24822#	400#	-5173.63
48	Mn	25	32869#	400#	6798.93	6.94	-7604.87	181.77	-30796#	500#	5421.31
48	Fe	26	35053#	640#	3107#	400#	-7065#	500#	-34793#	641#	9273#
48	Co	27	*	509#	640#	-7955#	707#	*	16777#	501#	*
48	Ni	28	*	-1305.17	37.14	*	*	16374#	708#	*	
49	S	16	2420#	834#	*	-18822#	967#	38283#	778#	*	17302#
49	Cl	17	5423#	721#	43348#	1000#	-17085#	781#	30551#	600#	*
49	Ar	18	7966#	400#	39138#	640#	-15625#	1110#	24110#	400#	-37240#
49	K	19	10042.15	1.61	34410#	400#	-13773.86	136.17	16949.77	2.81	-32620#
49	Ca	20	15097.98	2.23	30511.37	1.14	-13953.88	0.55	7264.02	0.19	-26307.4
49	Sc	21	18367.3	3.32	25427.23	3.04	-12370.54	2.75	1400.67	2.82	-21565.76
49	Ti	22	19769.06	0.05	20797.31	2.22	-10176.53	0.38	-3230.73	2.25	-11628.13
49	V	23	22097.95	0.83	18203.28	2.1	-9314.95	1.06	-10341.3	2.4	-10747.06
49	Cr	24	26913.12	6.43	14973.64	2.25	-8748.14	2.4	-20582.33	24.32	-4129.32
49	Mn	25	31196.89	31.75	10191.96	2.26	-8159.53	2.42	-27740#	500#	-431.91
49	Fe	26	34024#	501#	4766.09	24.96	-7660.84	42.89	-32951#	600#	10782.32
49	Co	27	36393#	781#	1892#	501#	-7055#	640#	*	12127#	500#
49	Ni	28	*	-492#	781#	-7987#	721#	*	18911#	721#	*
50	Cl	17	4123#	781#	*	-17655#	922#	33468#	600#	*	16858#
50	Ar	18	7191#	587#	40669#	778#	-16095#	707#	26260#	500#	-41711#
50	K	19	9586.01	7.77	36026#	500#	-14293.37	208.8	18819.53	16.88	-33957#
50	Ca	20	11507.23	1.59	31885.83	307.4	-12241.21	1.94	11842.44	1.59	-29688#
50	Sc	21	16186.17	15.8	26840.85	15.02	-11558.37	15.02	4676.63	15.01	-22224.86
50	Ti	22	19081.59	0.05	21784.97	0.09	-10717.21	2.23	-1169.59	0.45	-17420.87
50	V	23	20888.95	1.06	19298.11	4.97	-9887.71	0.8	-6596.42	0.31	-9951.72
50	Cr	24	23582.69	7.31	16347.3	0.45	-8559.19	0.47	-15785.62	8.39	-8987.26
50	Mn	25	29473.89	6.95	12727.84	1.07	-7977.16	0.49	-24997#	400#	-1954.63
50	Fe	26	32619#	400#	6232.38	11.13	-7429.81	14.19	-30356#	500#	3567.63
50	Co	27	35273#	640#	2912#	400#	-7486#	565#	*	12701#	400#
50	Ni	28	37056#	708#	698#	640#	-7455#	707#	*	13342#	501#
51	Cl	17	2792#	922#	*	-17845#	1063#	36806#	700#	*	19548#
51	Ar	18	5643#	721#	42361#	897#	-16485#	781#	29642#	600#	*
51	K	19	9047.34	13.07	38034#	600#	-15161#	400#	20712.49	23.88	-37545#
51	Ca	20	11175.17	0.56	33720#	400#	-13390.88	1.23	13400.53	0.73	-30292#
51	Sc	21	12810.05	20.18	28195.14	20.02	-9941.62	20.05	8975.16	20	-24789.81
51	Ti	22	17311.68	0.49	23011.01	0.53	-9813.33	2.27	1718.56	0.64	-17432.58
51	V	23	20384.55	0.92	20220.52	2.73	-10292.16	1.97	-3959.96	0.4	-14945.43
51	Cr	24	22260.97	2.21	17465.55	0.42	-8938.95	0.42	-11248.84	8.97	-7308.71
51	Mn	25	26765.88	2.23	14859.89	0.97	-8662.17	0.53	-20901.73	48.44	-6308.83
51	Fe	26	31594.46	25.82	9447.44	9.24	-8064.89	10.8	-28303#	500#	2770.55
51	Co	27	33604#	503#	4299.45	48.49	-7200.69	57.87	*	7996.48	48.44
51	Ni	28	36242#	781#	1727#	501#	-7455#	707#	*	15288#	500#
52	Ar	18	4093#	781#	*	-16466#	846#	32986#	600#	*	13165#
52	K	19	7552.41	34.41	39455#	601#	-15282#	501#	23305.65	88.45	-38717#
52	Ca	20	10819.68	1.72	35515#	500#	-14409.84	307.39	15203.55	7.1	-34865#
52	Sc	21	12038.53	83.21	29293.37	82.22	-10583.72	81.86	11000.49	81.85	-25216.05
52	Ti	22	14180.79	7.07	24458.54	7.25	-7670.11	7.07	5949.42	7.08	-20426.49
52	V	23	18362.39	0.15	21474.33	15.01	-9364.84	4.97	-736.49	1.88	-15504.06
52	Cr	24	21299.8	0.54	18565.52	0.36	-9351.45	0.36	-7088.88	5.12	-12975.38
52	Mn	25	24222.32	1.89	16061.21	1.88	-8654.51	2.09	-16346.33	8.58	-5792.41
52	Fe	26	29996.54	9.82	12646.23	5.13	-7933.26	8.93	-26001#	400#	-4167.94
52	Co	27	32873#	400#	6311.3	8.4	-7489.53	10.88	-32081#	600#	6593.96
52	Ni	28	34352#	640#	2431#	400#	-6754#	565#	*	10584#	400#
52	Cu	29	*	-772#	721#	-6205#	781#	*	17773#	602#	*
53	Ar	18	2662#	921#	*	-16727#	966#	36178#	700#	*	15857#
53	K	19	5922.16	112.54	41164#	708#	-15661#	610#	26611.09	146.11	*
53	Ca	20	9198.04	43.78	37276#	601#	-14623#	402#	17443.36	109.21	-35397#
53	Sc	21	11820.76	96.19	30968.55	94.99	-11720.23	94.09	12944.25	94.14	-29058.15
53	Ti	22	13240.86	100.05	25076.7	100.05	-7956.21	100.05	8455.94	100.05	-19853.77
53	V	23	15789.85	3.14	23200.32	20.24	-7714.71	4.12	2839.05	3.12	-18696.75
53	Cr	24	19978.24	0.52	20132.1	0.61	-9148.13	0.36	-4339.47	1.66	-13106.15
53	Mn	25	22588.87	0.66	17064.22	0.59	-9153.1	0.94	-12030.69	1.74	-10535.32
53	Fe	26	26887.61	9.11	14074.08	1.69	-8039.39	2.78	-21316.71	25.2	-2817.26
53	Co	27	31459.92	48.47	8993.49	1.77	-7463.71	2.82	-29389#	500#	758.88
53	Ni	28	33874#	501#	4006.21	26.7	-7305.01	34.92	*	11410.57	25.67
53	Cu	29	*	506#	503#	-5815#	707#	*	13802#	500#	*
54	K	19	4007#	597#	*	-15167#	846#	28889#	656#	*	16314#
54	Ca	20	7036.95	48.44	38459#	602#	-14256#	503#	20461.4	95.64	-39240#
54	Sc	21	9590.25	284.81	31331.21	274.85	-10587.97	272.91	16002.27	273.21	-28884.15
54	Ti	22	12294.79	82.76	25933.66	82.46	-8457.67	82.48	11312.78	82.46	-23523.25
54	V	23	14592.04	15.01	24027.83	83.22	-7770.71	21.22	5664.46	15.03	-18275.34
54	Cr	24	17658.16	0.18	22042.89	7.08	-7928.02	0.37	-680.26	0.39	-17392.67
54	Mn	25	20992.98	2.1	18691.8	1.13	-8758.53	1.13	-7547.68	1.08	-10995.54
54	Fe	26	24066.77	5.1	15413.2	0.4	-8417.34	0.54	-16976.19	4.67	-8256.47
54	Co	27	29791.64	8.39	11880.61	1.81	-7807.27	0.55	-26600#	400#	-608.81
54	Ni	28	33091#	400#	5525.89	6.92	-7226.77	9.59	-33006#	400#	4380.25
54	Cu	29	35273#	721#	1627#	400#	-6205#	565#	*	13960#	400#
54	Zn	30	*	-1480	20	-4577#	641#	*	16070#	401#	*
55	K	19	3139#	708#	*	-16007#	989#	30867#	833#	*	17797#
55	Ca	20	5105#	303#	39719#	760#	-14085#	671#	23318#	341#	*
55	Sc	21	7395.18	463.98	32441.57	467.89	-10068.07	454.53	18985.23	464.19	-32446#
55	Ti	22	10979.66	190.07	26858.32	167.43	-7760.7	161.6	13441.62	161.6	-23796.47
55	V	23	13436.16	95.15	24815.72	133.78	-8340.82	97.18	8567.83	95.1	-22542.66
55	Cr	24	15965.35	0.22	22856.59	100.05	-7801.79	0.64	2371.59	0.41	-16776.7
55	Mn	25	19164.93	0.43	20439.29	3.12	-7933.49	0.48	-3682.53	0.34	-15108.21
55	Fe	26	22676.4	1.62	16772.24	0.36	-8454.82	0.5	-12145.45	0.66	-7835.51
55	Co	27	27513.09	1.7	13917.71	0.53	-8210.92	0.62	-22394.48	155.56	-5761.22
55	Ni	28	31847.66	25.16	8966.26	1.74	-7558.21	8.99	-30765#	400#	3629.68
55	Cu	29	34508#	524#	3553.91	155.57	-6718.17	162.93	*	9085.58	155.56
55	Zn	30	*	-482#	400#	-5096#	640#	*	17419#	400#	*
56	K	19	3213#	999#	*	*	32779#	993#	*	18206#	855#
56	Ca	20	4880#	403#	*	-15043#	721#	25422#	418#	*	8190#
56	Sc	21	7103.99	647.15	34428#	837#	-10139.55	587.8	21302.62	612.92	-32849#
56	Ti	22	9840.7	146.63	28737.4	130.56	-7478.7	121.25	15964.95	121.25	-28259#
56	V	23	12404.34	177.53	26841.92	325.13	-8136.52	194.92	10756.66	176.9	-23284.5
56	Cr	24	14492.87	0.62	24240.96	82.46	-8240.1	7.1	5322.08	0.52	-20905.88
56	Mn	25	17496.54	1.06	21596.31	15	-7892.68	0.52	-871.14	0.45	-15055.92
56	Fe	26	20495.22	0.28	18250.26	0.33	-7612.76	0.34	-6699.54	0.32	-12786.34
56	Co	27	24173.08	0.47	15060.71	1.13	-7758.03	1.87	-17397.37	14.91	-5616.96
56	Ni	28	30771.87	4.68	12230.98	0.36	-8002.09	5.12	-28518#	400#	-3715.21
56	Cu	29	33375#	400#	5211.02	14.91	-6706.99	17.1	-35253#	500#	8097.88
56	Zn	30	35261#	565#	689#	400#	-5485#	565#	*	12657#	400#
56	Ga	31	*	-3443#	640#	-3534#	781#	*	20957#	524#	*
57	Ca	20	4667#	500#	*	-16090#	805#	27041#	475#	*	9907#
57	Sc	21	6979.16	1380.97	36282#	1479#	-11125.07	1308.87	23417.58	1306.57	-36212#
57	Ti	22	8390.18	303.09	30143#	395#	-6952.84	260.13	18609.07	256.42	-27307#
57	V	23	11411.5	124.59	28832.04	461.41	-7931.56	123.81	13072.8	80.49	-26850.16
57	Cr	24	13557.63	1.14	25434.56	161.61	-8118.56	100.05	7657.14	1.11	-20493.63
57	Mn	25	15916.47	1.52	22919.61	95.12	-8060.11	3.46	1859.31	1.59	-18620.34
57	Fe	26	18843.17	0.23	19650.07	0.38	-7319.76	0.34	-4098.01	0.51	-12185.81
57	Co	27	21458.32	0.54	16211.09	0.47	-7080.36	0.62	-12036.68	0.6	-9723
57	Ni	28	26890.62	0.81	13180.47	0.55	-7561.22	1.71	-23534#	200#	-2765.72
57	Cu	29	31816.12	155.56	7856.94	0.49	-7074.37	1.74	-32299#	400#	1442.55
57	Zn	30	34122#	447#	1792#	200#	-5344#	202#	*	14068#	200#
57	Ga	31	*	-2047#	429#	-4165#	640#	*	16344#	400#	*
58	Ca	20	4164#	640#	*	*	29191#	539#	*	11006#	1397#
58	Sc	21	6166#	710#	37381#	895#	-12299#	718#	25526#	409#	*
58	Ti	22	7933#	234#	31790#	447#	-8374#	206#	20882#	200#	-31525#
58	V	23	10389.51	198.19	30127.43	593.61	-8935.77	287.07	15425.81	89.41	-26694.85
58	Cr	24	12849.43	1.61	27249.69	121.26	-8794.74	82.47	10163.31	1.53	-25365.14
58	Mn	25	15058.66	2.72	24250.62	176.92	-8359.3	15.25	4019.6	2.94	-18703.08
58	Fe	26	17690.66	0.18	21448.05	0.55	-7645.26	0.38	-1926.37	0.3	-16919.38
58	Co	27	19949.39	1.17	17513.56	1.14	-6714.45	1.54	-8179.43	1.19	-9649.88
58	Ni	28	22463.84	0.35	14199.6	0.25	-6399.16	0.35	-17930	50	-7335.88
58	Cu	29	29167.33	14.92	10205.26	0.59	-6082.69	0.57	-28128#	300#	388.87
58	Zn	30	33052#	403#	2969.15	50	-5445.35	50.22	-35218#	503#	6496.12
58	Ga	31	36293#	583#	-525#	300#	-4554#	500#	*	16480#	300#
58	Ge	32	*	-3732#	640#	-3233#	641#	*	18181#	539#	*
59	Sc	21	5449#	1364#	*	-13435#	805#	27530#	431#	*	12736#
59	Ti	22	7737#	325#	33213#	447#	-9584#	361#	22576#	295#	-30880#
59	V	23	9561.2	180.78	31414.08	1314.1	-10097.58	482.32	17693.31	161.89	-30245#
59	Cr	24	11703.69	216.37	28748.07	335.51	-8842.59	270.06	12579.05	216.37	-24265#
59	Mn	25	14181.7	2.77	25689.81	80.51	-8805.65	95.13	6704.39	2.37	-22412.54
59	Fe	26	16625.6	0.21	22718.04	1.13	-7980.01	0.43	491.9	0.32	-15961.97
59	Co	27	19026.78	0.44	19321.4	1.55	-6942.21	0.34	-5871.38	0.44	-13691.12
59	Ni	28	21215.51	0.5	15552.81	0.26	-6100.32	0.33	-13941.16	0.67	-6290.56
59	Cu	29	25192.08	0.6	11590.7	0.58	-4753.36	0.55	-22598#	170#	-3800.14
59	Zn	30	30808#	200#	5709.66	0.84	-4304.62	0.96	-31346#	400#	5724.22
59	Ga	31	34893#	434#	1029#	170#	-4550#	231#	*	10619#	170#
59	Ge	32	*	-2102#	447#	-3724#	565#	*	19140#	403#	*
60	Sc	21	5319#	640#	*	-14404#	944#	29190#	547#	*	13387#
60	Ti	22	7362#	361#	34989#	583#	-10857#	500#	24340#	357#	*
60	V	23	8982.84	237.61	32944#	456#	-10814.61	626.78	19725.98	220.17	-30229#
60	Cr	24	10820.41	193.6	30137#	279#	-9774.44	228.43	14743.44	193.62	-28449#
60	Mn	25	13283.01	3.57	27144.13	89.4	-9237.97	176.91	8682.37	2.37	-22424.89
60	Fe	26	15400.54	3.39	23999.16	3.72	-8552.93	3.44	3060.1	3.41	-20616.23
60	Co	27	17945.79	1.1	20400.69	2.73	-7163.69	0.38	-3305.17	1.59	-13413.96
60	Ni	28	20387.01	0.07	16895.95	0.31	-6290.95	0.26	-10298.78	0.42	-11097.28
60	Cu	29	22820.05	1.64	13075.92	1.92	-4729.65	1.62	-18755#	200#	-3404.4
60	Zn	30	28018.23	50	8523.54	0.41	-2691.72	0.54	-27085#	300#	-306.6
60	Ga	31	32193#	361#	2501#	200#	-3372#	201#	-34121#	447#	9479#
60	Ge	32	36152#	583#	-631#	304#	-4125#	500#	*	12837#	300#
60	As	33	*	-3492#	500#	-4505#	640#	*	21001#	434#	*
61	Sc	21	4909#	721#	*	*	31438#	1077#	*	15190#	671#
61	Ti	22	6982#	447#	*	-11900#	565#	26126#	412#	*	8821#
61	V	23	8817.05	908.77	34782#	979#	-11935.47	1581.24	21235.69	894.24	-33743#
61	Cr	24	10532.1	238.92	31543#	224#	-10984.51	275.72	16445.26	101.37	-27434#
61	Mn	25	12359.44	3.29	28488.05	161.89	-9753.59	80.51	11155.94	2.48	-25789.14
61	Fe	26	14398.32	2.63	25412.68	216.38	-8820.71	2.82	5301.41	2.64	-19539.89
61	Co	27	16810.99	0.82	21950.69	2.48	-7836.73	1.72	-914.01	1.2	-17219.1
61	Ni	28	19207.83	0.07	18135.04	0.33	-6464.98	0.26	-7873	15.9	-10097.86
61	Cu	29	21768.37	1.04	14332.29	0.98	-5063.41	1.04	-14849.4	38	-7622.72
61	Zn	30	25275.99	15.91	9770.14	15.9	-2689.99	15.91	-22989#	300#	835.24
61	Ga	31	29517#	175#	5354.27	38	-2250.69	38	-30235#	302#	3921.51
61	Ge	32	33632#	500#	722#	300#	-3234#	361#	*	13526#	300#
61	As	33	*	-2282#	345#	-4315#	500#	*	15401#	361#	*
62	Ti	22	6313#	500#	*	-13006#	640#	28395#	426#	*	9935#
62	V	23	8377#	371#	36002#	582#	-13025#	499#	23048#	298#	-33697#
62	Cr	24	10368.02	243.74	33143#	335#	-12210#	249#	17983.09	148.13	-31834#
62	Mn	25	11698.65	6.94	29859.94	220.26	-10547.12	89.61	12900.33	19.69	-25306.5
62	Fe	26	13607.67	4.41	26786.41	193.61	-9311.16	3.17	7868.27	2.83	-23691.79
62	Co	27	15916.61	18.57	23034.29	18.72	-8021.64	18.77	1363.14	18.58	-16971.13
62	Ni	28	18415.84	0.31	19911.25	3.42	-7016.13	0.42	-5578.35	0.44	-15114.8
62	Cu	29	20584.92	1.67	15715.06	0.6	-5365.18	1.24	-10800.52	0.67	-7178.33
62	Zn	30	23136.27	0.69	11272.79	0.54	-3364.14	0.55	-19428#	140#	-4235.04
62	Ga	31	28539#	200#	8219.71	1.67	-2744.1	0.72	-27667#	300#	2708.18
62	Ge	32	30793#	331#	2144#	140#	-1866#	148#	*	7320#	141#
62	As	33	34993#	500#	-692#	361#	-3206#	424#	*	15525#	302#
63	Ti	22	5543#	640#	*	*	30257#	615#	*	11655#	582#
63	V	23	7526#	979#	37400#	721#	-14013#	565#	24997#	400#	*
63	Cr	24	9674.88	372.14	34236#	537#	-12922#	410#	19628.15	358.1	-30797#
63	Mn	25	11287.57	4.39	30958.57	894.24	-11479.95	161.92	14964.39	18.95	-28700#
63	Fe	26	12857.76	5.03	27738.33	101.43	-9974.78	216.41	9877.15	4.32	-22029.63
63	Co	27	15096.01	18.58	24687.26	18.72	-8751.04	18.72	3728.31	18.57	-20616.45
63	Ni	28	17433.5	0.31	21170.22	2.65	-7272.89	0.43	-3299.38	1.55	-13923.7
63	Cu	29	19738.33	0.95	17259.63	0.73	-5774.96	0.37	-9032.66	1.38	-11444.44
63	Zn	30	22007.13	15.96	12569.43	1.56	-3481.61	1.56	-15292.18	37.29	-2756.05
63	Ga	31	25555.07	38.02	9140.97	1.62	-2613.68	1.41	-23047#	200#	-1048.64
63	Ge	32	29704#	302#	5150.25	40.51	-2130.58	37.27	*	6957.79	37.26
63	As	33	32743#	361#	944#	204#	-2165#	263#	*	11198#	200#
64	Ti	22	4668#	721#	*	*	32455#	744#	*	12794#	721#
64	V	23	6986#	499#	*	-14693#	640#	26669#	400#	*	11616#
64	Cr	24	8727.43	463.94	35558#	594#	-13575#	532#	21489.79	439.69	-35019#
64	Mn	25	10607.71	7.44	32091#	298#	-12171.99	220.19	16803.29	20.32	-28388#
64	Fe	26	12234.13	5.74	28652.52	148.18	-10724.88	193.66	12129.38	5.04	-26251.04
64	Co	27	14510.68	27.29	25846.31	21.05	-9249.31	20.14	5632.22	20	-20194.25
64	Ni	28	16495.23	0.21	22798.81	2.83	-8110.82	3.42	-1094.91	0.68	-18752.27
64	Cu	29	18779.75	0.49	18578.2	18.57	-6199.15	0.39	-6591.72	1.48	-10862.08
64	Zn	30	20978.68	0.79	13835.63	0.65	-3955.81	0.67	-11688.52	3.78	-7780.21
64	Ga	31	22988.55	1.55	10623.34	1.55	-2912.6	2.15	-19301#	203#	-542.04
64	Ge	32	28718#	140#	7725.47	3.78	-2566.07	3.77	-27615#	503#	608.93
64	As	33	31355#	362#	2123#	203#	-2367#	285#	*	9726#	203#
64	Se	34	*	-462#	522#	-2036#	586#	*	12932#	504#	*
65	V	23	6032#	640#	*	-15136#	781#	29188#	500#	*	13629#
65	Cr	24	8355#	467#	37047#	583#	-14295#	500#	22998#	300#	-34484#
65	Mn	25	10222.92	5.27	33655#	400#	-12885.83	894.24	18217.86	4.27	-31937#
65	Fe	26	11724.91	6.68	29788.36	358.11	-11167.58	101.47	13907.79	5.14	-25027.11
65	Co	27	13476.39	18.69	26876.09	4.27	-9867.99	3.12	8078.46	2.18	-23485.13
65	Ni	28	15755.54	0.25	24068	4.33	-8630.11	2.65	786.33	0.7	-17445.11
65	Cu	29	17826.54	0.67	19990.16	18.58	-6790.51	0.98	-4606.15	0.73	-14760.3
65	Zn	30	19841.26	1.49	14977.19	0.65	-4115.03	0.67	-9433.8	2.26	-6102.07
65	Ga	31	22253.05	1.54	11655.7	0.84	-3098.36	0.95	-15720.46	84.77	-4521.93
65	Ge	32	25699.63	37.32	8842.76	2.67	-2554.23	16.05	-23459#	300#	2236.83
65	As	33	29579#	217#	4967.9	84.78	-2227.31	92.89	*	4606.8	84.78
65	Se	34	*	676#	302#	-2085#	424#	*	14007#	300#	*
66	V	23	5433#	640#	*	*	31140#	500#	*	14538#	583#
66	Cr	24	7383#	594#	38273#	721#	-14645#	565#	25348#	400#	*
66	Mn	25	9903.99	11.72	35009#	400#	-13699#	298#	19658.15	17.89	-32260#
66	Fe	26	11240.93	6.48	31166.02	439.68	-11597.79	148.16	15938.45	4.33	-29137#
66	Co	27	12758.84	24.4	27997.44	14.41	-10309.49	15.43	9849.74	13.99	-22730.17
