Z    N    AME2003(MeV)      AME2016(MeV)      JFYLTRAP2017(MeV)      err2003(MeV)      err2016(MeV)      errJYFLTRAP2017(MeV)   SKM*(MeV)         SKP(MeV)          SLY4(MeV)         SVMIN(MeV)        UNEDF0(MeV)       UNEDF1(MeV)       DDME2(MeV)        DDMEd(MeV)        DDPC1(MeV)        NL3*(MeV)         
22   52   *                 *                 *                 *                 *                 *                 47.071607         49.6752           *                 49.950918         49.912918         49.953357         *                 *                 *                 45.134            
22   54   *                 *                 *                 *                 *                 *                 47.992536         50.929701         *                 50.806408         50.866889         50.777378         *                 *                 *                 46.233            
22   56   *                 *                 *                 *                 *                 *                 48.978078         52.150857         *                 51.810962         51.788032         51.493985         *                 *                 *                 47.296            
22   58   *                 *                 *                 *                 *                 *                 49.827435         *                 *                 *                 52.715509         52.392719         *                 *                 *                 *                 
24   18   *                 *                 *                 *                 *                 *                 1.032191          *                 *                 *                 0.278511          *                 *                 *                 *                 *                 
24   20   *                 *                 *                 *                 *                 *                 4.82797           3.825865          3.553389          3.634474          4.322837          3.559413          2.656             2.0               3.012             3.135             
24   22   6.50322           6.50094           *                 0.02001           0.01147           *                 8.060832          7.177804          7.181111          7.373399          8.046857          7.595353          7.145             6.519             6.896             6.981             
24   24   13.2737           13.27216          *                 0.00738           0.00733           *                 13.226974         11.995823         12.829442         12.46051          12.551452         13.247966         12.951            11.969            12.294            12.481            
24   26   16.34971          16.3473           *                 0.001             0.00045           *                 15.780063         15.163488         15.73303          15.607421         15.856888         16.527813         15.777            14.832            15.221            15.528            
24   28   18.5682           18.56552          *                 0.00103           0.00036           *                 17.529348         17.564488         17.818323         17.998386         18.659279         18.8299           17.555            16.812            17.274            18.279            
