Z,N,2003,2003_sd,2016,2016_sd,2017,2017_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
23,29,7.31124,0.00013,7.31124,0.00013,*,*,7.354697,7.496782,6.654172,7.171184,7.733097,7.225232,7.097642,6.99,7.56
23,31,6.11343,0.01532,6.11343,0.01532,*,*,6.285774,6.220114,5.470534,5.769474,6.24377,5.890717,5.74779,5.53,5.74
23,33,4.99993,0.22743,5.08161,0.20084,*,*,4.411677,4.710071,4.259505,4.457655,4.61535,4.493891,3.804909,4.69,4.88
23,35,4.09132,0.34022,4.05962,0.12027,*,*,3.682483,3.765429,3.470014,3.783885,3.943798,3.687926,3.119238,4.26,3.61
23,37,3.58202,0.56554,3.48126,0.27326,*,*,3.507822,3.14419,3.236669,3.380245,3.558329,3.320567,2.950517,3.41,3.33
23,39,*,*,*,*,*,*,3.085172,2.407654,2.605303,2.729475,2.918492,2.65713,2.580575,3.07,2.51
23,41,*,*,*,*,*,*,2.677673,1.668491,1.415202,1.771385,1.982488,1.692058,1.587122,2.17,1.88
23,43,*,*,*,*,*,*,2.304931,1.372085,1.004012,1.41197,1.547695,1.569777,1.509067,1.85,1.72
23,45,*,*,*,*,*,*,2.089977,0.926223,0.991529,1.195114,1.436914,1.110932,1.027784,1.58,1.08
23,47,*,*,*,*,*,*,1.591082,0.400879,0.364326,0.571811,0.82413,0.588587,0.464265,1.33,0.95
23,49,*,*,*,*,*,*,1.152434,*,*,0.07628,0.340238,0.150227,0.052876,1.23,0.52
23,51,*,*,*,*,*,*,0.439309,*,*,*,*,*,*,*,0.29
23,53,*,*,*,*,*,*,0.122339,*,*,*,*,*,*,*,*
23,55,*,*,*,*,*,*,0.003172,*,*,*,*,*,*,*,*
25,3,*,*,*,*,*,*,23.860986,24.825236,25.05627,23.765754,24.426028,23.915256,*,*,*
25,5,*,*,*,*,*,*,27.933382,28.619242,28.892878,27.348071,28.160732,27.700653,*,*,*
25,7,*,*,*,*,*,*,26.095592,27.491868,27.756609,26.378831,26.36148,26.961803,*,*,*
25,9,*,*,*,*,*,*,23.906299,23.99,24.154322,22.944446,23.615773,22.779979,*,*,*
25,11,*,*,*,*,*,*,24.191234,24.600137,24.946929,24.032294,24.626988,24.520543,*,*,*
25,13,*,*,*,*,*,*,21.715057,22.471938,22.558168,22.17277,22.815149,22.840043,*,*,*
25,15,*,*,*,*,*,*,19.797225,20.559642,20.445574,20.362437,20.616668,21.282484,21.245459,*,*
25,17,*,*,*,*,*,*,17.528449,18.458453,18.167821,18.176911,18.526854,19.101911,18.837497,19.59,20.12
25,19,*,*,*,*,*,*,16.426026,16.794708,17.037629,16.852705,17.034087,17.880199,17.736539,17.58,18.83
25,21,*,*,*,*,*,*,13.634143,13.604628,13.491291,13.856463,14.343355,14.357898,14.005636,15.38,16.21
25,23,*,*,14.80128,0.03242,*,*,13.732419,13.211607,13.416419,13.405519,13.673688,14.050342,13.770274,13.81,14.09
25,25,13.08255,0.02402,13.07828,0.00221,*,*,12.108818,11.527701,11.541517,11.642234,12.173902,12.024447,11.890261,12.32,12.56
