Z    N    S1n(MeV)          S1n_Err(MeV)      S1p(MeV)          S1p_Error(MeV)    Q4b(MeV)          Q4b_Error(MeV)    
27   28   14.08933          0.00039           5.06407           0.00033           *                 *                 
27   29   10.08311          0.00205           5.84895           0.00201           *                 *                 
27   30   11.37617          0.00207           6.02782           0.00055           *                 *                 
27   31   8.57298           0.00118           6.95471           0.00119           *                 *                 
27   32   10.45386          0.0011            7.36396           0.00057           *                 *                 
27   33   7.49192           7e-05             8.27487           0.00058           *                 *                 
27   34   9.32073           0.0008            8.77556           0.00352           -15.80794         0.05259           
27   35   6.6044            0.02001           9.79908           0.02828           -9.43107          0.0343            
27   36   8.4802            0.02828           10.22861          0.02469           -5.29329          0.02005           
27   37   6.02362           0.02828           11.53582          0.16932           -0.95836          0.02011           
27   38   7.44856           0.02394           11.68824          0.27688           3.48724           0.01317           
27   39   5.01272           0.25244           12.52235          0.35033           7.61309           0.25212           
27   40   7.02103           0.40601           12.7765           0.43918           11.81863          0.31826           
27   41   4.36068           0.45009           12.94704          0.52344           15.7357           0.31826           
27   42   6.7235            0.46232           14.1634           0.77493           19.32516          0.33534           
27   43   3.71193           0.90292           *                 *                 23.26688          0.83835           
27   44   6.30148           1.1856            *                 *                 *                 *                 
28   26   *                 *                 3.85493           0.05314           *                 *                 
28   27   14.19612          0.0512            4.61501           0.01102           *                 *                 
28   28   16.63941          0.0156            7.16509           0.01106           *                 *                 
28   29   10.24961          0.01121           7.33159           0.00274           *                 *                 
28   30   12.21704          0.00182           8.17246           0.00046           *                 *                 
28   31   8.99927           5e-05             8.59875           0.00111           *                 *                 
28   32   11.38775          5e-05             9.53264           0.00019           *                 *                 
28   33   7.82013           5e-05             9.86085           0.00021           *                 *                 
28   34   10.59652          0.00029           11.13664          0.00073           *                 *                 
28   35   6.83778           6e-05             11.37002          0.02              *                 *                 
28   36   9.65804           0.00019           12.54786          0.02              -12.7494          0.03168           
28   37   6.09809           0.00014           12.62234          0.02              -8.71143          0.1               
28   38   8.95155           0.00153           14.12532          0.01322           -4.38186          0.0302            
28   39   5.80771           0.00321           14.92032          0.25212           -1.08487          0.00549           
28   40   7.79245           0.00415           15.69174          0.31827           3.51597           0.0069            
28   41   4.58615           0.00477           15.9172           0.31828           7.12196           0.00395           
28   42   7.24254           0.34582           16.43624          0.48169           11.41324          0.3458            
28   43   4.12524           0.505             16.84956          0.91557           14.70394          0.36804           
28   44   6.80784           0.57089           17.35592          0.94514           18.64559          0.43643           
29   28   *                 *                 0.69487           0.01916           *                 *                 
29   29   12.4238           0.01571           2.86906           0.00232           *                 *                 
29   30   12.76649          0.00152           3.4185            0.0005            *                 *                 
29   31   10.05819          0.00165           4.47742           0.00157           *                 *                 
29   32   11.71086          0.00187           4.80053           0.001             *                 *                 
29   33   8.88551           0.00417           5.86592           0.00407           *                 *                 
29   34   10.85301          0.00406           6.12241           6e-05             *                 *                 
29   35   7.91603           9e-05             7.20066           9e-05             *                 *                 
29   36   9.91074           0.0007            7.45335           0.00072           *                 *                 
29   37   7.06593           9e-05             8.42119           0.00073           -14.75597         0.67999           
29   38   9.13182           0.00139           8.60146           0.00185           -10.67097         0.10012           
29   39   6.31957           0.00199           9.11333           0.00329           -6.6678           0.04339           
29   40   8.2405            0.00211           9.56137           0.00329           -2.64955          0.03125           
29   41   5.31123           0.00211           10.28645          0.00405           1.36698           0.05004           
29   42   7.80632           0.00217           10.85023          0.3458            5.18321           0.00447           
29   43   5.14319           0.00204           11.86817          0.36804           8.44681           0.00461           
29   44   7.27491           0.00415           12.33525          0.43644           11.97011          0.00554           
29   45   5.09093           0.00729           *                 *                 *                 *                 
29   46   6.18491           0.97809           *                 *                 *                 *                 
29   47   4.9275            0.97809           *                 *                 21.31352          0.00695           
30   28   *                 *                 2.27709           0.05239           *                 *                 
30   29   13.03412          0.06229           2.88741           0.03717           *                 *                 
30   30   14.99859          0.03861           5.11951           0.01055           *                 *                 
30   31   10.22903          0.01939           5.29035           0.01636           *                 *                 
30   32   12.89727          0.01909           6.47676           0.01002           *                 *                 
30   33   9.11291           0.01011           6.70416           0.00435           *                 *                 
30   34   11.86189          0.00148           7.71304           0.00068           *                 *                 
30   35   7.97932           0.00017           7.77633           0.00069           *                 *                 
30   36   11.05915          0.001             8.92474           0.00101           *                 *                 
30   37   7.05233           0.00022           8.91114           0.00103           *                 *                 
30   38   10.1981           0.00019           9.97741           0.00154           -15.79241         0.03262           
30   39   6.48207           0.00016           10.13991          0.00186           -12.11644         0.03445           
30   40   9.21799           0.00214           11.11741          0.0024            -7.51843          0.06161           
30   41   5.83357           0.01              11.63974          0.01031           -4.21056          0.03319           
30   42   8.8758            0.01187           12.70922          0.00627           -0.23697          0.01349           
30   43   5.35028           0.04049           12.91632          0.04006           2.8073            0.04137           
30   44   8.36986           0.0618            14.01126          0.0473            6.50385           0.04711           
30   45   4.83146           0.08491           13.75179          0.0709            9.7               0.07065           
30   46   7.73893           0.10674           15.30581          0.98134           13.11541          0.08004           
30   47   4.65702           0.14426           15.03533          0.12021           15.87725          0.12004           
30   48   6.69154           0.15004           *                 *                 *                 *                 
31   30   *                 *                 0.19168           0.05363           *                 *                 
31   31   12.98127          0.0595            2.94392           0.03226           *                 *                 
31   32   12.61798          0.0279            2.66463           0.01011           *                 *                 
31   33   10.35855          0.0024            3.91027           0.00253           *                 *                 
31   34   11.89416          0.00214           3.94255           0.00065           *                 *                 
31   35   9.13857           0.00321           5.1018            0.00316           *                 *                 
31   36   11.22657          0.00322           5.26923           0.00117           *                 *                 
31   37   8.27775           0.00168           6.49465           0.00122           *                 *                 
31   38   10.31295          0.00193           6.60951           0.00152           *                 *                 
31   39   7.65365           0.00017           7.78109           0.00153           *                 *                 
31   40   9.30147           0.00158           7.86456           0.00219           -13.07692         0.56821           
31   41   6.52045           0.00019           8.55145           0.01024           -9.57418          0.05962           
31   42   9.18127           0.00196           8.85693           0.00631           -6.0704           0.05082           
31   43   6.42157           0.00409           9.92821           0.04021           -2.7435           0.01555           
31   44   8.48631           0.00444           10.04467          0.0472            0.67444           0.01445           
31   45   5.90338           0.00311           11.11659          0.07066           3.99253           0.00967           
31   46   7.76702           0.00311           11.14467          0.08006           7.24257           0.00406           
31   47   5.78554           0.00343           12.2732           0.12005           9.74573           0.00462           
31   48   6.87427           0.09817           12.45593          0.13318           13.55899          0.09812           
31   49   4.69696           0.15756           *                 *                 *                 *                 
31   50   6.91946           0.22831           13.42751          0.25792           19.99153          0.19217           
32   32   *                 *                 5.09176           0.0317            *                 *                 
32   33   10.13606          0.1049            4.86927           0.10002           *                 *                 
32   34   13.28112          0.10445           6.25622           0.03017           *                 *                 
32   35   9.1047            0.03052           6.22235           0.00559           *                 *                 
32   36   12.39329          0.00778           7.38907           0.00626           *                 *                 
32   37   8.19214           0.00636           7.30346           0.00201           *                 *                 
32   38   11.53382          0.00167           8.52432           0.00158           *                 *                 
32   39   7.41594           0.00011           8.28662           0.00158           -22.98441         0.65212           
32   40   10.74949          0.00184           9.73464           0.00184           -18.64499         0.00816           
32   41   6.78294           5e-05             9.99712           0.00184           -14.74578         0.00678           
32   42   10.19622          6e-05             11.01207          0.00234           -11.09093         0.00261           
32   43   6.50531           7e-05             11.09581          0.00407           -7.5328           0.00827           
32   44   9.42794           0.00048           12.03744          0.00293           -4.19873          0.00436           
32   45   6.0723            0.0004            12.20636          0.00259           -1.04459          0.00259           
32   46   8.7195            0.00356           13.15884          0.00459           2.31752           0.00405           
32   47   5.69763           0.08968           13.07093          0.08965           4.95421           0.08966           
32   48   8.09796           0.09394           14.29461          0.10211           8.37732           0.02834           
32   49   4.85946           0.12339           14.45711          0.17212           11.39073          0.12013           
32   50   7.39202           0.27208           14.92967          0.31069           14.9655           0.24414           
33   33   *                 *                 2.37665           0.6873            *                 *                 
33   34   13.21682          0.68732           2.31235           0.10455           *                 *                 
33   35   10.32274          0.1091            3.53039           0.04362           *                 *                 
33   36   12.25875          0.05327           3.39585           0.03156           *                 *                 
33   37   9.32776           0.05895           4.53148           0.05003           *                 *                 
33   38   11.62254          0.05017           4.6202            0.00408           *                 *                 
33   39   8.40679           0.00606           5.61104           0.00448           *                 *                 
33   40   10.79821          0.00543           5.65976           0.00358           *                 *                 
33   41   7.97458           0.00396           6.8514            0.0017            -18.94292         0.00436           
33   42   10.24376          0.00192           6.89894           0.00095           -15.81073         0.00767           
33   43   7.32841           7e-05             7.72205           0.00096           -11.80967         0.0026            
33   44   9.69839           0.00194           7.9925            0.00175           -9.09205          0.0078            
33   45   6.97216           0.00993           8.89236           0.00988           -5.88119          0.01242           
33   46   8.89042           0.01106           9.06329           0.00653           -2.83316          0.00821           
33   47   6.59408           0.02383           9.95973           0.09256           0.01357           0.02435           
33   48   8.44534           0.02383           10.30711          0.02872           2.92151           0.00815           
33   49   5.86202           0.20007           11.30967          0.23329           5.86419           0.20003           
33   50   7.62797           0.29734           11.54562          0.32865           9.19415           0.22011           
34   34   *                 *                 4.85597           0.10528           *                 *                 
34   35   10.15803          0.04743           4.69127           0.05488           *                 *                 
34   36   13.816            0.07056           6.24852           0.06904           *                 *                 
34   37   9.14144           0.06921           6.0622            0.05913           *                 *                 
34   38   12.84939          0.0338            7.28904           0.01276           *                 *                 
34   39   8.39455           0.01595           7.2768            0.01133           *                 *                 
34   40   12.06641          0.01058           8.545             0.0036            *                 *                 
34   41   8.0276            7e-05             8.59802           0.00175           -25.54734         0.22013           
34   42   11.15435          0.00029           9.50861           0.00083           -21.00816         0.0373            
34   43   7.41886           6e-05             9.59906           0.00083           -16.79553         0.00946           
34   44   10.49781          0.00016           10.39848          0.00176           -13.85216         0.00763           
34   45   6.96283           0.00013           10.38915          0.00987           -10.44102         0.00855           
34   46   9.91365           0.00162           11.41238          0.00525           -7.45171          0.00687           
34   47   6.7009            0.00035           11.5192           0.02325           -4.86181          0.00652           
34   48   9.27581           0.0012            12.34967          0.00514           -1.58562          0.00591           
34   49   5.81797           0.003             12.30562          0.20002           1.45478           0.01087           
34   50   8.68249           0.01473           13.36014          0.22049           4.69201           0.01486           
34   51   4.54776           0.03324           *                 *                 *                 *                 
34   52   6.18362           0.0337            *                 *                 *                 *                 
34   53   4.11267           0.04218           *                 *                 18.29849          0.03923           
34   54   5.36753           0.06304           *                 *                 *                 *                 
35   36   *                 *                 2.30608           0.57154           *                 *                 
35   37   10.0232           0.57133           3.18784           0.06746           *                 *                 
35   38   12.68505          0.07611           3.0235            0.05212           *                 *                 
35   39   9.74846           0.05295           4.37741           0.01835           *                 *                 
35   40   11.90425          0.02062           4.21525           0.01414           *                 *                 
35   41   9.22147           0.01694           5.40912           0.00933           *                 *                 
35   42   11.01706          0.00974           5.27183           0.00281           *                 *                 
35   43   8.28871           0.00455           6.14168           0.00358           *                 *                 
35   44   10.68753          0.00394           6.3314            0.00165           -17.71194         0.45008           
35   45   7.89228           0.00013           7.26084           0.00165           -14.67169         0.177             
35   46   10.15668          0.00222           7.50387           0.0022            -11.9575          0.06219           
35   47   7.59294           0.00012           8.39592           0.00222           -9.30407          0.1026            
35   48   9.58378           0.00444           8.70389           0.00419           -6.68237          0.04451           
35   49   6.86172           0.01496           9.74765           0.01504           -3.64148          0.09252           
35   50   8.88225           0.02405           9.94741           0.024             -0.76814          0.02692           
35   51   5.10062           0.02204           10.50027          0.03186           3.64401           0.01795           
35   52   6.28867           0.02082           10.60533          0.02355           9.1618            0.01775           
35   53   4.94653           0.04229           11.43918          0.0549            13.56701          0.03846           
35   54   5.9108            0.07108           11.98246          0.07755           19.13013          0.05986           
35   55   4.11954           0.09769           *                 *                 21.86762          0.07726           
35   56   4.95979           0.10598           *                 *                 *                 *                 
35   57   3.14314           0.08788           *                 *                 *                 *                 
36   36   15.08891          0.65217           4.16657           0.56827           *                 *                 
36   37   10.68215          0.01035           4.82552           0.05997           *                 *                 
36   38   13.85107          0.00689           5.99154           0.05083           *                 *                 
36   39   10.06343          0.00836           6.30651           0.01713           *                 *                 
36   40   12.76201          0.00905           7.16427           0.0148            *                 *                 
36   41   9.22644           0.00448           7.16924           0.00967           *                 *                 
36   42   12.0816           0.00223           8.23378           0.00343           *                 *                 
36   43   8.33433           0.00404           8.2794            0.00516           *                 *                 
36   44   11.52107          0.00412           9.11295           0.00242           -22.37545         1.49039           
36   45   7.87286           0.00225           9.09354           0.00226           -19.20555         0.16655           
36   46   10.96679          0.00109           9.90364           0.00099           *                 *                 
36   47   7.46352           0.00325           9.77422           0.00335           -13.52315         0.0959            
36   48   10.5206           0.0003            10.71103          0.00408           *                 *                 
36   49   7.12059           0.00328           10.9699           0.01475           -8.33114          0.10082           
36   50   9.85662           0.00195           11.94427          0.0191            -5.46122          0.03009           
36   51   5.51517           0.00025           12.35883          0.011             -1.36128          0.00835           
36   52   7.05403           0.01342           13.12418          0.02219           3.93097           0.0169            
36   53   5.1058            0.05345           13.28346          0.06444           8.14226           0.05187           
36   54   6.31454           0.05495           13.6872           0.0626            13.79742          0.01855           
36   55   4.41179           0.06006           13.97945          0.09608           16.58008          0.05718           
36   56   5.54604           0.05832           14.5657           0.07349           19.66883          0.0119            
36   57   3.30379           0.10097           14.72635          0.11188           23.09952          0.10031           
37   37   *                 *                 2.65427           0.00753           *                 *                 
37   38   13.37594          0.00831           2.17914           0.00773           *                 *                 
37   39   11.32947          0.00768           3.44518           0.00832           *                 *                 
37   40   12.41602          0.00768           3.09918           0.00847           *                 *                 
37   41   10.18301          0.01054           4.05576           0.0077            *                 *                 
37   42   11.93845          0.00956           3.91261           0.00602           *                 *                 
37   43   9.44081           0.00919           5.01909           0.00799           *                 *                 
37   44   11.35328          0.00919           4.8513            0.00605           *                 *                 
37   45   8.8047            0.0066            5.78313           0.00335           *                 *                 
37   46   10.95792          0.0066            5.77427           0.00608           -20.11625         0.31489           
37   47   8.74654           0.00662           7.05729           0.00231           *                 *                 
37   48   10.48862          0.00281           7.02531           0.0028            -15.01821         0.22397           
37   49   8.651             0.0002            8.55572           0.00196           -12.92067         0.08547           
37   50   9.9221            0.0002            8.6212            0.0001            -10.41464         0.06058           
37   51   6.08252           0.00016           9.18854           0.00031           -6.5359           0.10053           
37   52   7.17482           0.00546           9.30934           0.01449           -1.06212          0.02735           
37   53   5.72053           0.0085            9.92406           0.05215           3.29455           0.00778           
37   54   6.45493           0.01036           10.06445          0.02017           8.88712           0.00884           
37   55   5.09804           0.01006           10.7507           0.05746           11.67629          0.00664           
37   56   5.91679           0.0097            11.12145          0.01393           14.59075          0.00794           
37   57   4.00714           0.01127           11.8248           0.10063           17.81115          0.00868           
37   58   5.3719            0.02205           *                 *                 20.92797          0.02114           
37   59   3.44203           0.02909           *                 *                 *                 *                 
37   60   5.20299           0.03301           *                 *                 *                 *                 
37   61   3.93665           0.05321           *                 *                 29.3069           0.05041           
37   62   4.72854           0.13417           *                 *                 *                 *                 
37   64   *                 *                 *                 *                 35.345            0.165             
38   37   *                 *                 1.9936            0.22016           *                 *                 
38   38   15.69353          0.22326           4.31119           0.038             *                 *                 
38   39   11.63149          0.03841           4.6132            0.0095            *                 *                 
38   40   13.44118          0.01193           5.63836           0.01054           *                 *                 
38   41   10.37397          0.01122           5.82932           0.01122           *                 *                 
38   42   12.90296          0.01065           6.79383           0.00889           *                 *                 
38   43   9.2908            0.00904           6.64382           0.00933           *                 *                 
38   44   12.552            0.00833           7.84253           0.00819           *                 *                 
38   45   8.85837           0.01172           7.89621           0.01067           *                 *                 
38   46   11.91972          0.0108            8.858             0.0068            *                 *                 
38   47   8.53005           0.00397           8.64152           0.00386           *                 *                 
38   48   11.49232          0.00303           9.64522           0.00107           -19.96723         0.43841           
38   49   8.42815           0.00012           9.42237           0.00107           -17.18549         0.22328           
38   50   11.11264          0.00016           10.61292          0.00108           -15.22165         0.02038           
38   51   6.35872           9e-05             10.88911          0.0011            -11.20525         0.0155            
38   52   7.80378           0.00293           11.51807          0.00613           -5.77434          0.00606           
38   53   5.77499           0.0048            11.57254          0.0078            -1.44111          0.0119            
38   54   7.29374           0.00558           12.41135          0.00873           3.9373            0.00508           
38   55   5.28822           0.00823           12.60153          0.00968           6.71889           0.0084            
38   56   6.82714           0.0104            13.51188          0.01044           9.56928           0.00731           
38   57   4.34771           0.01031           13.85244          0.01112           12.59067          0.00758           
38   58   5.89345           0.02807           14.374            0.03138           15.85154          0.02734           
38   59   3.92047           0.03197           14.85244          0.03222           18.75233          0.01912           
38   60   5.92887           0.03178           15.57832          0.03836           21.46606          0.02629           
38   61   3.61133           0.08406           15.253            0.09391           23.78016          0.07999           
38   62   6.10495           0.15007           16.62941          0.17868           25.965            0.12708           
38   63   3.25924           0.17776           *                 *                 28.104            0.12429           
38   64   5.74156           0.16666           16.76921          0.19968           30.48             0.1092            
39   40   *                 *                 2.47162           0.45014           *                 *                 
39   41   10.93253          0.48363           3.03018           0.17718           *                 *                 
39   42   12.87087          0.18758           2.99809           0.0625            *                 *                 
39   43   10.24637          0.11994           3.95366           0.10277           *                 *                 
39   44   12.20548          0.11174           3.60714           0.04466           *                 *                 
39   45   9.90261           0.10156           4.65139           0.09196           *                 *                 
39   46   11.75559          0.09333           4.48726           0.01923           *                 *                 
39   47   9.51277           0.02368           5.46997           0.01446           *                 *                 
39   48   11.80646          0.01419           5.78412           0.00113           *                 *                 
39   49   9.35173           0.00188           6.7077            0.00151           *                 *                 
39   50   11.47393          0.003             7.06898           0.0026            *                 *                 
39   51   6.85703           0.0001            7.56729           0.0026            -15.28086         0.24218           
39   52   7.92889           0.00249           7.6924            0.00285           -10.36087         0.20032           
39   53   6.53961           0.00933           8.45702           0.01007           -5.87868          0.02753           
39   54   7.48115           0.0139            8.64443           0.01114           -0.62063          0.01113           
39   55   6.19666           0.01266           9.55286           0.01037           1.80546           0.0082            
39   56   6.92989           0.0099            9.65561           0.01007           4.8098            0.00878           
39   57   5.21096           0.02431           10.51885          0.02435           7.47055           0.02395           
39   58   5.9823            0.02558           10.6077           0.02907           10.96241          0.01225           
39   59   4.28104           0.0267            10.96828          0.03039           13.96035          0.02472           
39   60   5.80482           0.03452           10.84423          0.03582           17.12222          0.02438           
39   61   5.1647            0.08192           12.3976           0.1119            18.72192          0.07864           
39   62   5.68924           0.12328           11.98189          0.15874           21.42361          0.09829           
39   63   5.05156           0.12835           13.77421          0.15124           22.67319          0.08678           
40   40   *                 *                 4.44944           1.55687           *                 *                 
40   41   11.04276          1.49967           4.55967           0.24302           *                 *                 
40   43   *                 *                 5.55513           0.1404            *                 *                 
40   45   *                 *                 6.28024           0.13605           *                 *                 
40   46   12.72654          0.1052            7.2512            0.03557           *                 *                 
40   47   9.61512           0.03105           7.35354           0.01644           *                 *                 
40   48   12.34627          0.01281           7.89335           0.01036           *                 *                 
40   49   9.3171            0.01047           7.85871           0.00403           *                 *                 
40   50   11.9697           0.00311           8.35449           0.00167           *                 *                 
40   51   7.19445           0.0005            8.69191           0.00172           *                 *                 
40   52   8.6348            0.00011           9.39782           0.00182           *                 *                 
40   53   6.73448           0.00045           9.59268           0.00917           -9.85151          0.08509           
40   54   8.22111           0.00195           10.33265          0.01064           -4.69894          0.01293           
40   55   6.46225           0.00087           10.59824          0.00704           -2.20795          0.01205           
40   56   7.85634           0.00217           11.52469          0.00725           0.62927           0.0083            
40   57   5.57517           0.0004            11.88891          0.02331           3.1656            0.00874           
40   58   6.4116            0.01975           12.3182           0.02262           6.93754           0.02089           
40   59   4.55286           0.02818           12.59002          0.0316            9.8485            0.02005           
40   60   6.90715           0.04022           13.69235          0.04256           12.61468          0.03585           
40   61   4.92424           0.04689           13.45189          0.08426           14.49249          0.03137           
40   62   6.35656           0.05894           14.11921          0.10758           17.35557          0.0506            
40   63   4.70087           0.11992           13.76853          0.13885           18.88675          0.10873           
41   45   10.74854          0.23972           3.9662            0.13216           *                 *                 
41   46   12.42812          0.10471           3.66777           0.06756           *                 *                 
41   47   9.96127           0.11732           4.01392           0.10082           *                 *                 
41   48   12.6486           0.10404           4.31626           0.0287            *                 *                 
41   49   10.0772           0.0272            5.07635           0.00507           *                 *                 
41   50   12.04749          0.005             5.15415           0.003             *                 *                 
41   51   7.88721           0.00346           5.84691           0.0018            *                 *                 
41   52   8.83126           0.00203           6.04337           0.00161           *                 *                 
41   53   7.22754           8e-05             6.53643           0.00158           *                 *                 
41   54   8.48872           0.00203           6.80403           0.00192           -8.44208          0.15048           
41   55   6.89311           0.00324           7.2349            0.00369           -5.92429          0.01322           
41   56   8.07326           0.00367           7.45182           0.00181           -3.0164           0.0364            
41   57   5.99422           0.00532           7.87087           0.00502           -0.35373          0.01309           
41   58   6.86972           0.01437           8.329             0.0239            3.24744           0.01502           
41   59   5.68367           0.02773           9.4598            0.0315            5.64492           0.03143           
41   60   7.07424           0.03081           9.62689           0.03967           8.46579           0.02554           
41   61   5.47656           0.04415           10.17921          0.05073           10.42753          0.04099           
41   62   7.04087           0.07909           10.86353          0.08459           12.70516          0.06784           
41   63   4.97796           0.12476           11.14061          0.15096           14.72616          0.10482           
41   64   6.7003            0.14466           *                 *                 *                 *                 
42   44   *                 *                 4.6962            0.49231           *                 *                 
42   45   11.20989          0.49198           5.15755           0.23906           *                 *                 
42   46   13.07648          0.22419           5.80591           0.06386           *                 *                 
42   47   10.37512          0.025             6.21976           0.10168           *                 *                 
42   48   13.23469          0.01646           6.80585           0.02749           *                 *                 
42   49   10.10822          0.01251           6.83687           0.01186           *                 *                 
42   50   12.67216          0.01051           7.46153           0.00475           *                 *                 
42   51   8.06981           9e-05             7.64413           0.00396           *                 *                 
42   52   9.67753           0.00365           8.4904            0.00199           *                 *                 
42   53   7.3691            0.0001            8.63196           0.00199           *                 *                 
42   54   9.15432           5e-05             9.29757           0.0005            -12.56109         0.15055           
42   55   6.82126           0.00021           9.22572           0.00321           -9.7412           0.3022            
42   56   8.6426            7e-05             9.79505           0.00179           -6.81177          0.02156           
42   57   5.92543           0.00015           9.72626           0.00546           -3.77811          0.0152            
42   58   8.28978           0.00578           11.14632          0.01199           -0.95809          0.01258           
42   59   5.39824           7e-05             10.86089          0.025             1.91679           0.01855           
42   60   8.11756           0.02              11.90421          0.02691           4.3676            0.02098           
42   61   5.36087           0.06427           11.78853          0.07318           6.63208           0.06085           
42   62   7.55296           0.08103           12.30061          0.0864            9.06138           0.05377           
42   63   5.0803            0.08902           12.40296          0.12659           11.07518          0.07117           
42   64   6.98874           0.07328           12.6914           0.10134           13.6474           0.01748           
42   65   4.75911           0.16261           *                 *                 *                 *                 
43   47   *                 *                 3.49168           0.24267           *                 *                 
43   48   12.84888          0.31428           3.10587           0.20039           *                 *                 
43   49   11.0218           0.20192           4.01945           0.02779           *                 *                 
43   50   12.7392           0.02574           4.0865            0.001             *                 *                 
43   51   8.62274           0.00556           4.63944           0.00547           *                 *                 
43   52   9.93423           0.00651           4.89614           0.00508           *                 *                 
43   53   7.8717            0.00723           5.39873           0.00515           *                 *                 
43   54   9.47417           0.00659           5.71858           0.00412           -16.40087         0.32162           
43   55   7.27898           0.00533           6.1763            0.00339           -13.36716         0.06708           
43   56   8.96669           0.00336           6.50039           0.00097           -10.56541         0.15077           
43   57   6.7644            0.001             7.33935           0.00139           -7.86784          0.07713           
43   58   8.39093           0.02406           7.4405            0.02472           -5.11164          0.10712           
43   59   6.30114           0.02575           8.3434            0.0103            -2.30077          0.02948           
43   60   8.10268           0.0131            8.32853           0.02304           0.19434           0.01938           
43   61   5.96046           0.04653           8.92811           0.07593           2.62523           0.0459            
43   62   7.8728            0.07142           9.24796           0.07681           4.78034           0.0561            
43   63   5.55874           0.05658           9.7264            0.07229           7.16226           0.013             
43   64   7.39911           0.15066           10.13676          0.15113           9.29887           0.15013           
43   65   4.92133           0.1962            10.29898          0.20517           11.64896          0.12653           
43   66   6.65411           0.15889           *                 *                 14.187            0.09626           
43   67   4.49641           0.12283           *                 *                 *                 *                 
43   68   6.32724           0.13295           *                 *                 19.00404          0.10874           
43   69   4.85425           0.16502           *                 *                 *                 *                 
44   49   *                 *                 5.61986           0.08881           *                 *                 
44   50   13.37368          0.08603           6.25434           0.0133            *                 *                 
44   51   8.95324           0.01382           6.58483           0.01263           *                 *                 
44   52   10.69356          0.00953           7.34416           0.00933           *                 *                 
44   53   8.1115            0.00276           7.58396           0.00994           *                 *                 
44   54   10.18354          0.01043           8.29333           0.00769           -20.59385         0.07826           
44   55   7.46383           0.00652           8.47818           0.00363           *                 *                 
44   56   9.67332           3e-05             9.18481           0.00142           -14.96915         0.09526           
44   57   6.80205           0.00024           9.22247           0.00175           -12.20206         0.15092           
44   58   9.21964           5e-05             10.05117          0.024             -9.42015          0.02914           
44   59   6.23205           0.00015           9.98208           0.00932           -6.60932          0.01543           
44   60   8.90141           0.00283           10.78082          0.00949           -4.1142           0.00994           
44   61   5.9101            0.00011           10.73046          0.04556           -1.59755          0.01162           
