Z,N,2003,2003_sd,2016,2016_sd,2017,2017_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
17,34,*,*,*,*,*,*,4.4787,4.230677,3.43506,4.212694,4.377505,4.025799,22.565051,3.68,3.64
17,36,*,*,*,*,*,*,1.744598,1.742881,1.332609,2.054498,1.990719,1.156993,22.407899,1.38,1.89
17,38,*,*,*,*,*,*,1.014532,0.504843,0.695968,1.206919,1.389588,0.440725,23.63448,1.53,*
17,40,*,*,*,*,*,*,0.875492,*,*,0.174874,0.465491,*,24.833021,0.1,*
17,42,*,*,*,*,*,*,0.845264,*,*,*,*,*,25.231859,*,0.57
17,44,*,*,*,*,*,*,0.619523,*,*,*,*,*,25.79044,*,*
17,46,*,*,*,*,*,*,0.102618,*,*,*,*,*,26.388472,*,*
17,48,*,*,*,*,*,*,*,*,*,*,*,*,27.087716,*,*
17,50,*,*,*,*,*,*,*,*,*,*,*,*,28.003701,*,*
19,4,*,*,*,*,*,*,54.848436,55.538365,57.520144,52.605321,53.180645,51.194295,*,*,*
19,6,*,*,*,*,*,*,59.605696,60.855349,62.37432,58.596892,59.240972,58.327356,*,*,*
19,8,*,*,*,*,*,*,54.192572,56.787595,58.240634,55.292283,54.183477,56.129272,*,*,*
19,10,*,*,*,*,*,*,42.935453,45.099105,45.936495,44.645152,44.758074,44.928023,*,*,*
19,12,*,*,*,*,*,*,41.343739,42.25815,42.958132,42.086357,42.666254,43.266479,18.59634,45.5,44.66
19,14,*,*,*,*,*,*,39.000169,39.063764,39.478436,39.231517,39.799101,40.754112,19.625339,40.59,42.3
19,16,*,*,*,*,*,*,32.550308,33.621217,33.080574,33.472083,33.268319,34.437973,18.304119,34.26,35.68
19,18,29.77393,0.02,29.76994,0.00052,*,*,26.788889,28.461329,28.652575,28.39268,27.25399,29.173794,18.026289,30.19,31.82
19,20,25.14945,0.00021,25.14963,9e-05,*,*,23.887881,24.512131,25.239103,24.752296,23.998554,25.491888,19.18741,25.02,24.71
19,22,17.8947,0.0001,17.89499,1e-05,*,*,19.942512,19.499631,19.063709,19.34233,19.48722,18.920721,17.8433,19.69,18.24
19,24,17.1768,0.00895,17.15848,0.00041,*,*,18.344166,17.192425,16.951692,17.073684,17.274135,16.785854,19.146606,17.15,17.52
19,26,16.15758,0.01361,16.18288,0.00066,*,*,17.493841,15.72714,15.916569,15.678745,15.676818,15.379518,20.569944,15.45,15.87
19,28,15.23072,0.01279,15.23897,0.00149,*,*,15.707049,14.008945,13.910615,13.872344,13.904744,13.453457,21.741663,13.42,14.0
19,30,10.76563,0.07033,10.04215,0.00161,*,*,12.48734,12.224168,10.613233,11.701798,11.993405,11.237126,22.084303,9.53,10.78
19,32,*,*,9.04734,0.01307,*,*,10.206923,9.858806,8.475828,9.217792,9.495316,8.922436,22.089743,7.2,8.48
19,34,*,*,5.92216,0.11254,*,*,6.674111,6.819361,5.973915,6.484455,6.47224,6.010202,21.141012,6.38,6.29
19,36,*,*,*,*,*,*,4.532303,4.632468,4.270836,4.789321,4.663594,3.978857,21.51015,4.39,4.8
19,38,*,*,*,*,*,*,3.847576,3.434853,3.693706,4.001941,4.00479,3.204578,22.810798,4.33,3.18
19,40,*,*,*,*,*,*,3.393075,2.335482,2.634114,2.823634,2.901577,2.108711,23.961153,2.09,2.51
19,42,*,*,*,*,*,*,2.833365,1.11763,0.404534,0.98325,0.946554,0.297219,24.260247,1.72,1.11
19,44,*,*,*,*,*,*,2.627153,0.2131,*,0.073626,0.195767,*,25.036835,0.77,1.01
19,46,*,*,*,*,*,*,2.21092,*,*,0.029102,0.088876,*,25.773544,0.06,*
19,48,*,*,*,*,*,*,1.754576,*,*,*,*,*,26.393005,*,1.68
19,50,*,*,*,*,*,*,1.210995,*,*,*,*,*,27.036452,*,*
19,52,*,*,*,*,*,*,0.480576,*,*,*,*,*,27.606726,*,*
19,54,*,*,*,*,*,*,*,*,*,*,*,*,28.42378,*,*
19,56,*,*,*,*,*,*,*,*,*,*,*,*,29.471895,*,*
19,58,*,*,*,*,*,*,*,*,*,*,*,*,30.216116,*,*
21,4,*,*,*,*,*,*,54.301938,55.264217,57.463449,52.788629,53.178072,51.574102,*,*,*
