Z    N    SKM*(MeV)         SKP(MeV)          SLY4(MeV)         SVMIN(MeV)        UNEDF0(MeV)       UNEDF1(MeV)       DDME2(MeV)        DDMEd(MeV)        DDPC1(MeV)        NL3*(MeV)         
36   50   1.024586          -0.843016         -0.390153         -0.561114         -0.82105          -0.808409         0.71879           0.50579           0.42679           0.08879           
36   52   0.607719          1.263683          -0.963218         0.241787          0.71312           -0.351813         -2.5682           -2.5092           -2.0792           -1.9452           
36   54   0.501944          0.644643          -0.974189         -0.190014         0.184873          -0.568569         -1.20435          -0.91635          -0.79335          -0.74635          
36   56   0.631276          0.649718          -0.670064         -0.048081         0.323413          -0.452871         0.43616           0.38416           0.62816           0.53316           
38   40   0.228239          1.130916          1.183979          1.330674          0.471501          0.894728          1.31634           1.82534           2.08734           1.56034           
38   42   -0.218136         0.440967          0.462197          0.787947          0.404702          0.601293          0.52007           0.48007           0.93507           0.89107           
38   44   -0.622342         0.209945          0.304292          0.598452          0.514659          0.428652          0.53221           0.44521           0.87521           0.71921           
38   46   0.956106          0.264842          0.651579          0.590263          0.427667          0.440254          0.62291           0.46791           0.87891           0.58591           
38   48   1.993671          0.113279          0.83474           0.450015          0.213413          0.243301          0.51263           0.27863           0.66063           0.21663           
38   50   0.960105          -1.37319          -0.345794         -1.014383         -1.093881         -0.993011         -0.2208           -0.2328           0.1432            -0.5188           
38   52   0.080366          1.144586          -1.398734         0.148909          0.554187          -0.465178         -2.0115           -2.1835           -2.2725           -1.7715           
38   54   0.389649          0.520908          -1.199061         -0.37809          0.122668          -0.695505         -1.40173          -1.03373          -1.19573          -1.01073          
38   56   0.133316          0.314346          -1.312817         -0.562227         -0.070638         -0.826884         -0.29036          -0.15336          -0.05636          -0.18336          
38   58   0.656942          0.643964          -0.017562         0.11688           0.075746          -0.425147         0.95484           0.98084           1.19184           1.06784           
38   60   2.506747          -0.320759         0.788229          0.087348          -0.280894         -0.661659         0.28666           0.49766           0.70366           0.66766           
38   62   1.078226          -0.624077         -0.361265         0.062671          -0.0917           -0.618944         -0.44928          -0.06828          -0.02128          0.03272           
38   64   0.52047           -0.639458         -0.86028          -0.392438         -0.456332         -0.922964         -0.4108           -0.1108           0.0162            -0.0318           
40   48   1.929968          0.165842          0.873596          0.535448          0.473456          0.412511          0.55261           0.27161           0.69061           0.31661           
40   50   1.117469          -1.109084         -0.076465         -0.745916         -0.759943         -0.704857         0.3452            -0.0608           0.3322            -0.2338           
40   52   0.036761          1.204996          -1.255557         0.23967           0.572039          -0.30324          -2.15525          -1.90825          -2.09725          -1.69425          
40   54   -0.010602         0.322759          -1.538095         -0.558551         -0.129753         -0.795143         -1.60059          -1.10759          -1.51959          -1.39659          
40   56   -0.410593         -0.208636         -1.929865         -1.136322         -0.752431         -1.387063         -0.72459          -0.41559          -0.52859          -0.70159          
40   58   -0.032533         0.553455          -0.299654         -0.102946         -0.140416         -0.533188         0.79323           0.77823           1.03223           0.93323           
40   60   2.035348          -0.210912         -0.11365          -0.053282         0.05277           -0.732584         0.46898           0.69898           0.76098           0.67698           
40   62   1.219128          -0.79485          -0.165774         -0.097831         -0.035891         -0.824128         -0.1258           0.1382            0.2202            0.0672            
42   46   2.058698          0.817494          1.305911          1.246166          1.225076          1.253518          1.38263           1.10963           1.50263           1.34363           
42   48   2.150169          0.547018          1.319013          0.945113          0.905292          0.863364          1.10319           0.73819           1.12619           0.84119           
42   50   1.493176          -0.682842         0.40596           -0.218163         -0.16063          -0.065069         0.78063           0.47063           0.88363           0.43463           
42   52   -0.409276         0.983269          -1.443412         0.021667          0.32012           -0.533308         -2.09634          -1.82334          -2.24734          -1.92934          
42   54   -0.122089         0.354484          -1.456488         -0.491014         -0.06829          -0.74877          -0.96142          -0.33842          -0.82342          -1.18442          
42   56   -0.174937         0.188721          -1.456381         -0.746657         -0.384402         -1.041463         -0.13486          0.22714           -0.01286          -0.29586          
42   58   -0.880743         -0.086749         -0.516234         -0.675009         -0.798834         -1.106739         -0.19122          -0.01222          -0.02022          0.12378           
42   60   1.328375          -0.625019         -0.313345         -0.257488         -0.600997         -0.654633         0.1762            0.0802            0.3832            0.2402            
42   62   0.880231          -0.774323         -0.610763         -0.230646         -0.208031         -0.660904         0.01117           0.23617           0.31717           0.05017           
42   64   0.505099          -0.53234          -0.344068         -0.160241         -0.338127         -0.577892         0.06495           0.29295           0.42095           0.06295           
44   52   -0.885226         0.715463          -1.659231         -0.267711         0.057362          -0.823477         -2.2948           -1.7488           -2.0358           -2.1418           
44   54   -0.477421         0.179126          -0.845951         -0.709673         -0.244695         -0.96616          -0.47804          0.12096           -0.37204          -1.01804          
44   56   -0.503629         0.077404          -0.876384         -0.636229         -0.544277         -0.661914         -0.10115          0.29585           0.02185           -0.30215          
44   58   -0.655942         -0.282124         -1.037878         -0.32133          -0.986401         -0.816164         -0.38769          -0.09169          -0.16669          -0.26169          
44   60   0.476347          -0.263738         -1.215083         -0.5598           -0.581592         -1.003516         -0.54046          -0.29146          -0.28746          -0.36246          
44   62   0.537247          -0.450053         -0.332146         -0.462328         -0.371618         -0.661473         0.10916           -0.07484          0.19916           0.07616           
44   64   0.46006           -0.400018         -0.063135         0.091781          -0.11912          -0.505638         0.35357           0.52157           0.63857           0.21757           
44   66   0.749959          -0.054182         0.292384          0.303536          0.098182          -0.071784         0.47948           0.65448           0.80048           0.34348           
44   68   0.91341           0.262064          0.030784          0.136824          -0.070967         -0.262856         0.14651           0.24951           0.51851           0.18951           
46   52   -1.013946         0.753134          -1.553068         -0.212361         0.104634          -0.768534         -2.13618          -1.35018          -1.89718          -2.03718          
46   54   -0.564529         -0.002527         -0.299915         -0.698004         -0.427367         -0.619237         -0.4449           0.1631            -0.3549           -1.1269           
46   56   -0.714037         0.236697          -0.689216         -0.16069          -0.714701         -0.46949          -0.13549          0.28951           -0.00349          -0.40049          
46   58   -0.548734         0.075758          -0.855055         -0.300479         -0.546585         -0.645776         -0.2286           0.1144            -0.0466           -0.2106           
46   60   -0.276765         -0.09361          -1.062321         -0.421734         -0.407995         -0.830059         -0.28907          -0.06107          -0.10607          -0.24607          
46   62   0.272866          -0.168863         -0.893864         -0.373497         -0.397363         -0.746969         -0.35346          -0.25946          -0.16246          -0.22646          
46   64   0.514753          -0.22566          -0.654792         -0.27154          -0.316934         -0.58594          -0.0955           -0.1065           0.0755            -0.1145           
46   66   0.743789          -0.153374         0.022142          -0.076635         -0.149652         -0.378            0.43214           0.54114           0.67514           0.26814           
46   68   0.910763          -0.062756         -0.051419         0.026661          -0.089485         -0.296005         0.1061            0.1941            0.4061            0.3921            
46   70   0.845673          0.082887          -0.66179          -0.504585         0.006128          -0.451136         0.04734           -0.05766          0.14234           0.29734           
46   72   1.007563          0.619176          -0.258198         0.707383          0.583742          -0.336448         0.33442           0.34342           0.87242           0.47742           
46   74   1.257196          0.783844          0.786313          1.059965          0.833449          0.060761          0.42094           0.52494           1.08394           0.55094           
48   52   -1.144709         0.761157          -1.45635          -0.140208         0.076983          -0.706863         -1.86885          -0.92285          -1.68885          -1.86285          
48   54   -0.955414         0.075217          -0.938689         -0.835211         -0.346928         -1.040415         -0.9047           -0.1867           -0.8197           -1.3337           
48   56   -1.037033         -0.09911          -0.679786         -0.426335         -0.744746         -0.326948         -0.21041          0.23059           -0.06341          -0.57441          
48   58   -0.875517         0.016426          -0.737615         -0.319247         -0.744975         -0.576831         -0.01546          0.28954           0.08954           -0.28446          
48   60   -0.536992         -0.049011         -0.809172         -0.342051         -0.364519         -0.680705         0.02454           0.14154           0.11854           -0.18546          
48   62   -0.056191         -0.014703         -0.605759         -0.219984         -0.249977         -0.571799         -0.1123           0.0027            0.0387            -0.0573           
48   64   0.408776          -0.034726         -0.475678         -0.138842         -0.193601         -0.476779         -0.14116          0.36284           0.07684           0.21584           
48   66   0.762125          -0.033459         -0.457307         -0.103534         -0.156012         -0.410351         0.41894           0.29494           0.58494           0.31694           
48   68   0.940024          0.119046          -0.482201         -0.096306         0.024135          -0.427637         0.33191           0.12991           0.58191           0.25991           
48   70   0.951219          0.384268          0.124363          0.244884          0.383603          -0.536668         0.2012            0.0752            0.5382            0.2032            
48   72   0.890893          0.395727          0.448643          0.577077          0.471665          0.077883          0.15386           0.09686           0.60686           0.19286           
48   74   0.860822          0.288854          0.318362          0.504124          0.304483          0.039478          -0.00289          0.00911           0.53011           -0.00089          
48   76   1.540174          0.423524          0.599187          0.709585          0.391438          0.283292          0.20293           0.25493           0.76593           0.08793           
48   78   1.823873          0.17446           0.667535          0.60464           0.132975          0.074345          0.0567            0.1267            0.6097            -0.2383           
48   80   2.832639          0.277746          1.060142          0.761421          0.230933          0.263917          0.23078           0.30078           0.74378           -0.31222          
48   82   2.180573          -0.658938         0.432115          -0.124874         -0.535258         -0.419532         0.38041           0.47341           0.64041           -0.49359          
50   52   -1.216103         0.797833          -1.298283         -0.07509          0.212926          -0.606557         -1.57429          -0.14829          -1.40429          -1.61529          
50   54   -0.785669         0.436841          -1.243064         -0.511555         0.021944          -0.774257         -0.79777          0.12523           -0.85977          -0.87677          
50   56   -1.169168         -0.05668          -1.376104         -0.813379         -0.635981         -1.01152          -0.67321          0.11479           -0.52221          -0.76821          
50   58   -1.36641          -0.121775         -1.02623          -0.537354         -0.61543          -0.587082         -0.01141          0.43259           0.10559           -0.27541          
50   60   -1.392781         -0.327794         -0.774236         -0.514494         -0.658302         -0.654539         0.01246           0.22146           0.22346           -0.20354          
50   62   -0.734047         -0.11731          -0.400656         -0.227061         -0.352507         -0.423395         0.37798           0.26998           0.48398           0.00398           
50   64   -0.121317         0.078808          -0.218186         -0.033211         -0.11249          -0.302779         0.30973           0.25473           0.57573           0.10373           
50   66   0.366768          0.347162          0.029123          0.246946          0.160096          -0.048016         0.59716           0.13616           0.60716           0.20216           
50   68   0.742222          0.47008           0.463665          0.437735          0.403575          0.044264          0.31141           0.10541           0.58741           0.24241           
50   70   1.02469           0.449318          0.470096          0.477106          0.466746          0.018645          0.20935           0.04935           0.76735           0.17735           
50   72   1.299368          0.406248          0.375655          0.483292          0.425646          0.036122          0.12949           -0.00151          0.27149           0.08949           
50   74   1.674618          0.269897          0.342093          0.521054          0.308071          0.068126          -0.15144          -0.01644          0.49256           -0.02944          
50   76   1.968404          0.100982          0.376152          0.416086          0.179162          0.003806          0.2627            -0.0193           0.4717            -0.1763           
50   78   2.110768          -0.016328         0.479908          0.362959          -0.021726         -0.065343         0.00618           -0.03982          0.41918           -0.37382          
50   80   2.38851           -0.038362         0.720427          0.412472          -0.119279         -0.041107         0.04001           -0.01299          0.67401           -0.56299          
50   82   1.457793          -1.340652         -0.186061         -0.776332         -1.153098         -1.018402         -0.50786          -0.32386          -0.24386          -0.97486          
50   84   0.859683          1.596762          -1.139452         0.449671          0.942313          -0.012366         -1.35325          -1.46325          -1.18225          -0.73425          
52   56   -1.055767         0.193511          -0.545367         -0.181334         -0.630712         -0.230842         *                 0.34686           -0.01514          *                 
52   58   -1.163745         -0.215178         -1.029302         -0.53645          -0.500135         -0.700294         -0.52182          0.00818           -0.41082          -0.55082          
52   60   -0.347139         0.148516          -0.682278         -0.120347         -0.128539         -0.242213         -0.00278          0.35322           0.12322           -0.02478          
52   62   -0.242778         -0.353139         -0.827794         -0.56998          -0.620434         -0.382728         -0.36194          0.02206           -0.19594          -0.45994          
52   64   0.198525          0.086223          0.018752          0.047317          -0.084597         -0.12355          0.42997           0.44597           0.70297           0.20697           
52   66   0.444847          0.127956          0.171328          0.195896          0.034606          -0.115812         0.52828           0.43328           0.70028           0.27128           
